,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,14.8,7.3,8.9,1015.6,21.8,92.2,0.0,11.7,82.04,0.0961111111111111
1,ABRTW-1,4.3,4.6,,1001.8,25.0,43.6,0.0,4.0,97.91,0.03283333333333333
2,ABRTW-1,5.6,9.9,8.1,1009.0,10.3,71.4,0.0,3.9,88.36,0.24777777777777776
3,ABRTW-1,14.2,11.1,,1001.1,10.3,90.0,0.0,13.9,97.99,0.5276111111111111
4,ACHRW-1,14.1,8.3,14.6,1015.4,19.3,70.8,0.0,11.5,84.31,0.14356807511737088
5,ACHRW-1,2.0,5.5,0.0,1002.2,40.5,27.0,0.0,0.9,91.96,0.15976525821596244
6,ACHRW-1,4.2,11.6,0.0,1008.6,17.6,31.5,0.0,2.8,90.29,0.2304694835680751
7,ACHRW-1,13.7,6.9,7.9,1000.4,25.4,70.8,0.0,12.5,92.32,0.22431924882629106
8,AKGLW-2,14.1,8.4,,1016.4,25.6,100.0,0.0,11.6,85.03,0.04692982456140351
9,AKGLW-2,4.0,5.3,,1000.6,26.2,46.8,0.0,3.0,93.31,0.06343984962406014
10,AKGLW-2,5.6,10.9,,1008.5,27.2,5.2,0.0,3.5,86.18,0.8245927318295739
11,AKGLW-2,14.7,9.0,,1000.4,24.9,89.4,0.0,13.7,94.05,0.5770989974937343
12,ANSUW-1,15.0,6.5,10.1,1016.1,16.4,50.5,0.0,12.2,83.23,0.17923553719008267
13,ANSUW-1,2.0,4.5,0.0,1002.9,38.3,41.1,0.0,1.1,93.76,0.17820247933884298
14,ANSUW-1,2.6,11.2,6.0,1008.3,25.9,21.3,0.0,1.5,92.3,0.10516528925619835
15,ANSUW-1,13.2,8.4,2.9,1000.0,24.8,56.9,0.0,12.2,93.37,0.11621900826446281
16,ARCHW-1,3.0,5.1,3.1,1001.3,27.0,6.7,0.0,1.6,90.55,0.02333333333333333
17,ARCHW-1,7.0,10.5,3.5,1009.9,17.2,52.8,0.0,5.1,87.51,0.2235
18,ARCHW-1,14.7,6.6,8.4,1001.7,8.7,90.7,0.0,14.1,96.05,0.07266666666666667
19,BEINW-1,15.4,7.2,6.9,1016.2,18.6,34.1,0.0,10.8,73.89,0.021231617647058824
20,BEINW-1,0.9,4.2,,1004.1,19.3,50.1,0.0,0.3,96.01,0.13761029411764705
21,BEINW-1,0.1,17.9,61.1,1007.0,18.7,18.9,0.0,-1.1,91.52,0.21994485294117647
22,BEINW-1,12.5,14.2,25.1,998.3,13.3,58.5,0.0,11.4,93.23,0.32659926470588235
23,BETHW-1,14.8,9.7,,1017.0,28.1,73.8,0.0,11.5,80.53,0.006252100840336134
24,BETHW-1,4.2,6.8,,1003.6,22.1,89.0,0.0,2.6,89.67,0.015932773109243698
25,BETHW-1,3.9,17.2,35.8,1004.8,20.0,58.5,0.0,-0.1,75.13,0.23764705882352943
26,BETHW-1,13.7,7.0,,995.9,25.0,38.3,0.0,12.2,90.68,0.7799663865546219
27,BHLAW-1,15.0,8.4,,1016.4,20.8,41.2,0.0,10.1,72.69,0.02237037037037037
28,BHLAW-1,2.0,5.0,,1003.9,18.9,67.2,0.0,1.2,94.39,0.25753703703703706
29,BHLAW-1,1.4,15.6,61.1,1006.5,18.2,29.8,0.0,-0.6,86.98,0.27574074074074073
30,BHLAW-1,12.2,15.8,62.2,997.7,17.7,51.1,0.0,11.2,93.2,0.6101296296296297
31,BLKWW-1,15.4,13.1,,1014.7,22.9,80.2,0.0,12.4,82.17,0.14525519848771268
32,BLKWW-1,2.0,6.2,,1001.0,21.8,7.9,0.0,1.2,94.59,0.13217391304347825
33,BLKWW-1,6.8,14.2,,1009.7,17.4,45.1,0.0,5.0,87.87,0.14253308128544423
34,BLKWW-1,14.7,13.6,,1001.6,6.0,90.9,0.0,13.9,95.13,0.270359168241966
35,BLLA-1,14.5,10.2,,1015.8,20.2,93.3,0.0,11.4,81.7,0.15185416666666665
36,BLLA-1,2.3,4.4,,1001.8,25.2,51.3,0.0,1.9,96.81,0.01995833333333333
37,BLLA-1,5.2,12.4,,1008.9,10.5,60.6,0.0,3.6,89.79,0.09752083333333333
38,BLLA-1,13.6,11.1,,1000.9,12.8,89.5,0.0,12.9,95.4,0.2898958333333333
39,BLLA-2,14.5,10.2,,1015.8,20.2,93.3,0.0,11.4,81.7,0.13994202898550726
40,BLLA-2,2.3,4.4,,1001.8,25.2,51.3,0.0,1.9,96.81,0.028
41,BLLA-2,5.2,12.4,,1008.9,10.5,60.6,0.0,3.6,89.79,0.15684057971014492
42,BLLA-2,13.6,11.1,,1000.9,12.8,89.5,0.0,12.9,95.4,0.31084057971014495
