,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,0.2,1.6,2.0,1007.9,29.0,17.4,0.0,-3.2,77.71,0.13983333333333334
1,ABRTW-1,6.5,5.1,2.9,1016.8,24.9,82.8,0.0,4.6,87.67,0.06244444444444445
2,ABRTW-1,7.6,10.7,13.0,1027.0,26.3,92.4,0.0,-1.2,53.82,0.6418333333333334
3,ABRTW-1,13.9,6.3,4.0,1035.7,36.1,12.1,0.0,2.4,45.54,0.08538888888888889
4,ABRTW-1,17.2,7.8,0.9,1015.7,14.3,96.3,0.0,14.9,86.48,0.13633333333333333
5,ABRTW-1,15.5,13.7,7.7,1022.3,17.0,42.2,0.0,8.4,62.65,0.6191111111111112
6,ACHRW-1,0.1,4.6,0.0,1008.0,19.6,44.3,0.0,-2.9,80.45,0.050422535211267605
7,ACHRW-1,6.7,7.1,7.7,1016.0,9.6,55.9,0.0,5.3,91.01,0.03915492957746478
8,ACHRW-1,7.8,14.5,20.8,1026.1,21.3,72.7,0.0,-0.4,56.18,0.7832863849765258
9,ACHRW-1,13.0,9.1,8.6,1035.7,26.3,50.6,0.0,1.8,46.5,0.018544600938967138
10,ACHRW-1,16.0,14.5,12.1,1014.4,14.4,56.5,0.0,14.7,91.77,0.2592018779342723
11,ACHRW-1,13.7,18.6,25.3,1023.1,12.1,26.6,0.0,8.8,72.25,0.49042253521126755
12,ACHRW-1,4.6,4.5,0.0,1004.3,20.1,33.9,0.0,3.4,91.84,0.021032863849765257
13,AKGLW-2,1.2,10.9,,1005.6,29.7,4.0,0.0,-4.1,67.89,0.5675125313283207
14,AKGLW-2,8.0,8.5,,1016.8,27.3,89.4,0.0,2.8,69.75,0.02637844611528822
15,AKGLW-2,7.9,16.7,,1028.5,22.4,87.6,0.0,0.5,59.53,0.6663847117794486
16,AKGLW-2,13.4,10.3,,1035.8,29.0,6.9,0.0,4.4,54.55,0.10447994987468671
17,AKGLW-2,16.6,8.7,,1016.4,12.2,96.3,0.0,15.2,91.81,0.8641604010025062
18,AKGLW-2,16.8,12.5,16.6,1020.5,23.5,26.2,0.0,8.7,58.71,0.7449248120300751
19,AKGLW-2,5.6,3.0,,1002.6,29.0,84.3,0.0,3.5,86.1,0.25366541353383454
20,ANSUW-1,-1.5,5.1,4.9,1008.0,24.9,29.6,0.0,-3.6,85.82,0.09741735537190083
21,ANSUW-1,5.6,5.9,4.9,1016.5,18.3,44.3,0.0,3.7,87.7,0.048760330578512395
22,ANSUW-1,7.5,13.1,12.1,1027.4,29.0,61.1,0.0,-0.7,55.93,0.7238636363636364
23,ANSUW-1,12.9,8.0,6.9,1035.7,29.0,31.6,0.0,-1.4,37.25,0.026859504132231406
24,ANSUW-1,15.9,14.5,4.9,1014.6,17.6,44.3,0.0,15.1,94.8,0.3269628099173554
25,ANSUW-1,12.9,14.5,2.9,1021.7,14.9,4.9,0.0,7.7,70.72,0.3701446280991736
26,ANSUW-1,3.7,4.6,2.9,1004.1,22.8,31.2,0.0,2.9,94.71,0.04473140495867769
27,ARCHW-1,2.5,6.0,5.1,1008.4,29.1,85.5,0.0,-2.1,71.81,0.08136666666666666
28,ARCHW-1,7.2,9.3,9.0,1016.9,8.7,84.6,0.0,6.1,92.5,0.044566666666666664
