    ,BMUID   ,temp ,wspd ,wgust ,sealevelpressure ,visibility ,cloudcover ,precip ,dew   ,humidity ,loadFactor
0   ,ABRTW-1 ,1.9  ,4.8  ,4.9   ,1009.5           ,27.2       ,83.6       ,0.0    ,-3.8  ,66.0     ,0.13294444444444442
1   ,ABRTW-1 ,5.5  ,8.1  ,2.9   ,981.8            ,16.8       ,70.8       ,0.0    ,4.8   ,95.7     ,0.495
2   ,ABRTW-1 ,8.5  ,9.3  ,6.0   ,1031.4           ,15.9       ,83.2       ,0.0    ,5.8   ,83.37    ,0.13894444444444443
3   ,ABRTW-1 ,9.1  ,9.8  ,7.9   ,992.0            ,2.0        ,87.8       ,0.0    ,7.4   ,88.55    ,0.25783333333333336
4   ,ABRTW-1 ,13.6 ,2.7  ,0.0   ,1021.5           ,16.9       ,95.8       ,0.0    ,12.6  ,93.43    ,0.030444444444444448
5   ,ABRTW-1 ,14.9 ,11.9 ,4.9   ,1007.7           ,27.8       ,57.4       ,0.0    ,10.2  ,73.6     ,0.6041111111111112
6   ,ABRTW-1 ,14.5 ,8.4  ,2.0   ,1021.4           ,40.1       ,73.1       ,0.0    ,10.5  ,76.83    ,0.4033333333333333
7   ,ABRTW-1 ,7.4  ,8.3  ,6.0   ,1000.5           ,12.6       ,86.3       ,0.0    ,5.6   ,88.33    ,0.23572222222222225
8   ,ACHRW-1 ,1.1  ,17.2 ,19.5  ,1007.5           ,15.0       ,59.8       ,0.0    ,-1.6  ,82.09    ,0.8515962441314553
9   ,ACHRW-1 ,6.4  ,13.4 ,18.5  ,984.3            ,21.0       ,67.1       ,0.0    ,4.2   ,86.11    ,0.5724882629107981
10  ,ACHRW-1 ,8.2  ,15.6 ,21.0  ,1031.5           ,10.0       ,58.4       ,0.0    ,5.6   ,83.64    ,0.45788732394366194
11  ,ACHRW-1 ,10.0 ,14.7 ,21.3  ,991.5            ,4.4        ,64.3       ,0.0    ,7.5   ,84.4     ,0.6835680751173709
12  ,ACHRW-1 ,12.8 ,8.7  ,6.0   ,1022.4           ,22.9       ,59.8       ,0.0    ,11.7  ,93.05    ,0.04718309859154929
13  ,ACHRW-1 ,14.3 ,15.9 ,17.0  ,1008.0           ,20.0       ,18.9       ,0.0    ,10.0  ,75.43    ,0.704037558685446
14  ,ACHRW-1 ,13.0 ,15.0 ,19.9  ,1022.7           ,14.1       ,5.3        ,0.0    ,8.8   ,75.63    ,0.712018779342723
15  ,ACHRW-1 ,6.2  ,11.3 ,12.1  ,1000.4           ,15.5       ,48.8       ,0.0    ,5.1   ,92.26    ,0.5051643192488262
16  ,AKGLW-2 ,2.2  ,5.8  ,      ,1011.2           ,23.1       ,52.6       ,0.0    ,-3.1  ,68.05    ,0.21209273182957392
17  ,AKGLW-2 ,6.6  ,8.0  ,      ,979.5            ,12.1       ,89.3       ,0.0    ,5.4   ,92.24    ,0.7311090225563909
18  ,AKGLW-2 ,11.1 ,14.7 ,30.0  ,1029.7           ,23.9       ,57.4       ,0.0    ,5.2   ,66.81    ,0.7031954887218045
19  ,AKGLW-2 ,8.3  ,10.9 ,      ,993.7            ,1.0        ,99.3       ,0.0    ,7.8   ,97.24    ,0.23480576441102757
20  ,AKGLW-2 ,13.3 ,1.7  ,      ,1021.0           ,5.6        ,88.3       ,0.0    ,12.9  ,97.46    ,0.0073621553884711775
21  ,AKGLW-2 ,17.0 ,11.3 ,22.4  ,1006.8           ,19.0       ,82.7       ,0.0    ,10.7  ,66.53    ,0.6557957393483709
22  ,AKGLW-2 ,15.9 ,6.9  ,8.9   ,1019.6           ,27.2       ,73.0       ,0.0    ,13.1  ,83.47    ,0.6659774436090224
23  ,AKGLW-2 ,7.9  ,13.2 ,      ,1001.5           ,7.4        ,79.5       ,0.0    ,7.2   ,95.22    ,0.8169486215538847
24  ,ANSUW-1 ,0.1  ,14.3 ,6.9   ,1009.7           ,25.9       ,46.0       ,0.0    ,-3.8  ,75.17    ,0.8390495867768595
25  ,ANSUW-1 ,5.1  ,9.7  ,4.9   ,984.0            ,24.2       ,56.9       ,0.0    ,3.0   ,86.68    ,0.5266528925619834
26  ,ANSUW-1 ,7.1  ,15.0 ,8.1   ,1030.7           ,12.4       ,41.1       ,0.0    ,5.1   ,87.06    ,0.7549586776859504
27  ,ANSUW-1 ,9.7  ,10.8 ,6.9   ,993.4            ,6.2        ,61.1       ,0.0    ,7.0   ,83.17    ,0.38367768595041324
28  ,ANSUW-1 ,12.5 ,6.1  ,0.0   ,1021.8           ,32.1       ,44.3       ,0.0    ,11.3  ,92.66    ,0.26983471074380166
29  ,ANSUW-1 ,12.7 ,14.0 ,6.0   ,1006.9           ,23.8       ,32.9       ,0.0    ,9.1   ,78.89    ,0.4856404958677686
30  ,ANSUW-1 ,12.4 ,12.4 ,13.0  ,1021.7           ,17.6       ,9.9        ,0.0    ,7.6   ,72.38    ,0.34896694214876034
31  ,ANSUW-1 ,5.9  ,9.3  ,12.1  ,1002.2           ,17.9       ,34.5       ,0.0    ,4.3   ,89.6     ,0.5858471074380166
32  ,ARCHW-1 ,3.7  ,18.5 ,10.1  ,1007.8           ,6.9        ,90.7       ,0.0    ,2.2   ,90.11    ,0.6058833333333333
33  ,ARCHW-1 ,7.2  ,18.2 ,17.0  ,983.4            ,13.9       ,89.2       ,0.0    ,5.3   ,87.86    ,0.6936833333333333
34  ,ARCHW-1 ,10.0 ,11.1 ,16.5  ,1032.4           ,22.2       ,86.2       ,0.0    ,5.8   ,75.49    ,0.08995
35  ,ARCHW-1 ,9.9  ,16.9 ,21.3  ,990.3            ,3.2        ,78.1       ,0.5    ,8.9   ,93.17    ,0.37295
36  ,ARCHW-1 ,13.7 ,12.2 ,10.1  ,1022.5           ,4.8        ,90.8       ,0.0    ,12.8  ,94.1     ,0.29095
37  ,ARCHW-1 ,15.6 ,15.6 ,14.5  ,1009.5           ,18.7       ,76.2       ,0.0    ,10.8  ,73.17    ,0.1818
38  ,ARCHW-1 ,14.7 ,17.8 ,15.4  ,1022.8           ,21.8       ,44.7       ,0.0    ,11.3  ,79.9     ,0.47200000000000003
39  ,ARCHW-1 ,8.2  ,12.6 ,13.1  ,998.3            ,16.0       ,87.6       ,0.0    ,5.8   ,84.42    ,0.2521666666666667
40  ,BEINW-1 ,3.3  ,12.8 ,19.4  ,986.2            ,11.3       ,60.1       ,0.0    ,2.0   ,90.95    ,0.9288051470588236
41  ,BEINW-1 ,6.0  ,19.9 ,55.3  ,1029.1           ,18.9       ,50.1       ,0.0    ,4.1   ,87.42    ,0.29579044117647063
42  ,BEINW-1 ,9.2  ,11.3 ,22.0  ,995.3            ,8.6        ,67.7       ,0.0    ,6.1   ,81.23    ,0.265514705882353
43  ,BEINW-1 ,10.8 ,8.2  ,      ,1022.1           ,22.4       ,45.6       ,0.0    ,10.2  ,95.73    ,0.026084558823529412
44  ,BEINW-1 ,10.4 ,17.1 ,48.3  ,1005.1           ,17.3       ,41.1       ,0.0    ,7.7   ,83.47    ,0.4191360294117647
45  ,BEINW-1 ,9.8  ,14.3 ,45.0  ,1020.8           ,24.8       ,28.8       ,0.0    ,5.8   ,75.9     ,0.3151470588235294
46  ,BEINW-1 ,3.6  ,6.5  ,      ,1004.4           ,28.5       ,49.0       ,0.0    ,2.4   ,91.8     ,0.044797794117647054
47  ,BETHW-1 ,1.8  ,6.1  ,      ,1010.2           ,24.9       ,85.4       ,0.0    ,-2.9  ,70.68    ,0.43690756302521006
48  ,BETHW-1 ,13.7 ,4.9  ,10.1  ,1021.2           ,19.2       ,82.0       ,0.0    ,13.0  ,94.98    ,0.16107563025210084
49  ,BETHW-1 ,14.9 ,15.0 ,31.1  ,1003.4           ,17.0       ,84.0       ,0.0    ,10.3  ,73.95    ,0.226890756302521
50  ,BETHW-1 ,14.0 ,18.1 ,30.0  ,1019.2           ,17.6       ,29.2       ,0.0    ,7.7   ,65.91    ,0.6497478991596638
51  ,BETHW-1 ,6.4  ,7.8  ,      ,1005.2           ,15.3       ,69.3       ,0.0    ,5.4   ,92.72    ,0.1783529411764706
52  ,BHLAW-1 ,-1.0 ,11.4 ,49.4  ,1010.3           ,23.4       ,55.9       ,0.0    ,-4.3  ,78.31    ,0.25072222222222224
53  ,BHLAW-1 ,3.1  ,15.4 ,42.5  ,986.0            ,11.6       ,59.1       ,0.0    ,1.7   ,90.94    ,0.2036851851851852
54  ,BHLAW-1 ,7.7  ,18.9 ,55.3  ,1028.5           ,21.8       ,67.4       ,0.0    ,4.8   ,81.96    ,0.49888888888888894
55  ,BHLAW-1 ,8.3  ,14.3 ,46.1  ,995.8            ,7.4        ,70.0       ,0.0    ,5.9   ,85.0     ,0.4358148148148148
56  ,BHLAW-1 ,11.9 ,9.2  ,      ,1021.8           ,21.5       ,60.2       ,0.0    ,11.1  ,95.17    ,0.04912962962962963
57  ,BHLAW-1 ,12.3 ,15.3 ,48.3  ,1004.7           ,16.3       ,54.9       ,0.0    ,8.7   ,78.35    ,0.6112592592592593
58  ,BHLAW-1 ,11.6 ,16.2 ,45.0  ,1020.4           ,22.8       ,33.2       ,0.0    ,6.3   ,69.99    ,0.2034074074074074
59  ,BHLAW-1 ,4.8  ,4.8  ,      ,1004.6           ,25.6       ,63.0       ,0.0    ,3.4   ,90.53    ,0.09001851851851851
60  ,BLKWW-1 ,6.1  ,14.7 ,      ,981.6            ,24.9       ,79.2       ,0.0    ,4.8   ,91.88    ,0.856975425330813
61  ,BLKWW-1 ,8.8  ,12.7 ,      ,1031.9           ,17.8       ,58.4       ,0.0    ,5.1   ,77.63    ,0.51765595463138
62  ,BLKWW-1 ,9.7  ,18.8 ,27.7  ,991.0            ,2.3        ,82.2       ,0.0    ,8.7   ,93.28    ,0.6874858223062382
63  ,BLKWW-1 ,13.4 ,5.9  ,      ,1021.8           ,10.4       ,91.2       ,0.0    ,12.5  ,94.13    ,0.1798865784499055
64  ,BLKWW-1 ,15.2 ,19.3 ,      ,1008.9           ,22.3       ,47.1       ,0.0    ,10.4  ,73.04    ,0.7546691871455576
65  ,BLKWW-1 ,14.9 ,14.0 ,      ,1021.6           ,32.2       ,75.0       ,0.0    ,12.3  ,84.34    ,0.6677882797731569
66  ,BLKWW-1 ,7.8  ,16.4 ,      ,998.7            ,13.7       ,73.2       ,0.0    ,5.6   ,85.79    ,0.7706238185255199
67  ,BLLA-1  ,1.9  ,7.0  ,      ,1009.8           ,26.2       ,82.7       ,0.0    ,-3.5  ,67.43    ,0.07352083333333333
68  ,BLLA-1  ,5.5  ,11.7 ,      ,981.6            ,15.9       ,73.0       ,0.0    ,4.8   ,94.69    ,0.15266666666666667
69  ,BLLA-1  ,8.5  ,15.0 ,      ,1031.1           ,16.7       ,84.0       ,0.0    ,5.6   ,82.2     ,0.2816458333333333
70  ,BLLA-1  ,8.8  ,14.4 ,27.7  ,992.6            ,1.8        ,92.1       ,0.0    ,7.9   ,94.3     ,0.5097916666666666
71  ,BLLA-1  ,13.6 ,3.3  ,      ,1021.4           ,14.3       ,95.2       ,0.0    ,12.8  ,94.89    ,0.0003125
72  ,BLLA-1  ,15.4 ,17.6 ,      ,1007.5           ,25.9       ,63.3       ,0.0    ,9.5   ,67.89    ,0.28758333333333336
73  ,BLLA-1  ,14.6 ,12.9 ,      ,1021.1           ,37.4       ,68.2       ,0.0    ,10.6  ,76.85    ,0.35250000000000004
74  ,BLLA-2  ,1.9  ,7.0  ,      ,1009.8           ,26.2       ,82.7       ,0.0    ,-3.5  ,67.43    ,0.05953623188405797
75  ,BLLA-2  ,5.5  ,11.7 ,      ,981.6            ,15.9       ,73.0       ,0.0    ,4.8   ,94.69    ,0.17400000000000002
76  ,BLLA-2  ,8.5  ,15.0 ,      ,1031.1           ,16.7       ,84.0       ,0.0    ,5.6   ,82.2     ,0.2722608695652174
77  ,BLLA-2  ,8.8  ,14.4 ,27.7  ,992.6            ,1.8        ,92.1       ,0.0    ,7.9   ,94.3     ,0.6099710144927536
78  ,BLLA-2  ,13.6 ,3.3  ,      ,1021.4           ,14.3       ,95.2       ,0.0    ,12.8  ,94.89    ,0.004260869565217391
79  ,BLLA-2  ,15.4 ,17.6 ,      ,1007.5           ,25.9       ,63.3       ,0.0    ,9.5   ,67.89    ,0.317768115942029
80  ,BLLA-2  ,14.6 ,12.9 ,      ,1021.1           ,37.4       ,68.2       ,0.0    ,10.6  ,76.85    ,0.3667536231884058
81  ,BLLA-2  ,7.3  ,12.0 ,      ,1000.8           ,10.7       ,84.8       ,0.0    ,5.6   ,89.0     ,0.33217391304347826
82  ,BNWKW-1 ,4.0  ,15.6 ,      ,1010.8           ,13.5       ,13.0       ,0.0    ,-0.6  ,72.04    ,0.5496888888888889
83  ,BNWKW-1 ,5.6  ,30.4 ,      ,984.9            ,3.7        ,87.3       ,0.0    ,3.5   ,86.52    ,0.668711111111111
84  ,BNWKW-1 ,11.0 ,25.0 ,34.0  ,1023.7           ,26.9       ,87.4       ,0.0    ,7.1   ,77.21    ,0.6384000000000001
85  ,BNWKW-1 ,8.7  ,16.9 ,27.1  ,998.9            ,3.8        ,90.6       ,0.0    ,7.5   ,92.28    ,0.5684444444444444
86  ,BNWKW-1 ,11.2 ,3.4  ,0.0   ,1020.6           ,3.7        ,90.0       ,0.0    ,10.8  ,97.7     ,0.07102222222222222
87  ,BNWKW-1 ,14.2 ,14.8 ,17.0  ,1001.9           ,15.7       ,88.7       ,0.0    ,12.1  ,87.19    ,0.19911111111111113
88  ,BNWKW-1 ,13.2 ,18.3 ,26.5  ,1017.4           ,20.7       ,11.7       ,0.0    ,9.4   ,77.98    ,0.6672
89  ,BNWKW-1 ,8.6  ,10.0 ,12.1  ,1006.3           ,9.0        ,78.1       ,0.0    ,6.8   ,89.04    ,0.21351111111111112
90  ,BRYBW-1 ,2.9  ,7.0  ,49.4  ,1010.4           ,18.7       ,45.4       ,0.0    ,-3.7  ,61.95    ,0.8280359820089954
91  ,BRYBW-1 ,4.9  ,22.7 ,38.7  ,984.5            ,6.7        ,65.4       ,0.0    ,3.5   ,90.64    ,0.8419790104947525
92  ,BRYBW-1 ,10.3 ,20.6 ,40.8  ,1026.7           ,23.2       ,55.7       ,0.0    ,5.0   ,69.83    ,0.6017391304347827
93  ,BRYBW-1 ,8.9  ,14.7 ,46.1  ,996.6            ,4.5        ,87.3       ,0.0    ,6.9   ,87.24    ,0.21088455772113943
94  ,BRYBW-1 ,12.6 ,4.7  ,      ,1021.0           ,12.8       ,78.5       ,0.0    ,11.3  ,91.34    ,0.021169415292353822
95  ,BRYBW-1 ,16.3 ,18.6 ,33.8  ,1003.0           ,21.8       ,70.1       ,0.0    ,9.6   ,64.55    ,0.6094752623688156
96  ,BRYBW-1 ,13.8 ,15.5 ,45.0  ,1019.1           ,20.0       ,54.3       ,0.0    ,8.1   ,68.49    ,0.29157421289355323
97  ,BRYBW-1 ,6.3  ,3.8  ,      ,1005.0           ,11.4       ,82.9       ,0.0    ,5.2   ,92.65    ,0.1799400299850075
98  ,BTUIW-2 ,4.2  ,23.1 ,28.8  ,1006.1           ,6.6        ,95.8       ,0.0    ,2.4   ,87.99    ,0.8005034324942791
99  ,BTUIW-2 ,7.5  ,21.3 ,30.2  ,984.8            ,14.0       ,81.8       ,0.0    ,5.1   ,85.02    ,0.5612814645308923
100 ,BTUIW-2 ,10.0 ,15.8 ,21.0  ,1031.9           ,10.7       ,98.3       ,0.0    ,6.7   ,79.98    ,0.45862700228832953
101 ,BTUIW-2 ,10.6 ,21.7 ,31.6  ,989.4            ,4.3        ,85.0       ,0.0    ,8.4   ,86.56    ,0.20251716247139587
102 ,BTUIW-2 ,13.5 ,12.0 ,6.0   ,1023.0           ,10.4       ,98.2       ,0.0    ,13.0  ,96.5     ,0.11016018306636155
103 ,BTUIW-2 ,16.0 ,15.3 ,17.0  ,1008.7           ,15.2       ,7.8        ,0.0    ,12.2  ,78.04    ,0.46302059496567505
104 ,BTUIW-2 ,14.6 ,17.4 ,19.9  ,1023.4           ,14.5       ,8.2        ,0.0    ,10.3  ,75.43    ,0.49601830663615554
105 ,BTUIW-2 ,7.9  ,14.2 ,12.1  ,999.5            ,15.1       ,87.7       ,0.0    ,6.1   ,88.45    ,0.51441647597254
106 ,CGTHW-1 ,-1.1 ,9.8  ,49.4  ,1010.4           ,21.2       ,42.4       ,0.0    ,-4.4  ,77.77    ,0.46255072463768115
107 ,CGTHW-1 ,3.2  ,14.8 ,41.2  ,985.3            ,9.2        ,60.9       ,0.0    ,1.9   ,91.28    ,0.8208985507246377
108 ,CGTHW-1 ,8.2  ,18.3 ,50.3  ,1028.2           ,21.8       ,70.3       ,0.0    ,4.6   ,78.12    ,0.49101449275362324
109 ,CGTHW-1 ,8.2  ,14.7 ,46.1  ,995.8            ,6.5        ,75.6       ,0.0    ,6.1   ,86.62    ,0.14214492753623187
110 ,CGTHW-1 ,12.2 ,7.3  ,      ,1021.6           ,22.1       ,67.2       ,0.0    ,11.5  ,95.7     ,0.05747826086956522
111 ,CGTHW-1 ,13.6 ,15.0 ,43.3  ,1004.3           ,18.7       ,53.0       ,0.0    ,8.6   ,72.01    ,0.45713043478260873
112 ,CGTHW-1 ,12.2 ,14.2 ,45.0  ,1020.1           ,21.9       ,35.3       ,0.0    ,6.3   ,67.17    ,0.24686956521739128
113 ,CLDCW-1 ,1.9  ,7.7  ,      ,1009.9           ,25.0       ,84.8       ,0.0    ,-3.1  ,69.88    ,0.9712500000000001
114 ,CLDCW-1 ,5.4  ,11.6 ,      ,981.3            ,18.5       ,72.5       ,0.0    ,4.7   ,95.35    ,1.4317857142857144
115 ,CLDCW-1 ,8.1  ,14.4 ,      ,1031.5           ,15.7       ,84.4       ,0.0    ,5.4   ,82.88    ,0.6625
116 ,CLDCW-1 ,8.9  ,13.7 ,27.7  ,992.2            ,1.8        ,91.3       ,0.0    ,8.1   ,94.87    ,0.9766071428571428
117 ,CLDCW-1 ,14.9 ,17.9 ,      ,1008.1           ,26.2       ,61.0       ,0.0    ,9.7   ,71.34    ,1.0457142857142858
118 ,CLDCW-1 ,14.6 ,10.9 ,      ,1021.1           ,37.2       ,81.7       ,0.0    ,11.6  ,82.31    ,0.6476785714285714
119 ,CLDCW-1 ,7.3  ,13.0 ,      ,1000.2           ,11.5       ,79.3       ,0.0    ,5.3   ,87.52    ,0.5846428571428571
120 ,CLDNW-1 ,1.9  ,7.7  ,      ,1009.9           ,25.0       ,84.8       ,0.0    ,-3.1  ,69.88    ,1.0685185185185186
121 ,CLDNW-1 ,5.4  ,11.6 ,      ,981.3            ,18.5       ,72.5       ,0.0    ,4.7   ,95.35    ,1.4068518518518518
122 ,CLDNW-1 ,8.1  ,14.4 ,      ,1031.5           ,15.7       ,84.4       ,0.0    ,5.4   ,82.88    ,0.6911111111111111
123 ,CLDNW-1 ,8.9  ,13.7 ,27.7  ,992.2            ,1.8        ,91.3       ,0.0    ,8.1   ,94.87    ,1.183148148148148
124 ,CLDNW-1 ,14.9 ,17.9 ,      ,1008.1           ,26.2       ,61.0       ,0.0    ,9.7   ,71.34    ,1.291851851851852
125 ,CLDNW-1 ,14.6 ,10.9 ,      ,1021.1           ,37.2       ,81.7       ,0.0    ,11.6  ,82.31    ,0.8261111111111111
126 ,CLDNW-1 ,7.3  ,13.0 ,      ,1000.2           ,11.5       ,79.3       ,0.0    ,5.3   ,87.52    ,0.9205555555555556
127 ,CLDRW-1 ,-1.2 ,9.9  ,49.4  ,1011.3           ,16.7       ,19.6       ,0.0    ,-4.4  ,79.27    ,0.7328108108108108
128 ,CLDRW-1 ,5.4  ,18.3 ,38.0  ,982.7            ,9.1        ,70.7       ,0.0    ,3.8   ,89.19    ,0.9208108108108108
129 ,CLDRW-1 ,9.9  ,19.2 ,46.4  ,1026.8           ,26.1       ,64.1       ,0.0    ,4.2   ,67.51    ,0.9506486486486486
130 ,CLDRW-1 ,7.6  ,13.6 ,46.1  ,996.6            ,2.5        ,82.0       ,0.0    ,6.5   ,93.29    ,0.19167567567567567
131 ,CLDRW-1 ,12.3 ,6.3  ,      ,1020.9           ,20.5       ,74.5       ,0.0    ,11.7  ,96.42    ,0.3014054054054054
132 ,CLDRW-1 ,15.3 ,16.9 ,39.4  ,1003.6           ,23.8       ,48.7       ,0.0    ,8.8   ,65.04    ,0.7355135135135135
133 ,CLDRW-1 ,14.0 ,16.3 ,45.0  ,1018.8           ,22.4       ,33.3       ,0.0    ,7.2   ,63.56    ,0.6000540540540541
134 ,CLDRW-1 ,5.2  ,4.4  ,      ,1004.7           ,9.5        ,74.8       ,0.0    ,4.8   ,97.31    ,0.21594594594594596
135 ,CLDSW-1 ,1.9  ,7.7  ,      ,1009.9           ,25.0       ,84.8       ,0.0    ,-3.1  ,69.88    ,0.5565625
136 ,CLDSW-1 ,5.4  ,11.6 ,      ,981.3            ,18.5       ,72.5       ,0.0    ,4.7   ,95.35    ,0.76953125
137 ,CLDSW-1 ,8.1  ,14.4 ,      ,1031.5           ,15.7       ,84.4       ,0.0    ,5.4   ,82.88    ,0.32671875
138 ,CLDSW-1 ,8.9  ,13.7 ,27.7  ,992.2            ,1.8        ,91.3       ,0.0    ,8.1   ,94.87    ,0.11921875
139 ,CLDSW-1 ,14.9 ,17.9 ,      ,1008.1           ,26.2       ,61.0       ,0.0    ,9.7   ,71.34    ,0.489375
140 ,CLDSW-1 ,14.6 ,10.9 ,      ,1021.1           ,37.2       ,81.7       ,0.0    ,11.6  ,82.31    ,0.3446875
141 ,CLFLW-1 ,-0.1 ,14.1 ,6.9   ,1010.0           ,24.4       ,41.6       ,0.0    ,-3.8  ,76.19    ,0.30441379310344824
142 ,CLFLW-1 ,4.9  ,10.3 ,4.9   ,983.6            ,25.3       ,52.5       ,0.0    ,2.7   ,85.83    ,0.10427586206896552
143 ,CLFLW-1 ,12.5 ,6.1  ,0.0   ,1021.6           ,26.5       ,43.4       ,0.0    ,11.5  ,93.81    ,0.06455172413793103
144 ,CLFLW-1 ,12.7 ,14.8 ,6.0   ,1006.8           ,24.0       ,31.7       ,0.0    ,8.9   ,77.55    ,0.3086896551724138
145 ,CLFLW-1 ,12.4 ,13.5 ,13.0  ,1021.4           ,20.9       ,12.4       ,0.0    ,7.3   ,71.04    ,0.5804137931034483
146 ,CLFLW-1 ,5.7  ,9.3  ,12.1  ,1002.4           ,15.2       ,36.2       ,0.0    ,4.5   ,91.44    ,0.7662068965517241
147 ,COUWW-1 ,4.3  ,23.3 ,29.9  ,1006.1           ,6.6        ,95.7       ,0.0    ,2.5   ,88.13    ,0.8462439024390244
148 ,COUWW-1 ,7.5  ,21.5 ,30.8  ,984.9            ,13.8       ,81.8       ,0.0    ,5.1   ,85.07    ,0.8405853658536585
149 ,COUWW-1 ,10.0 ,15.8 ,21.0  ,1031.9           ,10.6       ,98.3       ,0.0    ,6.7   ,80.05    ,0.8131707317073171
150 ,COUWW-1 ,10.6 ,21.8 ,32.3  ,989.4            ,4.3        ,84.6       ,0.0    ,8.4   ,86.5     ,0.9895609756097562
151 ,COUWW-1 ,13.5 ,12.1 ,6.0   ,1023.0           ,10.4       ,98.2       ,0.0    ,13.0  ,96.54    ,0.20995121951219514
152 ,COUWW-1 ,16.0 ,15.4 ,17.0  ,1008.7           ,15.1       ,7.5        ,0.0    ,12.2  ,78.08    ,0.7498536585365854
153 ,COUWW-1 ,14.5 ,17.5 ,19.9  ,1023.4           ,14.5       ,8.3        ,0.0    ,10.3  ,75.46    ,0.49502439024390243
154 ,COUWW-1 ,7.9  ,14.3 ,12.1  ,999.5            ,15.2       ,87.6       ,0.0    ,6.1   ,88.44    ,0.1957073170731707
155 ,CRGHW-1 ,0.2  ,14.2 ,6.9   ,1009.8           ,26.4       ,40.3       ,0.0    ,-3.6  ,75.75    ,0.5670000000000001
