,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,1.4,3.0,0.0,1012.5,27.7,0.0,0.0,-4.0,67.26,0.08488888888888889
1,ABRTW-1,7.8,14.8,8.9,987.4,13.1,33.5,0.0,1.1,62.37,0.39694444444444443
2,ABRTW-1,6.8,10.5,12.2,995.6,29.1,45.6,0.0,1.7,69.91,0.8762222222222222
3,ABRTW-1,15.0,10.8,8.9,1006.2,32.4,47.2,0.0,6.6,57.03,0.39822222222222226
4,ABRTW-1,15.7,5.3,2.9,1018.1,29.1,74.0,0.0,8.1,60.7,0.030500000000000003
5,ABRTW-1,13.4,4.8,0.0,1010.7,11.7,78.9,0.0,12.0,91.4,0.06677777777777777
6,ABRTW-1,10.3,11.6,9.3,1001.5,15.7,75.9,0.0,8.1,85.78,0.5973888888888889
7,ACHRW-1,1.8,7.9,12.1,1013.1,19.0,0.0,0.0,-4.4,63.9,0.05408450704225352
8,ACHRW-1,7.5,11.6,14.3,987.2,9.1,39.1,0.0,3.3,74.24,0.4158215962441314
9,ACHRW-1,7.0,14.5,15.2,994.5,22.6,37.2,0.0,2.1,71.09,0.840281690140845
10,ACHRW-1,3.2,5.1,3.3,1027.5,20.2,74.5,0.0,0.1,79.96,0.07995305164319248
11,ACHRW-1,13.2,11.7,11.9,1005.6,24.4,48.0,0.0,8.5,73.15,0.13605633802816902
12,ACHRW-1,13.8,7.0,10.1,1018.6,36.5,38.8,0.0,6.7,62.1,0.0018779342723004694
13,ACHRW-1,13.5,11.4,19.2,1011.6,29.0,44.7,0.0,10.3,81.31,0.3846948356807512
14,ACHRW-1,10.9,11.3,13.1,1000.8,13.6,50.3,0.0,8.6,86.1,0.23802816901408452
15,AKGLW-2,1.6,8.3,,1010.6,28.2,39.0,0.0,-3.3,69.95,0.4709586466165413
16,AKGLW-2,9.4,18.1,35.6,987.9,18.5,28.7,0.0,1.7,58.57,0.7404448621553885
17,AKGLW-2,6.4,16.9,27.7,997.7,25.6,69.6,0.0,2.5,76.1,0.7466478696741854
18,AKGLW-2,3.5,4.8,,1026.2,25.4,97.7,0.0,0.4,80.28,0.17738095238095236
19,AKGLW-2,15.9,15.1,,1006.2,28.0,69.2,0.0,8.1,59.84,0.606109022556391
20,AKGLW-2,14.1,4.9,,1018.3,28.0,74.5,0.0,8.0,66.78,0.12183583959899748
21,AKGLW-2,17.1,6.6,,1007.5,27.7,81.6,0.0,13.0,76.79,0.004605263157894736
22,AKGLW-2,14.6,3.3,0.0,1010.6,29.2,85.7,0.0,-6.0,23.61,0.0017857142857142857
23,AKGLW-2,11.4,9.4,12.1,1000.7,25.8,45.1,0.0,8.5,82.11,0.8110588972431078
24,ANSUW-1,1.8,5.8,0.0,1036.1,13.0,13.2,0.0,0.5,91.2,0.062396694214876036
25,ANSUW-1,-1.8,6.5,0.0,1013.1,22.8,0.0,0.0,-5.9,73.51,0.07086776859504133
26,ANSUW-1,6.6,12.7,12.1,986.5,16.6,21.2,0.0,3.0,77.46,0.4775826446280992
27,ANSUW-1,6.0,13.6,12.1,996.6,29.0,29.5,0.0,2.2,76.58,0.6630165289256199
28,ANSUW-1,2.8,5.9,0.0,1027.3,21.8,61.1,0.0,-0.7,77.37,0.07933884297520662
29,ANSUW-1,12.0,10.2,0.9,1005.8,22.7,56.9,0.0,7.9,75.89,0.36973140495867773
30,ANSUW-1,11.8,6.2,8.9,1018.6,46.6,23.5,0.0,4.6,61.56,0.0028925619834710746
31,ANSUW-1,12.0,7.3,2.0,1010.9,30.4,44.3,0.0,10.4,89.89,0.26188016528925623
32,ANSUW-1,10.0,8.8,6.0,1000.1,12.6,33.8,0.0,8.2,88.92,0.3883264462809917
33,ARCHW-1,7.1,8.8,3.5,1035.9,14.6,77.1,0.0,3.0,75.02,0.25945
34,ARCHW-1,4.2,7.8,12.5,1012.9,21.5,0.0,0.0,-3.0,59.65,0.12625
35,ARCHW-1,7.6,11.8,11.0,988.3,11.2,46.7,0.0,3.5,75.29,0.04831666666666667
36,ARCHW-1,6.4,15.0,19.9,992.1,22.6,64.1,0.3,2.5,76.22,0.6030833333333334
37,ARCHW-1,3.9,4.0,5.5,1027.2,17.5,31.8,0.0,1.4,83.68,0.06773333333333334
38,ARCHW-1,13.9,15.1,17.5,1006.8,24.9,37.7,0.0,7.9,67.09,0.3871
39,ARCHW-1,16.9,9.9,10.1,1017.9,23.8,11.0,0.0,10.0,63.98,0.0433
40,ARCHW-1,17.1,6.2,4.5,1008.4,22.7,56.3,0.0,13.4,78.88,0.0007166666666666666
