    ,BMUID   ,temp ,wspd ,wgust ,sealevelpressure ,visibility ,cloudcover ,precip ,dew  ,humidity ,loadFactor
0   ,ABRTW-1 ,-0.9 ,0.0  ,1.0   ,                 ,           ,           ,0.0    ,-1.2 ,97.8     ,0.0911111111111111
1   ,ABRTW-1 ,15.6 ,0.9  ,7.0   ,                 ,           ,           ,0.0    ,7.5  ,58.57    ,0.024
2   ,ABRTW-1 ,15.3 ,0.5  ,2.0   ,                 ,           ,           ,0.0    ,14.3 ,93.69    ,0.04611111111111111
3   ,ABRTW-1 ,9.0  ,1.9  ,8.5   ,                 ,           ,           ,0.0    ,7.6  ,90.77    ,0.2782777777777778
4   ,ACHRW-1 ,-2.0 ,0.0  ,0.4   ,                 ,           ,           ,0.0    ,-3.3 ,90.63    ,0.030892018779342723
5   ,ACHRW-1 ,3.3  ,1.1  ,4.6   ,                 ,           ,           ,0.0    ,2.0  ,91.06    ,0.03305164319248826
6   ,ACHRW-1 ,15.6 ,0.9  ,5.7   ,                 ,           ,           ,0.0    ,8.8  ,64.05    ,0.07976525821596245
7   ,ACHRW-1 ,18.9 ,3.0  ,7.2   ,                 ,           ,           ,0.0    ,10.6 ,58.52    ,0.015539906103286386
8   ,ACHRW-1 ,9.4  ,2.3  ,8.9   ,                 ,           ,           ,0.0    ,6.8  ,83.85    ,0.20981220657276997
9   ,AKGLW-2 ,-1.1 ,0.3  ,0.9   ,                 ,           ,           ,0.0    ,-2.6 ,90.0     ,0.4681704260651629
10  ,AKGLW-2 ,9.8  ,2.0  ,7.7   ,                 ,           ,           ,0.0    ,6.8  ,81.87    ,0.0021929824561403508
11  ,AKGLW-2 ,8.4  ,3.0  ,17.3  ,                 ,           ,           ,0.0    ,2.8  ,67.46    ,0.06641604010025062
12  ,AKGLW-2 ,18.8 ,2.7  ,5.2   ,                 ,           ,           ,0.0    ,12.4 ,66.19    ,0.04790100250626566
13  ,ANSUW-1 ,-2.7 ,0.0  ,0.0   ,                 ,           ,           ,0.0    ,-3.4 ,94.92    ,0.004132231404958678
14  ,ANSUW-1 ,2.9  ,0.9  ,2.6   ,                 ,           ,           ,0.0    ,1.9  ,92.83    ,0.00237603305785124
15  ,ANSUW-1 ,14.9 ,1.7  ,5.2   ,                 ,           ,           ,0.0    ,9.1  ,68.34    ,0.010950413223140497
16  ,ANSUW-1 ,11.7 ,0.9  ,2.9   ,                 ,           ,           ,0.0    ,11.3 ,97.39    ,0.0384297520661157
17  ,ANSUW-1 ,18.4 ,2.3  ,7.1   ,                 ,           ,           ,0.0    ,10.2 ,59.07    ,0.00712809917355372
18  ,ANSUW-1 ,9.4  ,2.3  ,7.2   ,                 ,           ,           ,0.0    ,7.6  ,88.14    ,0.2512396694214876
19  ,ARCHW-1 ,-0.2 ,0.0  ,0.0   ,                 ,           ,           ,0.0    ,-1.9 ,88.24    ,0.03866666666666666
20  ,ARCHW-1 ,13.6 ,0.9  ,7.9   ,                 ,           ,           ,0.0    ,9.2  ,74.63    ,0.018166666666666668
21  ,ARCHW-1 ,13.6 ,2.4  ,8.0   ,                 ,           ,           ,0.0    ,5.7  ,59.06    ,0.011333333333333334
22  ,ARCHW-1 ,12.5 ,3.4  ,6.4   ,                 ,           ,           ,3.8    ,11.8 ,95.56    ,0.029166666666666667
23  ,ARCHW-1 ,17.5 ,3.4  ,8.0   ,                 ,           ,           ,0.0    ,11.4 ,67.3     ,0.037000000000000005
24  ,ARCHW-1 ,9.4  ,1.5  ,7.1   ,                 ,           ,           ,0.0    ,6.5  ,82.36    ,0.152
25  ,BEINW-1 ,12.4 ,4.6  ,7.6   ,                 ,           ,           ,0.0    ,4.8  ,59.96    ,0.13654411764705882
26  ,BEINW-1 ,13.4 ,1.5  ,2.9   ,                 ,           ,           ,0.0    ,12.0 ,91.14    ,0.2268198529411765
27  ,BETHW-1 ,0.8  ,0.0  ,0.9   ,                 ,           ,           ,0.0    ,-1.1 ,87.65    ,0.05983193277310925
28  ,BETHW-1 ,11.8 ,7.8  ,12.2  ,                 ,           ,           ,0.0    ,8.3  ,79.46    ,0.20416806722689076
29  ,BETHW-1 ,11.2 ,2.9  ,6.9   ,                 ,           ,           ,0.0    ,6.1  ,70.82    ,0.0451764705882353
30  ,BETHW-1 ,16.7 ,10.1 ,16.1  ,                 ,           ,           ,0.0    ,13.4 ,80.87    ,0.5743865546218487
31  ,BETHW-1 ,12.0 ,10.0 ,16.1  ,                 ,           ,           ,0.0    ,7.9  ,75.85    ,0.4767731092436975
32  ,BHLAW-1 ,-2.2 ,0.0  ,0.9   ,                 ,           ,           ,0.0    ,-2.6 ,97.08    ,0.06337037037037037
33  ,BHLAW-1 ,11.2 ,6.0  ,8.9   ,                 ,           ,           ,0.0    ,3.9  ,60.76    ,0.21561111111111111
34  ,BHLAW-1 ,15.0 ,2.9  ,4.9   ,                 ,           ,           ,0.0    ,12.7 ,86.13    ,0.45512962962962966
35  ,BHLAW-1 ,9.7  ,0.9  ,6.5   ,                 ,           ,           ,0.0    ,7.8  ,87.82    ,0.4624444444444445
36  ,BLKWW-1 ,-1.2 ,0.0  ,0.7   ,                 ,           ,           ,0.0    ,-1.6 ,96.83    ,0.2817391304347826
37  ,BLKWW-1 ,4.6  ,0.0  ,0.6   ,                 ,           ,           ,0.0    ,3.1  ,89.88    ,0.04120982986767486
38  ,BLKWW-1 ,16.5 ,0.3  ,4.3   ,                 ,           ,           ,0.0    ,11.8 ,73.7     ,0.012514177693761815
39  ,BLKWW-1 ,14.4 ,0.6  ,7.0   ,                 ,           ,           ,0.0    ,6.9  ,60.61    ,0.07640831758034027
40  ,BLKWW-1 ,14.5 ,0.3  ,1.3   ,                 ,           ,           ,0.0    ,13.4 ,93.31    ,0.22359168241965974
41  ,BLKWW-1 ,8.8  ,1.3  ,6.0   ,                 ,           ,           ,0.0    ,7.2  ,89.68    ,0.3291493383742911
42  ,BLLA-1  ,3.7  ,0.0  ,0.2   ,                 ,           ,           ,0.0    ,2.4  ,91.51    ,0.006479166666666667
