,datetime,temp,dew,humidity,precip,windgust,windspeed,pressure,cloudcover,visibility
0,2019-09-01,10.0,7.4,84.13,16.6,0.0,19.1,1011.7,53.2,27.0
1,2019-09-02,11.3,9.9,91.28,8.93,0.0,21.8,1011.8,65.9,21.5
2,2019-09-03,13.0,11.6,91.49,2.91,0.0,16.7,1012.0,70.1,24.9
3,2019-09-04,10.1,7.2,82.75,4.73,0.0,24.9,1008.9,53.5,21.6
4,2019-09-05,10.5,7.0,79.68,4.95,0.0,27.3,1018.9,55.9,20.6
5,2019-09-06,11.6,8.7,82.61,8.75,53.9,28.1,1012.1,61.4,22.8
6,2019-09-07,9.8,5.5,76.32,1.52,0.0,12.3,1025.7,49.5,30.0
7,2019-09-08,9.7,7.4,86.25,0.2,0.0,14.1,1021.4,45.7,25.4
8,2019-09-09,12.2,10.9,92.45,9.18,0.0,15.5,1011.1,77.4,18.3
9,2019-09-10,11.2,8.4,83.9,0.59,0.0,28.9,1013.2,55.7,23.1
10,2019-09-11,13.3,9.8,79.67,11.3,66.6,31.5,1006.1,59.0,22.3
11,2019-09-12,11.8,8.3,79.18,1.4,27.7,22.4,1018.1,59.9,27.6
12,2019-09-13,11.1,7.0,76.07,2.31,48.2,25.0,1030.7,43.4,22.1
13,2019-09-14,12.5,9.6,82.36,8.59,83.5,41.1,1021.2,68.6,17.9
14,2019-09-15,10.4,4.8,68.75,3.78,66.6,33.0,1019.4,55.8,16.6
15,2019-09-16,9.3,6.1,80.4,1.27,42.5,26.9,1020.9,55.5,24.4
16,2019-09-17,9.2,4.6,73.32,0.73,0.0,21.0,1025.9,53.5,20.5
17,2019-09-18,10.6,9.4,92.47,5.74,0.0,11.8,1028.2,76.6,21.5
18,2019-09-19,12.7,10.8,88.42,0.2,0.0,17.9,1029.1,43.6,28.7
19,2019-09-20,11.6,7.0,76.94,0.4,0.0,14.7,1024.0,3.4,26.9
20,2019-09-21,13.5,7.5,69.86,0.2,0.0,23.6,1012.1,3.8,29.7
21,2019-09-22,13.0,10.3,83.73,0.4,0.0,12.2,1003.8,45.2,23.6
22,2019-09-23,14.0,11.4,85.23,5.67,0.0,19.7,1002.9,54.7,23.6
23,2019-09-24,14.7,12.1,84.83,2.19,0.0,13.4,998.5,63.2,29.6
24,2019-09-25,14.6,12.9,89.77,2.92,0.0,14.4,996.3,77.0,26.7
25,2019-09-26,12.9,10.6,86.54,9.05,0.0,18.4,991.3,66.3,23.5
26,2019-09-27,10.2,8.8,91.69,7.33,0.0,10.0,993.7,64.0,23.5
27,2019-09-28,10.1,8.9,92.5,3.83,0.0,13.0,999.9,71.0,27.8
28,2019-09-29,11.1,9.8,91.79,2.34,0.0,13.2,1001.5,77.1,27.7
29,2019-09-30,8.9,6.7,86.18,4.01,0.0,13.4,1008.1,76.3,26.9
30,2019-10-01,6.2,3.2,81.51,1.34,0.0,17.4,1009.1,55.5,29.8
31,2019-10-02,6.5,3.8,83.12,0.6,0.0,17.2,1018.7,45.2,27.9
32,2019-10-03,6.0,3.2,83.29,0.4,0.0,20.7,1014.2,42.4,27.1
33,2019-10-04,9.2,6.2,81.4,1.2,0.0,21.8,1007.6,68.2,29.0
34,2019-10-05,8.1,5.8,85.64,1.99,0.0,17.3,1013.3,63.7,24.9
35,2019-10-06,10.3,7.9,85.48,12.22,0.0,17.1,1011.6,67.5,23.6
36,2019-10-07,11.1,7.7,79.79,8.11,61.2,29.3,1002.4,67.0,23.3
37,2019-10-08,9.6,7.4,85.8,30.32,59.4,30.5,990.3,58.4,15.8
38,2019-10-09,9.7,7.1,83.65,15.73,59.4,29.8,988.9,64.4,17.6
39,2019-10-10,9.6,7.5,87.08,12.64,0.0,19.6,994.6,58.4,20.6
40,2019-10-11,9.6,7.5,86.78,23.66,55.4,27.2,990.2,59.7,19.2
41,2019-10-12,8.2,5.6,84.06,4.97,57.6,21.4,999.0,53.3,32.9
42,2019-10-13,5.5,4.4,92.75,2.2,57.6,11.3,1002.8,44.8,29.4
43,2019-10-14,7.9,6.1,88.62,0.77,0.0,7.2,1007.0,60.2,29.2
44,2019-10-15,7.6,5.2,85.28,0.2,0.0,13.9,1002.4,47.6,27.6
45,2019-10-16,8.1,6.4,88.85,2.05,0.0,10.9,997.0,53.7,27.7
46,2019-10-17,5.5,3.7,88.6,0.4,0.0,16.1,999.4,36.8,23.2
47,2019-10-18,8.1,6.4,89.29,2.77,0.0,16.8,996.1,54.6,24.1
48,2019-10-19,8.4,6.4,87.27,5.45,0.0,22.7,1003.3,63.8,22.7
49,2019-10-20,6.1,3.5,83.53,2.86,0.0,20.1,1018.3,68.4,27.3
50,2019-10-21,4.9,2.1,82.38,0.4,0.0,25.7,1022.2,59.6,32.2
51,2019-10-22,10.2,7.4,83.07,4.37,59.4,27.1,1012.3,68.5,25.4
52,2019-10-23,10.7,7.4,79.78,1.65,0.0,23.6,1003.5,70.2,27.0
53,2019-10-24,7.8,4.8,81.58,10.41,53.6,25.9,997.7,41.7,28.3
54,2019-10-25,4.0,0.1,76.12,2.39,63.0,31.1,1002.9,33.2,30.2
55,2019-10-26,4.7,1.7,81.11,6.95,0.0,25.3,1001.7,44.7,27.6
56,2019-10-27,5.6,3.5,86.15,12.26,0.0,31.1,1017.3,61.8,22.3
57,2019-10-28,3.2,1.6,89.59,6.02,0.0,11.3,1029.6,53.4,27.4
58,2019-10-29,2.8,1.6,92.46,0.96,0.0,7.9,1033.4,56.4,27.9
59,2019-10-30,1.8,0.5,91.23,0.6,0.0,8.1,1030.3,49.8,25.4
60,2019-10-31,2.0,0.0,87.11,0.2,0.0,9.2,1020.2,50.4,24.0
61,2019-11-01,5.7,4.9,95.06,7.55,0.0,14.1,995.2,75.4,16.3
62,2019-11-02,9.8,9.2,95.88,7.44,0.0,24.3,976.5,81.3,17.5
63,2019-11-03,8.4,7.4,93.13,4.37,44.6,24.4,983.5,81.4,15.8
64,2019-11-04,8.1,6.7,90.53,7.18,55.4,27.8,993.1,77.3,19.5
65,2019-11-05,5.0,2.6,85.06,2.19,0.0,19.7,1008.3,70.6,24.3
66,2019-11-06,1.5,0.6,93.88,0.48,0.0,7.1,1003.8,59.9,26.2
67,2019-11-07,3.9,1.7,85.66,2.59,46.4,24.4,1003.1,54.0,24.6
68,2019-11-08,0.4,-1.0,89.92,1.07,0.0,11.4,1014.4,38.8,30.3
69,2019-11-09,0.6,-1.5,85.69,0.0,0.0,12.1,1010.2,43.4,31.0
70,2019-11-10,0.7,-1.2,87.43,1.0,0.0,13.8,1014.0,51.1,26.9
71,2019-11-11,2.9,1.6,91.65,12.85,35.3,18.1,991.5,73.9,21.5
