datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.2,2.6,89.21,7,59,32.1,990.6,52.7,30.5
2018-01-02,4.3,2.7,89.86,8.16,72.4,33.3,993.3,63.5,23.8
2018-01-03,4.8,3.7,92.29,15.85,77.8,34.5,984,69.3,19.6
2018-01-04,4,3.4,96.12,11.55,35.3,15.3,987.7,77.8,18
2018-01-05,2.2,1.6,95.84,4.4,,21.1,992.8,78.3,24.5
2018-01-06,1.2,-1.6,82.09,1.09,53.6,26.9,1018.4,48.8,30.3
2018-01-07,-2.6,-4.3,88.07,20.2,,10.3,1032.6,1.4,29.4
2018-01-08,-0.5,-4,77.37,10.2,,18,1025.3,11.2,33
2018-01-09,1.5,-0.1,89.67,0.2,38.9,18.2,1005.4,54,15.5
2018-01-10,2.9,2.4,96.22,1.8,,23.9,1004.2,84.7,6
2018-01-11,1.2,0.9,97.58,0.2,,8.3,1021,56.3,6.4
2018-01-12,3.9,1.8,86.58,0.2,54.5,29.4,1023,63.2,20.2
2018-01-13,4.3,1.8,83.93,3,57.6,28.4,1015.9,78.3,15.5
2018-01-14,4.9,3.5,91.19,2.28,69,54.2,1009.1,83.7,9.3
2018-01-15,4.6,3.5,92.03,24.08,65,45,987.1,60.2,27
2018-01-16,0.5,-0.4,94.02,8.02,85.3,33.2,983.3,60.2,21.7
2018-01-17,1.2,0,91.59,12.8,61.4,33.9,993.2,46,26.7
2018-01-18,1.2,0.4,94.09,231.54,40.7,21.6,995,62.6,31.8
2018-01-19,1.2,0.1,92.72,258.46,64.8,30.3,1000,65.3,30.1
2018-01-20,0.1,-0.9,93.15,6.67,53.6,23.2,1002,36.5,21.8
2018-01-21,-0.1,-1.2,92.26,6.11,55.4,33.1,1005.7,79,21.7
2018-01-22,4.9,3.7,91.78,13.56,61.2,31.6,1005.1,77.5,17.6
2018-01-23,7.1,5.6,90.35,11.22,64.4,41.9,1001,61.4,28.7
2018-01-24,6.3,3.7,83.58,13.21,80.6,50.3,989,66.8,24.1
2018-01-25,4.1,2,86.11,2.33,55.4,34,998.3,47.4,29.3
2018-01-26,2.3,0.9,90.72,0.8,,24.2,1018.3,43.7,26.4
2018-01-27,7.2,5.4,88.14,10.87,68.6,50.1,1012.8,68.7,20.2
2018-01-28,9.1,7.8,92.14,5.91,69.9,43.5,1016.6,85,16.3
2018-01-29,5.5,3.3,85.63,6.81,75.8,44.6,1020.1,48.8,29.2
2018-01-30,4.4,2.4,86.62,0.6,59.7,38.4,1017.8,76.1,27.1
2018-01-31,2.1,1,92.5,13.47,76,41,994.2,62.5,28.8
2018-02-01,2.9,-0.1,80.83,4.6,61.2,28.9,1002.8,31.2,37.2
2018-02-02,2.9,0.3,83.36,0.4,55.4,19.4,1011.9,33,37.1
2018-02-03,2.6,1.8,94.5,3.17,,15.9,1008.4,86.4,16.2
2018-02-04,2.2,1,92.06,1.9,,7.7,1029.5,52.6,21.4
2018-02-05,0.8,-1.9,82.53,0.2,,22.8,1028.6,80.2,36.7
2018-02-06,0,-2.8,82.26,3.65,,20.8,1019.9,48.3,30.3
2018-02-07,-1.1,-3.2,85.81,1.6,53.6,35,1019.1,47.5,35.6
2018-02-08,4.7,3.6,92.32,2.28,55.4,31.7,1006.5,80.2,19.6
2018-02-09,1.7,-0.3,86.47,3.8,47.3,22.4,1007.4,36,32.5
2018-02-10,3.9,2.4,89.88,4.77,58.6,46.1,998.6,79.7,14.8
2018-02-11,0.8,-1,87.85,16.66,53.6,31.3,998.7,43.5,33.2
2018-02-12,1.3,-0.5,87.82,6.88,55.4,36.8,1004.9,63.4,31
2018-02-13,1.8,-0.5,84.94,6.28,60.2,45.2,995.6,52.3,29.7
2018-02-14,2.5,0.1,84.07,3.58,63.4,58.7,992.3,62.6,28.7
2018-02-15,2.9,-0.2,80.2,3.45,62.9,41.3,998.7,67.5,28.9
2018-02-16,3.9,1.4,83.66,0.96,59.4,35.4,1015.4,54.4,27.9
2018-02-17,4.1,2.3,88.26,11.51,50,33.8,1016.2,58.2,31.9
2018-02-18,4.1,3.2,93.68,2.38,,21.2,1017.3,74,20.6
2018-02-19,8.1,7.5,95.99,8.1,,21.3,1016.1,88.4,19
2018-02-20,5.1,2.4,82.84,1.24,59.4,21.8,1025,30.6,26.4
2018-02-21,3.3,0.7,83.41,0,,13.2,1029.1,85.2,26
2018-02-22,2.1,-0.6,82.41,0.2,46.4,23.9,1024.4,57.7,20.8
2018-02-23,1.5,-2.4,75.46,0,51.8,30.5,1021.6,30.9,17.7
2018-02-24,1.1,-3.9,70.1,0,,18.1,1024.6,7.4,24.9
2018-02-25,1.3,-3.2,72.91,0,,16.3,1030.7,1.6,26.4
2018-02-26,-0.3,-5,70.8,0,,19.9,1036.4,61.3,39.4
2018-02-27,-1.6,-4.5,81.3,10.43,59.4,28.1,1030.8,55.4,27.4
2018-02-28,-4.6,-6.8,84.78,0,59.6,36.6,1026.1,54.6,15.9
2018-03-01,-3.2,-5.1,86.34,180,63,41,1015.1,61.7,8.6
2018-03-02,-0.8,-3.7,80.93,0.8,57.6,42.9,1004.3,88.4,15.5
2018-03-03,-0.3,-3.3,80.07,0.2,50,30,998.7,87.2,18.5
2018-03-04,0.7,-1,88.32,1.6,,24.8,991.9,89.1,8.3
2018-03-05,2.6,1.6,93.21,34.13,,20.3,987.7,84.4,14.9
2018-03-06,2.1,1.4,94.7,14.32,,23.9,986.6,87.1,13.8
2018-03-07,3,1.7,90.93,10,,22.5,989,77,23.4
2018-03-08,2.7,0.7,86.65,4.53,61.2,23.6,991.5,38.8,31.3
2018-03-09,3.5,-0.1,78.15,1.42,47.7,29.4,998.5,33.3,33.2
2018-03-10,3.6,2.3,91.4,11.87,35.3,28.7,992.3,86.8,16.1
2018-03-11,6.2,4.7,90.78,20.56,,14.4,991.9,57.4,19.2
2018-03-12,4.6,2.9,89.37,20,,10.3,994.7,83.5,24
2018-03-13,4.9,2.1,82.64,0.6,,16.4,1004.4,70.8,31
2018-03-14,5.7,1.9,76.24,0.2,68.4,40.8,997.7,69.1,36
2018-03-15,5.3,2.8,84.2,4.58,55.8,36.4,990.7,80.8,19.5
2018-03-16,4,1.4,83.67,2.24,52.5,39.8,1002,85.6,32.3
2018-03-17,-0.2,-4.6,72.55,0.42,57.6,34.4,1018.8,69.1,20.9
2018-03-18,-1,-4.9,74.98,60.38,59.4,35.7,1021.7,71,20.8
2018-03-19,1.4,-3.2,72.21,3,51.8,30.2,1025.9,37.4,30.5
2018-03-20,2,-2.9,72.31,0,,15.2,1031.7,19.6,35
2018-03-21,4.8,2.7,86.75,0.85,57.6,32.5,1025.8,83.9,26.6
2018-03-22,6.4,4.1,85.46,0.66,52.4,41,1011.8,90.1,23.5
2018-03-23,6,4,87.29,12.73,61.2,36.8,991.3,71.6,28.2
2018-03-24,4.4,1.5,82.09,0.6,,23.6,1002.5,33.2,33
2018-03-25,5,2.2,82.77,0.58,,24.9,1010.6,44.6,33.1
2018-03-26,4,0.7,80.15,0.4,,18.8,1014.6,37.1,35.9
2018-03-27,5.6,4.1,90.2,10.17,46.4,31.6,1001.9,79.7,21.2
2018-03-28,3.6,1.7,87.84,1.99,,21.2,1001,57.2,34.3
2018-03-29,3,-0.5,79.45,0.4,33.5,29.8,1000.5,36.5,37.2
2018-03-30,3.2,1.1,85.94,0.49,51.8,32.8,1000.7,75.5,32.9
2018-03-31,2.9,1.3,89.51,4.45,57.6,32.2,1006.6,79.9,20.8
2018-04-01,2.6,-1.2,77.18,0.4,,19,1013.4,83.6,33.8
2018-04-02,1.5,-0.4,87.47,4.14,53,36.2,1001.2,86.3,21.4
2018-04-03,2.2,1.6,95.85,19.93,,27.8,989.6,90.5,11.5
2018-04-04,2,1.5,96.67,19.39,66.6,30.4,994.7,84.6,9.4
2018-04-05,3.5,-0.4,77.08,6.2,,25.3,1011.2,42.4,39.3
2018-04-06,7.1,2.7,73.37,1.34,55.6,37.4,1006.2,76.4,36.1
2018-04-07,8,6.1,87.8,2.53,51.8,34,1004.7,63.5,21
2018-04-08,7.5,5.9,90.36,1.24,,15.7,1008,63.2,22.1
2018-04-09,8.4,5.8,84.99,1.8,,15.6,1007.3,69.1,24.5
2018-04-10,5.6,4.3,91.68,1.88,55.2,37.6,1009.4,90.7,20.6
2018-04-11,5.9,4.7,92.33,0.2,46.4,28.8,1013.3,95.5,9.9
2018-04-12,6.3,4.2,86.81,0.31,51.8,30.7,1010.4,78.1,10.3
2018-04-13,6.6,5.3,91.53,4.92,,18.6,1007.7,89.3,8.5
2018-04-14,9.5,6.6,83,0.44,,19.7,1013.4,66,12.5
2018-04-15,10.1,6.7,79.68,1.79,48.2,23.2,1007.1,67.7,16.8
2018-04-16,9.6,6.1,79.59,6.43,58.4,47.8,1004.8,77.2,31.9
2018-04-17,10.3,7.5,82.81,3.9,68,51.1,1006.8,75.9,20.3
2018-04-18,12.1,9.6,85.31,1.02,64.8,35.8,1019.1,73.4,28.6
2018-04-19,12.9,9.4,79.25,0,46.4,30.2,1021.4,36,36
2018-04-20,10.3,6.6,79.2,0.2,46.4,26.9,1023,43.5,32.7
2018-04-21,11.2,5.3,69.66,0,33.5,21.9,1018.3,30.3,36.1
2018-04-22,9.9,6.5,79.44,3.15,47.4,38.4,1004.4,70.4,27.5
2018-04-23,8.4,6.4,87.48,11.62,61,43,1006.3,77.4,26.5
2018-04-24,8.4,5.6,83.23,4.02,53.6,33,1006.4,69.6,27.5
2018-04-25,7.5,4.9,83.93,6,54.2,34,1004.4,57.3,31.4
2018-04-26,7.1,4.4,83.25,3.39,61,35.3,1006.9,51.8,27.1
2018-04-27,6.8,2.3,74.55,0.6,,19.3,1009.3,32.6,32.4
2018-04-28,5.5,2.7,82.82,7.8,,18.2,1013.6,55.7,32.6
2018-04-29,5.6,1.4,76.49,0.76,,16.6,1017.4,50.6,35.3
2018-04-30,6.1,1,72.16,0.2,,19.4,1013.8,17.9,35.3
2018-05-01,6.2,2.9,80.06,1.64,61.6,38.5,1001.5,47.3,33.9
2018-05-02,7.5,3.8,78.68,10.15,51.4,36.6,998.3,60.8,31.8
2018-05-03,7.5,5.3,86.35,1.06,51.4,34.6,1012.8,77.3,21.4
2018-05-04,10.8,9,88.59,1.5,37.1,29,1019,81.7,32.6
2018-05-05,11.3,9.3,87.67,0.2,50,34.2,1022.5,50.7,27.9
2018-05-06,12.9,9.5,80.76,0.2,38.9,23.8,1021.4,27.8,34.1
2018-05-07,13.3,7.8,71.86,0,40.7,26.2,1016.5,49.5,33.8
2018-05-08,10.8,8.1,83.83,2.26,46.4,27.9,1007.6,68.9,25.5
2018-05-09,8.2,6.1,86.93,2.32,57.8,35.4,1004.7,60.1,27.4
2018-05-10,8.6,4,74.16,2.44,48.2,27.5,1010.3,48.6,28.1
2018-05-11,9.2,4.5,73.54,0.68,61.3,40.3,1011.1,51.9,32.2
2018-05-12,10,4.8,72.33,7.06,,19,1012.2,43.3,37.8
2018-05-13,10.8,6.3,75.92,6.24,,22.6,1014,53.5,32.4
2018-05-14,11.2,5.9,71.53,0,,14.6,1021.5,5.7,33.2
2018-05-15,10.9,7.9,82.48,0,,22.7,1023.1,54,24.3
2018-05-16,9.5,3.4,67.82,0,38.9,13.5,1030.3,20.8,35.6
2018-05-17,9.9,4,68.97,0,,14.2,1029.5,23.1,39.3
2018-05-18,10.9,5.6,71.21,0,,14.1,1025,44.5,36.5
2018-05-19,12.4,5.2,63.76,0,50,32.1,1021.6,14.6,35.6
2018-05-20,13,6.1,63.25,0,53.5,36.9,1018.3,83.6,33.8
2018-05-21,13.1,7.5,69.24,0,,23,1018.5,50.6,39.5
2018-05-22,10.1,6.8,80.5,0,31.7,27.2,1023.8,77.3,35.3
2018-05-23,11.6,7.8,78.96,0,,20.3,1026.9,43.4,30.3
2018-05-24,12.6,8.5,78.65,0,35.3,19.9,1025.4,22.1,19.4
2018-05-25,13.2,8,73.1,0,51.5,28.2,1025.4,34.9,20.8
2018-05-26,13.7,9.5,77.24,0.25,48.2,27.5,1027.8,56.8,16
2018-05-27,14.3,10.2,78.76,0,46.4,23.8,1022.9,36,20.5
2018-05-28,16.3,11.4,74.86,0,,15.8,1021.9,12.3,27.2
2018-05-29,14.1,11.4,84.22,0,31.7,24.6,1023.2,41.8,20
2018-05-30,14.2,11.6,85.23,0.2,,22,1017,66.2,15.3
2018-05-31,15.5,13.4,88.09,1,,12.9,1015.4,79,11.9
2018-06-01,16.5,14.3,87.46,1.85,,13.2,1017.1,46.9,13.5
2018-06-02,15.8,14.4,91.5,3.51,,11.1,1017.3,57.7,10.1
2018-06-03,15.5,13.7,89.52,8.68,,8,1019.6,74.1,10.6
2018-06-04,15,13.2,88.98,3.2,,18.7,1019.6,62.8,11.2
2018-06-05,13.2,7.9,72.16,0.4,,16.9,1020.3,46.2,28.9
2018-06-06,13.3,7.8,71.63,0,,12.7,1018.3,26.7,25.4
2018-06-07,14.4,8.7,70.9,2,,15.6,1018.6,25.3,28.2
2018-06-08,14.5,9.3,72.39,0.4,,13.3,1018.7,63.9,31.3
2018-06-09,15,11,78.16,10.35,,15.6,1016.7,53.1,23.4
2018-06-10,14.4,11.1,82.26,0.2,,15.2,1015.7,66.3,18.1
2018-06-11,13.2,9.8,80.32,0.2,,17.8,1016.4,64.2,31.6
2018-06-12,13.9,10.2,79.8,3,,18,1018.6,61.3,26.1
2018-06-13,11.6,8.8,83.04,0.38,60.7,44.1,1012.1,58.1,24
2018-06-14,12.5,9.4,82.14,20.61,86,60.2,999.4,71.6,23.1
2018-06-15,10.6,7.9,83.65,4.96,48.2,25.9,1011.6,69.2,30.2
