datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.4,2.9,89.75,14.17,68.4,26.6,990.6,45,16.6
2018-01-02,4.3,3.1,91.56,9.56,63,28,992.1,55.3,11.3
2018-01-03,5.1,3.8,91.17,28.18,68.4,27.4,984.3,55.9,11.8
2018-01-04,4,3.4,95.62,19.79,57.6,20.2,987.4,62.9,11.6
2018-01-05,2.9,1.9,92.9,11.4,50,18.8,992.3,67.2,19.2
2018-01-06,1.8,-2.3,74.73,0.2,55.4,27.3,1019.1,23.6,22.5
2018-01-07,-2.5,-4.7,84.9,20,,10.1,1031.8,9.3,16.1
2018-01-08,-1.5,-4.1,82.51,10.2,76,30,1023.6,10.7,16.7
2018-01-09,2.7,1.1,89.15,0,79.6,36.2,1003.4,78.6,10
2018-01-10,2.8,2.2,95.73,2,66.6,21.8,1003.8,72.1,7.2
2018-01-11,1.5,1.2,97.56,0.2,,14.8,1020.6,53.7,5.7
2018-01-12,3.5,2.1,90.48,0,83.5,29.8,1020.9,74.3,10.1
2018-01-13,4.5,3,90.05,6.73,70.6,30.9,1013.7,78.8,8.2
2018-01-14,5.9,4.5,91.18,8.08,71.8,53.5,1006.9,73.9,10.6
2018-01-15,4.6,3.4,92.44,15.77,81.7,39.3,987,56.9,15
2018-01-16,0.8,-0.4,91.26,13.26,100.1,41.1,983,54.7,13.8
2018-01-17,2.1,0.1,86.96,11.21,96.5,36,993.1,43.8,14.5
2018-01-18,1.4,0.4,93.55,20.87,59.4,19,995.2,51,19.2
2018-01-19,1.5,0.2,90.98,10.8,64.8,29.5,999.6,53.3,18.3
2018-01-20,0.2,-1.1,91.08,8.97,,16.3,1001.9,32.7,19.5
2018-01-21,0.4,-0.6,93.54,15.48,76,26.2,1004.3,65.5,8.5
2018-01-22,6,4.3,89.02,6.41,59.4,33.1,1004.7,70.7,10.9
2018-01-23,7.7,6.3,90.62,9.27,66.6,40.6,999.3,64.6,12.6
2018-01-24,6.5,4,84.13,11.88,87.1,53.6,987.4,62.8,14
2018-01-25,4.7,2.6,86.09,2.2,53.6,31.6,997.4,64.8,16.7
2018-01-26,2.5,1,90.25,0.73,,21.2,1017.8,25.9,19.1
2018-01-27,7.4,5.6,88.17,7.77,83.5,41.9,1012.4,69.3,9.8
2018-01-28,9,7.8,92.47,11.52,70.8,50,1016.4,65.2,7
2018-01-29,5.6,3.2,84.24,11.1,64.8,45.1,1020.6,36.3,16.2
2018-01-30,5.2,3.3,87.53,0.4,68.4,40.9,1016.9,68.7,15.4
2018-01-31,2.8,1.1,88.77,14,85.3,34.3,994.3,49.4,15.6
2018-02-01,3.9,0.6,79,3.89,92.5,42.4,1004.8,26.2,18.5
2018-02-02,4,1.1,81.88,0.4,70.6,24.7,1012.4,36.9,18.1
2018-02-03,3.7,2.2,90.09,4.6,59.4,21.5,1008.7,48.5,15
2018-02-04,3,1.1,88.22,0,,12.8,1029.4,36.9,14.3
2018-02-05,1.2,-0.8,87.01,0.2,,23.8,1027.7,57.7,15.1
2018-02-06,1,-2,80.68,4.48,55.4,24.4,1020.5,23.7,18.6
2018-02-07,0.2,-1.5,88.24,2,48.2,31.5,1018.4,43.4,17
2018-02-08,5.3,4.1,91.6,1.77,61.2,27,1005.7,61,11.2
2018-02-09,2,-0.4,84.54,7.29,68.4,25.7,1007.7,33.3,18.4
2018-02-10,4.4,2.7,89.06,11.58,64.8,35.3,997.7,67.6,11.4
2018-02-11,1,-0.9,87.18,5.49,70.6,30.2,999.6,33,19.3
2018-02-12,1.8,-0.1,87.76,7.65,74.2,35.5,1003.5,55.2,17.1
2018-02-13,2.6,-0.2,82.44,8.24,74.2,36.3,994.7,43.8,19.1
2018-02-14,3.5,1,83.94,7.71,87.1,48.5,989.8,55,17.3
2018-02-15,3.3,0.6,82.5,2.95,77.8,43.7,997.6,51.8,15.8
2018-02-16,4.2,1.9,85.27,3.25,59.4,31.9,1014.1,52.2,15.4
2018-02-17,4.5,2.9,89.32,3.33,,24.5,1015.4,52.3,16.3
2018-02-18,4,3.5,96.34,4.78,,19.4,1016.2,68.9,7.3
2018-02-19,7.8,7.1,95.4,3.13,,24.7,1016.5,76.1,9
2018-02-20,5.5,2.6,82.19,1,,23.6,1025.8,16.7,12.5
2018-02-21,3.2,1,85.97,0.2,,14.4,1028.6,33.2,12.5
2018-02-22,3.4,0.8,83.16,3,53.6,24.1,1022.8,63.7,12.8
2018-02-23,2.3,-1.6,75.77,0,68.4,31.4,1019.7,40.6,11.4
2018-02-24,1.6,-3,72.06,0,68.4,27.3,1023.1,20.9,14.4
2018-02-25,1.8,-1.9,76.87,0,64.8,24.7,1029.4,3.5,15.2
2018-02-26,0.2,-4.2,72.98,0,51.8,26.6,1035.8,51.1,22.6
2018-02-27,-0.5,-4.2,76.04,10.2,51.8,28.4,1031.3,44.8,21.3
2018-02-28,-3.8,-6.6,81.3,0,74.2,38,1026.3,58.6,12.3
2018-03-01,-2.3,-5,81.58,0,74.2,45.2,1015.1,62.2,10.3
2018-03-02,0,-3.4,77.93,0,96.5,44.8,1003.7,78.4,14.4
2018-03-03,0.5,-3,77.47,0,61.2,32.9,998,78.5,15.6
2018-03-04,1,-1.2,85.43,0.91,50,29.3,991.3,80,8.7
2018-03-05,2.7,1.8,94.06,231.68,59.4,29.2,987.1,79.3,9.6
2018-03-06,2.4,1.5,93.72,22.21,59.4,31.9,986.3,81.1,11.4
2018-03-07,3.2,1.8,91.15,15.76,46.4,24.1,987.6,69.7,13.4
2018-03-08,2.6,0.8,88.27,2.31,,23.1,990.9,44.9,17.5
2018-03-09,3.8,0.5,79.57,4.6,53.6,30.2,997.8,33.8,18.4
2018-03-10,3.8,2.3,90.3,10.42,76,37.8,991.1,75.2,12.7
2018-03-11,5.2,4.1,92.89,4.87,,13.4,991.4,64.1,8.8
2018-03-12,5.3,2.9,85,0.2,,15.5,994.6,67.5,15.2
2018-03-13,5.2,2.2,81.77,0.5,53.6,20.9,1003.8,54.7,16.7
2018-03-14,5.9,2.4,77.97,7.47,81.7,40.9,994.8,63.5,20
2018-03-15,5.5,3.4,86.37,10.7,77.8,44.6,988.5,72.9,10.8
2018-03-16,4.1,2,86.19,1.95,72.4,40.6,1000.5,79.4,16.2
2018-03-17,0.7,-4.4,69.04,0,96.5,45.1,1017.9,66.5,17.8
2018-03-18,-0.3,-4.6,73.46,60,64.8,39.8,1022.2,65.2,17.8
2018-03-19,2,-4.6,63.02,2.8,,25.2,1026.3,20.1,22.4
