datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.7,1.8,87.78,4.58,50,20.2,990,40,41.8
2018-01-02,2.9,1.9,92.77,5.68,72.4,19.2,994.6,61.9,31.2
2018-01-03,4.6,3.3,91.71,16.89,77.8,27.9,982.9,68.9,27.7
2018-01-04,4.1,3.5,95.94,10.82,35.3,10.1,987.5,75.5,20.8
2018-01-05,3,2.3,95.45,15.3,,21.6,992.3,76,27.8
2018-01-06,3.2,-0.5,77.27,6.54,53.6,27.6,1017.3,70.2,32.9
2018-01-07,-0.6,-2.9,84.64,0.2,,10.8,1032.3,23.4,37.9
2018-01-08,-0.7,-2.6,87.06,0.2,,16.5,1026.7,22.2,32
2018-01-09,3,1.7,91.51,0.2,48.2,20.7,1007.1,93.7,11.3
2018-01-10,3,2.4,96.13,1.38,,10.2,1004.3,94,6.9
2018-01-11,4.6,3.5,92.81,0.42,,12.8,1020.1,92.6,25.1
2018-01-12,4.2,2.9,91.67,0.2,,16.7,1024.4,78.5,15
2018-01-13,4.2,2.1,86.19,0,,22.6,1017.8,88.1,12.1
2018-01-14,4,2.1,87.44,0.96,71,35.6,1010.9,82.3,11.9
2018-01-15,5.1,3.2,88.04,11.86,70.6,37.2,986.6,62.5,42.4
2018-01-16,0.4,-0.7,92.5,3.52,52,26.2,982.7,53.4,29.3
2018-01-17,1,-1,86.85,118.94,59.4,29,991.9,34.8,33.2
2018-01-18,0.8,-0.6,90.51,13.02,,18,994.1,51.1,37
2018-01-19,0.4,-1,90.29,4.51,50,25.6,999.4,51.2,40
2018-01-20,-0.6,-2.4,87.56,1.48,,21.2,1001.4,28.5,39.9
2018-01-21,-1.1,-2.6,89.69,1.28,,18.3,1006.6,79.8,30.1
2018-01-22,3.7,2.4,91.42,1.77,48.2,22.8,1004.5,72.7,30.8
2018-01-23,7.1,5.5,89.43,7.5,60.1,43.1,1001.7,67.2,37.8
2018-01-24,6.7,3.9,82.41,13.23,83.4,50.8,989.4,57.7,28.1
2018-01-25,4.4,2.1,85.28,8.36,55.4,31.8,998.8,49.7,33.7
2018-01-26,3.4,1.2,85.77,0.6,,13.5,1018,72.3,43.1
2018-01-27,7.2,4.3,82.02,11.86,78.5,41,1012.1,71.1,30.4
2018-01-28,9.1,6.7,85.35,3.38,77.9,54,1015.2,68.1,26.8
2018-01-29,6.2,2.7,78.55,3.1,75.2,50.3,1018.5,44.9,42.8
2018-01-30,4.2,1.8,84.88,0.6,63.4,36.1,1017.6,77.5,40.7
2018-01-31,2.5,0.6,87.36,10.52,60.9,36.4,993,46.4,41.7
2018-02-01,3.6,-1,71.86,1,61.2,28.9,999.5,30.9,48.2
2018-02-02,3.7,-0.1,76.3,0.4,55.4,19.3,1010.6,55.8,45.2
2018-02-03,1.9,1.1,94.59,2.01,,9,1008.2,86.6,26.6
2018-02-04,2.3,1.3,93.28,2.2,,8.6,1029.3,58.1,27.6
2018-02-05,0.1,-1.8,87.64,0.2,,12.8,1029,81.1,35
2018-02-06,0.5,-2.5,80.69,1.92,,17.1,1018.8,71.8,36
2018-02-07,-0.6,-4,78.32,0.4,53.6,26.9,1018.6,43.7,45.2
2018-02-08,4.4,3.3,92.63,3.34,52.9,27.9,1006.8,81.4,34.7
2018-02-09,2.1,-0.7,83,2.17,46.4,22,1006.5,38.7,38.5
2018-02-10,3.9,1.7,86.31,1.72,69.1,27.1,999.1,81.5,28.8
2018-02-11,1.4,-1.7,80.04,14.25,53.6,26.8,996.1,30.6,41.9
2018-02-12,1.1,-1.5,82.94,3.4,48.2,27.9,1004.8,28.7,44.5
2018-02-13,1.6,-0.7,84.74,7.19,51.8,25.6,996.6,54.1,40.8
2018-02-14,1.6,-0.6,85.37,7.15,68.4,30,994.7,65.9,39.2
2018-02-15,3.2,0.1,80.84,5.28,64.6,40.4,998.5,57.5,37.7
2018-02-16,3.6,0.8,82.31,1,57.6,26.7,1015.9,52,37.9
2018-02-17,4,1.8,86.05,4.79,50,24.5,1016.5,59.6,39.7
2018-02-18,3.1,2.3,94.52,0.97,,10.8,1018.1,72.5,16.9
2018-02-19,6.6,6.3,97.85,6.15,,8.7,1015.5,81.8,8.1
2018-02-20,6,2.4,78.63,1.4,59.4,20.9,1023.6,35.2,35.1
2018-02-21,2.8,0.4,85.14,0,,11.7,1029.3,35.4,21
2018-02-22,1,-0.9,87.88,0.78,,16.6,1025.2,38.7,21.6
2018-02-23,0.9,-2.3,79.62,0.2,44.6,22.7,1023,45.8,23.6
2018-02-24,1.9,-2,76.18,0,46.4,25.1,1026,26.4,26.7
2018-02-25,1.6,-2.3,75.69,0,,22.5,1032.1,57.2,33
2018-02-26,0.7,-3.6,73.31,0.73,,19.8,1036.7,85.2,43.9
2018-02-27,-0.5,-2.9,84.23,6.42,59,29.4,1030.1,68.8,28
2018-02-28,-3.9,-5.9,85.8,0,79.6,37.4,1026.5,62.6,11.2
2018-03-01,-2.5,-3.7,91.51,110,79.6,45,1016.4,69.9,4.9
2018-03-02,-0.4,-2.7,84.53,60.4,68.8,42.4,1006.3,91.1,10.9
2018-03-03,-0.1,-2.6,82.85,133.24,57.6,30.3,999.9,92.6,19.3
2018-03-04,1.1,-0.1,91.95,127.91,,19.4,993.1,86.3,5.7
2018-03-05,2.3,2.2,98.5,19.34,,20.2,988.8,59.1,3.8
2018-03-06,2.6,2.2,97.44,19.56,59.4,28.3,987,91,11.1
2018-03-07,2.8,1.4,90.69,7.76,,19.4,989.9,70.5,24.8
2018-03-08,2.8,0.6,86.2,46.81,,16.4,991.7,34.2,33.9
2018-03-09,3.1,-0.2,80.24,0.4,48.2,26.5,998.5,18.6,40.5
2018-03-10,3.7,3.3,97.04,12.8,51.8,26.7,993.6,89.2,9.9
2018-03-11,5.8,5.1,95.53,6.19,,11.6,992.3,88.7,15.6
2018-03-12,4.5,3.6,93.87,0.4,,11.3,994.7,87.5,24.6
2018-03-13,4.7,2.8,87.4,0.4,,12.4,1004.5,82.1,31.4
2018-03-14,4.4,2.1,84.88,0.4,53.6,26.9,1000.7,56.2,29.2
2018-03-15,4.7,3.1,89.08,3.5,67.5,37.7,993.9,95.7,8.3
2018-03-16,3,2,93.16,13.52,66.6,35.9,1005.2,91.6,10.4
