datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.4,2.2,91.68,18.15,,20.2,990.2,46,19.9
2018-01-02,3.3,2.3,93.43,8.4,,24.4,992.8,53.7,14.1
2018-01-03,3.8,2.8,93.74,13.85,55.4,23.3,983.8,60.3,12.8
2018-01-04,3.4,2.6,94.27,11.8,,19.3,988.4,67.4,13.7
2018-01-05,2.4,1.2,91.77,9.4,,16.2,993.7,63.1,16.6
2018-01-06,1.3,-2.7,74.91,0.2,55.4,29.2,1020,27.5,21.6
2018-01-07,-3,-5.3,84.32,20,,10.7,1032.7,8.5,15.8
2018-01-08,-1.9,-5,79.81,10.2,,26.5,1025.4,8.4,15.8
2018-01-09,3.2,0.6,83.6,0,,31.9,1005.4,55.2,12.9
2018-01-10,2.6,1.6,93.5,1.4,,23.4,1004.6,73.3,9.5
2018-01-11,1.2,0.5,95.65,0.4,,10.9,1021.4,37.1,9.2
2018-01-12,3.2,1.2,86.9,0,48.7,33.1,1022.5,64,13
2018-01-13,3.9,1.8,86.6,3,,26.7,1015.5,71.2,11.3
2018-01-14,5.5,3.8,89.2,7.01,74.2,54.9,1006.8,73,11.1
2018-01-15,4.1,2.7,90.72,19.87,59.4,39.5,986,54.6,14.6
2018-01-16,0.3,-0.9,91.46,5,57.6,38.2,981.7,53.6,13.2
2018-01-17,1.4,-0.4,87.95,78.61,50,40.3,992.1,42.3,15.5
2018-01-18,0.8,-0.1,94.17,8.26,,16.2,994.8,52.1,17.2
2018-01-19,0.5,-0.4,93.41,7.4,,23.6,999,46.6,16.7
2018-01-20,-1.3,-2.5,92.31,7.2,,15.9,1002.3,23.3,19.4
2018-01-21,-1.1,-2.2,92.36,1.8,,23.1,1005.3,57.8,9.9
2018-01-22,5.2,3.5,88.94,8.82,53.6,32,1003.6,62.6,12.4
2018-01-23,7,5.6,90.67,16.15,66.6,42.2,999.3,63.2,12
2018-01-24,5.9,3.5,84.94,36.82,76,51.8,986.6,64.5,13.7
2018-01-25,4.2,2.3,87.15,15.15,51.8,30.2,998,62.3,13.5
2018-01-26,1.9,0.5,90.64,1,,20.5,1018.1,29.1,19
2018-01-27,6.8,4.8,87.41,13.87,55.4,44.6,1011.2,65.7,9.6
2018-01-28,8.2,7,92.12,6.94,79.6,50.1,1015.1,66.9,7.6
2018-01-29,4.8,2.5,84.98,22.28,53.6,45.6,1019.3,37.7,19.6
