datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,6,3.7,85.15,3.29,63,36,991.9,48.2,24
2018-01-02,6.3,4.3,86.83,11.02,59.4,65.1,993.4,58.1,14
2018-01-03,7,4.8,86.08,18.25,65.8,46.5,986.1,51.7,16.4
2018-01-04,5.5,4.3,92.45,15.37,,21,987.8,65.9,15.3
2018-01-05,2.9,1.9,92.99,3.91,,12.8,992.1,47.1,24.4
2018-01-06,2.2,-1.2,78.16,0.2,,22.3,1017.5,20.9,31.1
2018-01-07,-0.9,-3.6,81.85,0.2,,14.2,1031.5,1.3,31.8
2018-01-08,0.5,-3,77.58,0,,27.1,1023.6,16.7,29.5
2018-01-09,3.1,1.6,89.73,0.2,64.8,31.6,1003.9,81.3,9.4
2018-01-10,3.5,2.9,95.77,4.06,,27.4,1003.7,70.6,7.3
2018-01-11,1.6,1.2,97.44,0.4,,6.8,1020.6,46.6,6
2018-01-12,5.4,3.6,88.24,0.4,54.5,34.2,1021.9,72.1,11.4
2018-01-13,6.1,4.1,87.34,3.95,57.6,39,1014.5,81.2,9
2018-01-14,6.9,5.7,91.8,10.91,74.2,48.8,1009.5,79.6,9.1
2018-01-15,6.3,4.6,89.2,9.4,59.4,38.8,989,64.7,21.2
2018-01-16,2.4,0.5,87.39,4.13,85.3,45.1,985.8,54.4,26.3
2018-01-17,3.4,1.2,86.06,9.29,72.4,44.1,995.3,58.4,16.6
2018-01-18,2.9,1.5,90.94,15.67,40.7,26.7,996,52.2,27.5
2018-01-19,3.1,1.1,86.74,3.53,64.8,37.1,1001.6,50.5,28.8
2018-01-20,2.1,0.6,89.69,7.21,53.6,28.6,1002.2,40.5,22.4
2018-01-21,3,1.9,92.75,11.6,55.4,36.9,1005.4,81.9,15.4
2018-01-22,7.1,5.3,88.43,1.11,61.2,33.2,1006.7,74.1,14.9
2018-01-23,8.8,7.2,90.03,5.88,70.6,36.7,1002.1,61,15.3
2018-01-24,7.7,4.6,81.13,5.83,88.9,53.3,990.5,47.1,18.7
2018-01-25,5.4,3,84.62,3.82,48.2,29.8,998.3,49.3,25.2
2018-01-26,3.5,2.2,90.91,0.4,,25.6,1018.4,27.3,21.4
2018-01-27,8.5,6.5,87.46,10.87,68.4,40,1015,70.7,12.7
2018-01-28,10,8.6,90.79,4.97,69.4,45.9,1019.2,64.7,17.3
2018-01-29,6.7,4.4,85.59,7.25,77.8,43,1022.2,43.6,18.5
2018-01-30,5.6,3.2,84.78,0.4,57.6,40.2,1019.4,54.6,23.2
