datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.8,0.4,97.05,19.55,,16.4,990.1,48,28.2
2018-01-02,1.4,0.6,94.25,7.58,48.2,24.8,992.6,54.1,26.6
2018-01-03,1.2,0.9,97.49,1,,11.5,983.8,56.8,17.3
2018-01-04,1,0.6,97.17,8.8,55.4,10.2,989.4,71.1,25.1
2018-01-05,1.4,0.8,95.65,8.88,29.5,23,995.2,67.6,23
2018-01-06,0.4,-2.8,79.58,0.72,,26.2,1021.7,65.8,26.7
2018-01-07,-3.2,-5.5,83.82,0,,18.8,1032.7,8.2,34
2018-01-08,-1,-7,64.31,0,,20.8,1025.4,5.3,33.5
2018-01-09,2.8,0.2,82.64,1.2,51.8,25.4,1005.5,36.5,27.5
2018-01-10,2.1,0.9,92.15,1.4,,20.9,1004.9,53.5,29.4
2018-01-11,-0.5,-1.3,94.78,0.4,,9.4,1022.1,33,27.9
2018-01-12,2.9,-0.3,79.71,0.2,59.1,26.6,1021.8,39.4,36.3
2018-01-13,4,0.5,78.35,0.4,61.2,27.6,1015,62,22.7
2018-01-14,5,2.2,82.41,6.52,72.4,42.1,1004,61.7,24.8
2018-01-15,2.6,1.2,90.26,12.8,,30.6,984.2,54.5,18.8
2018-01-16,-1.1,-2.2,91.95,0,,28.6,979.5,47.8,12.5
2018-01-17,-0.3,-1.5,91.68,218.17,55.4,32.3,990.4,47.5,19.8
2018-01-18,-1,-1.7,95.33,48.63,,17.8,994.3,45.6,18.6
2018-01-19,-1,-1.8,94.26,160,,18.9,997.7,29.6,19.9
2018-01-20,-4,-4.8,94.73,140,,11.2,1002.9,36.9,23.9
2018-01-21,-1.7,-3.3,89.1,130,64.8,30.5,1004.6,60.1,24.4
2018-01-22,4.5,2.4,86.33,10.05,,30.4,1001.5,62.5,16.9
2018-01-23,5.5,4,89.84,25.9,38.9,34.5,997.3,58.3,17.7
2018-01-24,3.8,2.1,88.85,56.83,92.5,60.4,984,56.4,16.4
2018-01-25,1.6,1,95.87,16.29,46.4,20.7,998.2,57.6,19.2
2018-01-26,1.7,0.6,92.62,0.9,,19.7,1017.9,45.8,29.7
2018-01-27,5.3,2.8,84.23,9.74,87.1,46.9,1008,61.6,15.2
