datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.3,-0.4,95.2,11.53,,19.9,988.9,33.5,43
2018-01-02,1.2,0.2,93.25,8.02,,26.4,991.7,49.3,39
2018-01-03,0,-0.5,96.65,1.79,,13.9,983,53.8,22
2018-01-04,1.5,1.1,97.25,22.39,,11.6,989.6,81.5,21.1
2018-01-05,2.6,1.6,93.45,3.43,,36.2,995.9,70.2,29.1
2018-01-06,1.9,-1.7,77.63,2.18,,36.9,1021.7,83.1,25.1
2018-01-07,-1.8,-4.7,80.5,0,,15.6,1030.7,17.9,41.2
2018-01-08,-0.5,-5.1,71.88,0,,30,1024.5,3.9,39.5
2018-01-09,3.8,1.4,84.31,0,,24.8,1005.7,35.1,24.9
2018-01-10,3.7,2,88.56,0.2,,19.7,1004,70,35.1
2018-01-11,-0.7,-1.5,94.22,1.6,,15.4,1021.3,14.2,31.3
2018-01-12,1.2,-0.9,86.68,0.4,,27,1021.3,11.4,32.7
2018-01-13,4.2,0.9,79.4,0.4,,24.7,1014.5,66.5,23.1
2018-01-14,6.1,2.3,77.25,3.01,,37.6,1001.7,67.5,40
2018-01-15,3.3,1.6,88.38,4.98,,27.1,982.1,65.8,34.7
2018-01-16,-0.3,-1.5,91.65,1.39,,27.6,976.9,48.2,27.2
2018-01-17,0.8,-1.2,87.14,44.2,,35.4,987.6,44,32.9
2018-01-18,-0.2,-1.8,89.01,14.8,,18.4,992.3,47.4,38.4
2018-01-19,-0.4,-2.1,88.38,90,,19.6,995.6,39,41.6
2018-01-20,-3.2,-4.3,91.91,170,,18.5,1001.2,24.1,38.6
2018-01-21,-2.1,-3.8,88.4,150.4,,26.6,1003.3,66.1,35.9
2018-01-22,5.1,2.6,83.71,8.18,,33.8,999,75.2,27.2
2018-01-23,6.4,4.2,85.71,14.72,,32.6,995,64,37.1
2018-01-24,4.6,2.7,86.97,23.19,,60.1,981.4,68.4,29.2
2018-01-25,1.8,0.9,93.89,6.96,,15.8,997.3,63.2,39.4
2018-01-26,2.8,1.5,91.1,1.28,,16,1017,71.3,34.3
2018-01-27,6.5,2.8,77.65,3.73,,55.5,1004.6,71.9,27.8
2018-01-28,6.4,3.4,81.86,5.41,,49.6,1010.6,72.9,24.5
2018-01-29,3.8,1.6,85.71,21.79,57.6,33.5,1015.5,48.7,31.4
2018-01-30,5.1,2.6,83.85,28.74,72.4,33.5,1009.8,63.2,34.1
2018-01-31,2.3,0.5,87.81,15.11,59.4,35.8,988.5,44.5,30.4
2018-02-01,4,1.6,84.1,10,68.4,45.2,1001.4,50.4,19.6
