datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.8,0.4,97.04,16.39,,13.5,989.8,50.4,27.2
2018-01-02,1.3,0.4,93.91,6.78,48.2,20,992.4,56.5,25.9
2018-01-03,1.1,0.7,97.51,1,,9.3,983.6,60.2,17
2018-01-04,1.4,1,97.47,9.17,,7.8,989.4,82,21.3
2018-01-05,2,1.4,95.8,8.21,29.5,23.6,995.3,77.3,21.9
2018-01-06,1.2,-2,79.93,0.95,,27.2,1021.7,74.3,23.2
2018-01-07,-2.9,-5.4,83.47,0,,13.3,1032.3,9.9,31.1
2018-01-08,-1,-5.7,71.01,0,,17.3,1025.2,5.2,30.9
2018-01-09,2.8,0.4,84.38,1.2,51.8,21.2,1005.6,36.5,24.6
2018-01-10,2.6,1.2,91.04,1.6,,18.2,1004.7,62.4,27.4
2018-01-11,-0.7,-1.2,96.27,0.4,,9.3,1022,34.4,23.9
2018-01-12,2.5,-0.5,81.17,0.4,53.6,23.9,1021.7,34.7,31.8
2018-01-13,4.5,0.7,76.64,0.4,61.2,26.2,1014.9,66.6,21
2018-01-14,5.7,2.2,78.52,5.42,72.4,36.5,1003.5,68.1,24.7
2018-01-15,3.2,1.7,89.84,11.1,,26.8,983.7,61.3,19.3
2018-01-16,-0.6,-1.7,92.51,1,,26.8,978.9,54.1,13.1
2018-01-17,0.2,-1.1,90.95,213.38,55.4,25.5,989.8,51.1,20
2018-01-18,-0.6,-1.5,93.94,68.25,,17,993.8,48.6,20.3
2018-01-19,-0.5,-1.5,92.98,160,,17.5,997.2,37.5,21.8
2018-01-20,-3.8,-4.6,94.05,140,,10.3,1002.5,35.7,24.3
2018-01-21,-1.8,-3.6,88.15,130,64.8,31.3,1004.3,66,23.7
2018-01-22,5,2.7,84.97,10,,29.3,1001,72.1,17.1
2018-01-23,6.1,4.2,88.11,23.87,38.9,29.4,996.8,64.3,19.7
2018-01-24,4.3,2.5,87.73,48.39,92.5,54.3,983.4,64.9,16.9
2018-01-25,1.9,1.3,95.54,14.25,,13.6,998,62.7,20.4
2018-01-26,2.3,1.1,91.95,0.89,,15.7,1017.7,55.6,27
2018-01-27,5.9,3,81.74,8.88,87.1,45.2,1007.2,69.2,16.3
2018-01-28,6.2,4.2,87.19,9.05,77.8,37.9,1012.3,68.1,15.8
2018-01-29,3.6,1.5,86.09,24.49,,25.8,1017.4,51.9,25
2018-01-30,4.6,2.5,86.15,18.88,76,38.4,1012.3,66.3,17.1
2018-01-31,1.8,0.3,90.17,16.35,48.2,29.3,990.6,54.6,17.3
2018-02-01,3.2,0.8,84.21,17.87,46.4,28.6,1002.9,56.3,18.9
2018-02-02,2.6,0.9,88.65,6.99,,17.6,1012.3,66.2,25
2018-02-03,2.5,1.9,96.22,6.28,,12,1009,78.4,18.3
2018-02-04,1.9,0.8,92.44,4.16,,12.3,1030.2,56.7,30.5
2018-02-05,1.5,-1.3,82.59,0,46.4,22.8,1026.2,50.5,35.4
2018-02-06,0.2,-1.4,88.61,2.4,,19,1019.9,45.9,23
2018-02-07,-0.4,-2.3,87.12,25.67,,33.4,1016.5,56.7,21.3
2018-02-08,3.5,2.2,91.03,4.65,,21.5,1003.8,66.8,16.6
2018-02-09,1.2,-1.6,82.07,4.44,,19.5,1005.9,38.8,28.5
2018-02-10,3.2,0.7,83.63,4.7,63,30.9,995.9,66.5,19.2
2018-02-11,-0.7,-2.2,89.28,1.18,,22.5,997.6,46.3,24.5
2018-02-12,0.5,-1.6,86.14,5.95,,26.7,1001.6,45.3,23.1
2018-02-13,1.2,-0.8,87.1,9.05,37.1,27.3,993.5,56.1,21.2
2018-02-14,2.4,-0.9,79.2,8.83,85.3,39.3,988.5,60.8,21.1
2018-02-15,2.3,0.5,87.93,26.53,72.4,38.2,993.3,60,14.7
2018-02-16,3,0.5,83.73,17.59,29.5,23.9,1012,46.8,25
2018-02-17,3.2,1.2,86.54,16.19,,23.2,1014,53.4,27.7
2018-02-18,2.8,1.3,90.65,0.6,,12.7,1016.4,60.2,26.5
2018-02-19,6,5.5,96.84,6.63,,17.7,1015.7,82.1,15.7
2018-02-20,3.6,2,89.58,2.77,,17.5,1025.6,43,16.5
2018-02-21,-0.4,-2.1,89.06,0.2,50,10.4,1029.5,9.8,13.6
2018-02-22,2.4,-1,78.74,0.2,44.6,20.3,1022.7,62,21.8
2018-02-23,2.3,-2.7,70.3,0,48.2,22.1,1020.3,32.3,18.7
2018-02-24,1.5,-4.5,65.32,0,,20.5,1024.6,4.6,24.6
2018-02-25,0.1,-4.1,74.12,0,,12.1,1031.2,0.3,25.5
2018-02-26,-0.4,-4.4,75.61,0,,17.6,1037.9,49.8,33
2018-02-27,-1.3,-4.5,79.94,0.7,50,21.6,1034.5,57.1,28.2
2018-02-28,-4.8,-7.5,81.31,0,51.9,23.1,1032,48.7,20.8
2018-03-01,-4,-7.3,78.16,10,,30.8,1022.3,51.5,19.7
2018-03-02,-1.2,-4.1,80.77,13.88,126,24.9,1010.4,77.2,15.3
2018-03-03,0.2,-2.7,80.67,13.88,,25.4,1002.5,75,20.1
2018-03-04,0.3,-1.8,85.98,10.88,,19.1,995.7,84.8,13.6
2018-03-05,2,0.9,92.83,8.4,53.6,23,990.9,86.6,21.1
2018-03-06,1.5,0.7,94.52,9.88,,27.2,990.4,88.6,12
2018-03-07,2.1,0.5,89.54,6.8,72.4,14.6,988.4,66.8,27.4
2018-03-08,2.3,-0.7,80.63,0.93,51.8,15.2,989.8,49.8,29.1
2018-03-09,1.8,-1,82.49,1.82,,18.8,996.6,32.4,26.6
2018-03-10,0.9,-0.4,90.98,3.24,,23.4,995.8,66.5,22.2
2018-03-11,3.9,3,94.2,4.02,,13.6,993.2,88.6,28.1
2018-03-12,3.4,2.2,92.32,0.4,,7.7,996,92,28.9
2018-03-13,3.8,1.9,87.93,0.81,,14.9,1004.3,68.7,26.1
2018-03-14,5.5,1.2,73.76,0.2,92.5,30,998.3,63.6,29.6
2018-03-15,5,1.7,79.09,4.53,70.6,42,994.4,80,15.1
2018-03-16,3.6,-0.4,75.2,2.2,81.7,37.8,1006.4,75.9,26
2018-03-17,0.2,-5.4,66.15,0.2,50,30.4,1022.6,72.7,21.7
2018-03-18,-0.2,-4.9,70.83,20.4,,26.3,1026.7,68.2,23.2
2018-03-19,0.2,-4.6,71.99,0,,12.6,1029,22.6,30.8
2018-03-20,0.9,-4.1,72.35,0.2,,15.2,1032,27.8,29.7
2018-03-21,6.1,3.3,82.59,0.8,64.8,33.3,1021.9,69.6,23.3
2018-03-22,7.1,3.9,80.19,3,50,26.9,1008.9,77.2,27.7
2018-03-23,5,3,87.03,15.51,66.6,34,989,66.7,24.2
2018-03-24,4,0.8,80.54,4.89,,25.3,1001.1,49.8,28.6
2018-03-25,4.2,1.3,82,3.19,,20.4,1009.5,51.2,28.1
2018-03-26,3.1,-0.7,77.96,0.59,,11.1,1014,50.3,32.8
2018-03-27,5,2.5,83.75,3.74,,20.6,1000.2,75.2,23
2018-03-28,3.4,0.6,83.25,2.25,,13.6,1000.1,50.7,24.3
2018-03-29,1.6,-1.1,84.03,0.4,,21.7,1002.3,38.5,29.1
2018-03-30,2.8,0.6,85.73,2.43,38.9,21,1005,75.4,25.5
2018-03-31,2.2,-1.2,79.57,0.55,,19.9,1010.4,67.2,29.1
2018-04-01,0.4,-3.5,77.55,0.4,,12.5,1014.7,35.4,32.1
2018-04-02,1.8,-1,82.13,11.34,,27,1005.4,70.8,27.6
2018-04-03,1.5,0.6,94.08,57.34,,20.3,993.4,83,12.3
2018-04-04,1.8,-0.6,84.75,7.69,,16.4,998.3,57.6,21
2018-04-05,2.4,-1.8,75.93,0.53,,18.9,1010.4,49,30
2018-04-06,5.4,1.5,76.21,5.2,,24.5,1006.5,75.3,25.7
2018-04-07,8.4,5,79.91,5.59,,21.3,1003.2,71.2,24.1
2018-04-08,7.3,4.7,85.2,2.88,,13.6,1007.7,75.3,24.6
2018-04-09,6.7,4.2,85.21,1,,17.5,1008,70.3,29.3
2018-04-10,5.4,4,90.41,1.04,,19.4,1013.6,82.2,26
2018-04-11,6.4,4.7,89.32,1.36,0,19.5,1015.3,68.9,17.1
2018-04-12,7.3,3.5,78.46,0.2,81.7,24.1,1012.6,35.7,16.3
2018-04-13,6.2,4.9,91.05,1.3,,15.5,1009.5,92.6,13.1
2018-04-14,8.8,5.7,81.8,0.2,,15.6,1012.8,62.5,19.5
2018-04-15,8.1,4.4,79.43,0.2,,21.9,1008.7,38.6,16.5
2018-04-16,10.3,5,70.79,0.6,61.2,29.2,1003.3,67.6,26.3
2018-04-17,11.5,6.3,70.69,8.07,68.4,32.9,1003.4,58.8,23.9
2018-04-18,12.4,7.8,74.24,5.03,53.6,28.8,1016.5,51.9,24.2
2018-04-19,13.4,8.5,72.87,1.4,33.5,28.7,1019.5,48.2,28
2018-04-20,9.1,5.7,80.63,3.86,,29.6,1021.5,52.5,22.3
2018-04-21,8.7,4.1,75.14,0.2,77.8,20.5,1017.8,39,30.7
2018-04-22,7.8,4.9,82.19,1.11,100.1,22.9,1002.5,56,26.1
2018-04-23,8.4,5.9,84.66,5.44,,26.8,1002.3,74.7,22.3
2018-04-24,8,3.9,76.26,3.47,,29.2,1003.6,59,25.7
2018-04-25,6.7,3.7,81.95,7.02,,25.1,1001.7,57.5,26.9
2018-04-26,6.3,3.9,85.22,10.13,,26.5,1003.7,58.9,24.7
2018-04-27,6.1,3,81.61,6.75,,15.7,1009.3,62,29.4
2018-04-28,5,1.9,81.82,3.51,,18.1,1015.1,57.5,27.7
2018-04-29,5.5,0.6,73.67,1.1,,16.1,1018.7,43.2,30.2
2018-04-30,4.8,-0.7,71.8,0.4,,15,1014.6,17.8,27.2
2018-05-01,5.6,1.5,76.95,1.09,44.6,26.6,999.3,50,29.2
2018-05-02,6.5,3.2,80.62,12.64,,26.5,997.4,63.7,22.2
2018-05-03,7.4,4.8,83.73,2.27,55.4,28.1,1009.6,67.1,20.8
2018-05-04,11.5,8.6,82.45,0.98,53.6,28,1015.8,67.5,26.2
2018-05-05,13.1,8.8,76.65,0.62,76,40.9,1019.3,56,27
2018-05-06,12.5,8.8,79.62,2.07,66.6,29,1020,70.8,23.7
2018-05-07,10.9,8.6,85.79,4.19,29.5,16.1,1016.4,75.3,26.6
2018-05-08,11.3,7.8,79.36,1.07,,22.1,1005.8,60.1,24.3
2018-05-09,8.9,4.4,73.93,1.2,66.6,26.3,1002,59.5,25
2018-05-10,8.1,3,70.92,3.05,,28.4,1008.1,43.1,21.9
2018-05-11,9.4,2.8,64.88,0.6,59.4,33.3,1010.3,47,27.8
2018-05-12,10.5,4.7,70.55,3.95,24.1,17.4,1012.2,42.4,28.9
2018-05-13,10,6.5,80.37,4.11,,15,1013.9,63.8,26.3
2018-05-14,10.6,5.8,75.19,1,,15.2,1021,32.5,28.8
2018-05-15,11.5,7.3,76.34,0.2,,27.4,1022.3,47.3,27.8
2018-05-16,8.9,2.3,65.95,0,,14.3,1031.6,33.4,26.6
2018-05-17,9,2.9,69.1,0,,15.2,1029.7,16.7,27
2018-05-18,11,4.8,68.11,0,,18.4,1024.3,56.5,28.9
2018-05-19,14.5,7,63.04,0,48.2,26.6,1019.3,46.6,28.7
2018-05-20,14.5,8.9,69.33,0.2,59.4,29.5,1015,75.4,28.7
2018-05-21,10.4,9.2,92.29,5.26,,15.7,1019.4,87.7,14
2018-05-22,8,6.2,88.46,3.14,,19.1,1026.6,89.4,27.9
2018-05-23,11.7,7.7,77.92,0,,17,1027.1,41.5,27.1
2018-05-24,12.7,7.8,74.2,0,,14.8,1025.3,22.1,22.8
2018-05-25,13.2,8.8,75.5,0,,21.6,1028,32.9,23.1
2018-05-26,12.5,8.3,77.39,0,,21,1030.8,55.5,21.2
2018-05-27,14,8.1,68.58,0,,21.9,1024.8,26.1,25.1
2018-05-28,15.6,9.7,70.46,0,,13.4,1022.6,15.2,24.5
2018-05-29,15.1,10.9,77.8,0,0,17.2,1023.9,28.8,21.5
2018-05-30,14.9,11.2,79.68,0.2,,15,1018.7,49.2,23.4
2018-05-31,16,13.3,84.59,0.97,,13.6,1015.6,74.3,16.6
2018-06-01,16.8,13.4,81.64,1.93,,14.7,1017.1,55.3,19.7
2018-06-02,16.5,14.4,87.78,5.93,,12.2,1017.9,53.3,13.4
2018-06-03,15.9,14,88.97,10.2,,16.3,1020.1,68.5,12.4
2018-06-04,14.1,11.4,84.2,0,,18.4,1020.5,78.9,19.7
2018-06-05,12.6,6.7,68.72,0,,19.5,1021.5,42.5,24.9
2018-06-06,12.5,7,71.21,0,,17.7,1019.1,20.4,21.6
2018-06-07,13.7,8.7,73.48,0,,18.1,1019.5,55,23.5
2018-06-08,13.1,8.7,75.25,0,,17.9,1019.3,59.5,27.6
2018-06-09,12.8,10.5,86.07,13.02,,12.7,1017.4,77.7,21.7
2018-06-10,12.9,10.7,86.79,1.4,,15.4,1016.2,89.2,18.9
2018-06-11,13.3,9.8,79.79,0,,14,1017.3,85.6,25.7
2018-06-12,12.1,8,76.85,0.2,,14.5,1019.5,78.1,29
2018-06-13,11.5,8.3,80.99,1.82,,21.1,1010,82.8,24.2
2018-06-14,12.8,9,77.82,22.85,90.7,43.2,993.3,69.4,18.3
2018-06-15,11.4,7.2,76.1,4.05,,25.7,1008.6,67.2,25.1
2018-06-16,10.7,8.3,85.46,11.24,,13.6,1007.4,69.3,25.3
2018-06-17,11.7,8.5,81.94,2,,18.8,1007.2,64.7,22.8
2018-06-18,11.5,6.3,70.72,1.23,64.8,37.5,1008.1,67.1,22.3
2018-06-19,10.8,5.1,68.87,1.94,64.8,31,1014.9,51.7,20.9
2018-06-20,9.6,6.7,82.7,9.7,48.2,26.6,1014.8,77.6,22.1
2018-06-21,10.2,5,71.42,10.65,,28.4,1025.7,51.9,27.5
2018-06-22,11.1,6.1,71.97,0,,23.2,1031.3,58.7,28.4
2018-06-23,12.3,7.8,74.33,0.2,,23.5,1027.6,72,30.1
2018-06-24,14.3,8.2,69.28,0.2,,18.2,1024.9,30.2,27.2
2018-06-25,14.3,7.5,67.69,0,,19.8,1026.4,1,25.9
2018-06-26,14.8,9.4,73.34,0,,14.9,1027.5,25.2,23.9
2018-06-27,18,11.4,69.58,0,,15.5,1027.3,1.2,23.4
