datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,5.1,3.2,87.61,3.53,57.6,35.7,991.4,60.1,28.9
2018-01-02,5.2,3.7,89.9,16.93,72.4,56.4,994.1,74.1,16.8
2018-01-03,5.8,4.2,89.2,21.53,77.8,46.2,985.1,63.1,19.1
2018-01-04,4.7,4,95.15,14.87,35.3,17.6,987.7,77,18.8
2018-01-05,2.3,1.6,95.3,4.38,,23.9,992.3,63.5,26.4
2018-01-06,1.8,-1,82.18,1.51,50,31.3,1017.1,31.3,32.1
2018-01-07,-1,-3.4,84.06,0.2,,13.4,1031.9,3.4,33.6
2018-01-08,0,-3,80.31,0,,25.7,1024.7,8.2,32.8
2018-01-09,2,0.7,91.3,0.4,38.9,21.4,1005.2,72.8,11.1
2018-01-10,3.8,3.2,96.32,3.16,,24.4,1004,79,5.3
2018-01-11,2.2,1.7,96.37,0.4,,12.2,1020.5,65.5,13.5
2018-01-12,4.7,2.8,88.09,0.4,55.4,28.9,1023,61.8,14.9
2018-01-13,5,2.7,85.35,3.23,59.4,35.6,1015.8,87.2,12.7
2018-01-14,5,3.9,92.32,6.38,75,56.1,1010.5,88.9,7.4
2018-01-15,5.5,4.2,91.14,19.17,62.9,41,988.4,66.8,24.5
2018-01-16,1.5,0,89.38,6.97,85.3,39.1,985,57.6,26.6
2018-01-17,2.1,0.7,90.28,9.01,61.2,36.1,994.6,59.5,19.7
2018-01-18,1.7,0.8,94.23,118.9,40.7,23.5,995.5,70.3,33.5
2018-01-19,2.1,0.6,89.74,292.3,64.8,35,1001.1,68.5,31.4
2018-01-20,1.2,0,91.9,1.31,53.6,27.6,1002.1,49.5,24.7
2018-01-21,1.1,0.3,94.27,10.67,55.4,30.8,1006,85.1,19.3
2018-01-22,5.7,4.4,91.65,15.12,61.2,29.6,1006.4,82.8,14.7
2018-01-23,7.6,6.4,92.32,10.22,68.4,39.2,1002.6,61.7,17.9
2018-01-24,7,4.5,84.36,9.17,83.2,60,990.5,51.4,22
2018-01-25,4.7,2.8,87.63,5.19,55.4,32,998.7,38.3,28.6
2018-01-26,3,1.7,90.87,0.4,,25.9,1018.5,30.6,29
2018-01-27,7.5,5.9,89.75,15.76,67.6,43.6,1014.3,48.9,18.2
2018-01-28,9,7.8,92.23,6.74,74.2,49.5,1018,51.3,17.9
2018-01-29,5.9,4,87.47,6.88,76.3,47.4,1021,33.3,28.5
