datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.7,2.4,90.75,8.49,57.6,28.8,990.5,50.9,34.5
2018-01-02,3.8,2.5,91.1,7.84,72.4,30.9,993.4,63.4,26.5
2018-01-03,4.3,3.4,93.85,14.24,77.8,33.5,983.7,71.6,22.4
2018-01-04,3.7,3.3,97.35,10.57,35.3,15,987.7,82.6,17.8
2018-01-05,2.1,1.7,97.3,5.25,,21.3,992.9,82.3,23.2
2018-01-06,1.2,-1.5,82.58,1.63,53.6,26.6,1018.5,57.3,33.4
2018-01-07,-2.8,-4.3,89.57,20.2,,10.1,1032.6,1.6,31.1
2018-01-08,-1,-4.1,79.49,10.2,,16.2,1025.6,11.2,33.4
2018-01-09,1.6,0.2,90.35,0.4,38.9,18.6,1005.7,60.6,15.8
2018-01-10,2.6,2.2,96.93,1.59,,22.4,1004.3,87.6,5.7
2018-01-11,1.3,1.1,97.94,0.2,,8.4,1021,63,8.3
2018-01-12,3.8,1.8,87.48,0.2,55.4,26.8,1023.2,71.4,20.7
2018-01-13,4,1.7,84.6,3.2,59.4,23.9,1016.2,81.6,15.7
2018-01-14,4.6,3.2,90.7,2.27,75.6,53.8,1009,85.5,10.1
2018-01-15,4.5,3.4,92.53,23.05,71.4,44.7,986.9,60.9,30.6
2018-01-16,0.1,-0.5,95.2,6.14,85.3,32.4,983,57.3,24.3
2018-01-17,0.8,-0.2,92.91,11.76,61.2,31,992.9,42.7,30.6
2018-01-18,0.9,0.2,94.82,214.3,40.7,21.7,994.8,64.6,35.4
2018-01-19,0.8,0,94.13,242.52,64.8,26.3,999.8,65.8,34.7
2018-01-20,-0.4,-1.2,94.03,4.66,53.6,20.7,1001.9,31.3,25.5
2018-01-21,-0.8,-1.7,93.48,20.71,55.4,33.3,1005.8,81.4,23.6
2018-01-22,4.6,3.4,91.97,12.54,61.2,31.2,1004.8,79.9,20.1
2018-01-23,6.9,5.5,90.65,11.35,62,41.1,1000.8,62.4,32.2
2018-01-24,6.1,3.7,84.29,16.41,80.8,48.9,988.8,68,26
2018-01-25,4,1.9,86.33,3.35,55.4,32.1,998.3,47.3,30.8
2018-01-26,2.2,0.8,90.62,0.8,,23.6,1018.3,47.9,30
2018-01-27,7.1,5.1,87.19,10.58,78.2,49.7,1012.4,66.6,22.1
2018-01-28,8.9,7.6,91.85,5.57,77.1,42.4,1016.1,83.1,17.7
2018-01-29,5.3,3.1,85.54,6.75,74.5,43.4,1019.7,43.9,32.9
2018-01-30,4.3,2.3,86.89,0.72,65.2,39.1,1017.6,78.8,30.5
2018-01-31,1.8,0.8,93.17,13.42,76,38.4,993.9,57.7,33.2
2018-02-01,2.7,-0.4,80.02,4.6,61.2,29.4,1002.4,36.3,42.7
