datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,2.2,1.4,94.56,14.11,,21.4,987.8,22.2,12.3
2018-01-02,3.2,1.8,90.97,4.68,,36.1,991.6,30.6,11.4
2018-01-03,2.2,1.7,96.8,9.99,,14.3,982.9,56.3,10.5
2018-01-04,4.5,2.6,86.97,20.95,,24.9,990.2,50.9,11
2018-01-05,4,2,87.02,1.92,53.6,43.8,996.5,41.5,11.2
2018-01-06,2.5,-1.4,75.66,2.73,57.6,50.8,1021.5,66.7,10.9
2018-01-07,0.9,-3,75.48,0,,20.6,1029.4,17.2,15.6
2018-01-08,3.3,-1.7,69.93,0,44.6,38.5,1024.1,21.8,11.4
2018-01-09,5.9,3.5,84.94,0,70.6,46.6,1006.4,88.4,10
2018-01-10,5.2,3.8,91.42,0.77,,41.1,1003.9,67.7,10.1
2018-01-11,3,2.1,93.52,0.45,,16.4,1020.8,25.5,11.2
2018-01-12,6.1,4.4,89.38,0.6,53.6,33.2,1021.4,51.9,11
2018-01-13,6.1,3,80.87,0,53.6,43.4,1014.7,46.3,10.7
2018-01-14,6.5,3.7,82.16,1.25,68.4,49.6,1000.8,30.1,10.5
2018-01-15,3.9,1.9,86.55,2.98,55.4,32.8,980.9,32.9,11
2018-01-16,0.1,-1.6,87.99,7.41,29.5,27.2,975.1,25.5,10.6
2018-01-17,0.7,-0.8,89.6,14.72,,43.7,985.8,31,10.9
2018-01-18,0.2,-1.3,90.03,10.67,,20.3,991.1,25.8,11.4
2018-01-19,-0.1,-1.9,87.95,21.93,,16.5,994.5,23.2,11.2
2018-01-20,-1.2,-2,94.23,24.53,,18,1000.1,19.6,10.9
2018-01-21,0.8,-0.7,90.15,8.29,83.5,56.3,1003.3,38.4,10.4
2018-01-22,5.5,3.4,86.28,20.1,,33.5,997.5,32.8,10.6
2018-01-23,6.5,4.4,86.15,10.28,,34.4,994.1,34.5,11.1
2018-01-24,5.3,3.3,86.72,12.97,79.6,50,979.7,46.5,10.3
2018-01-25,3.6,2.2,91.2,1.94,,14.4,996.8,35.9,11.6
2018-01-26,3.3,1.4,87.9,0.64,,17.9,1016.6,21.7,11
2018-01-27,6.6,3.6,81.34,2.47,98.3,66.3,1002.6,38.5,10.4
2018-01-28,6.3,3.4,82,3.78,92.5,71.3,1009.2,50.6,10.2
2018-01-29,3.4,1.8,89.1,9.62,61.2,40.4,1013.5,32.3,11
2018-01-30,5.1,3,86.41,15.8,46.4,31.5,1008.3,27.7,10.8
2018-01-31,3,0.8,86.13,8.27,72.4,52.3,986.4,35,11
2018-02-01,4.8,2.9,87.26,14.97,85.3,58.3,999.5,51.6,10.1
2018-02-02,3.8,2,87.89,1.68,,31.2,1010.7,36.2,12.2
2018-02-03,3.3,2.2,92.04,6.91,,7.9,1008.1,52.9,11
2018-02-04,2.8,1.8,93.69,1.2,,7.7,1029.1,17.5,11.2
2018-02-05,3.3,1,84.89,1.09,,20.8,1024.3,39.5,11.5
2018-02-06,1.4,-0.1,89.48,0.99,57.6,32.7,1017.7,34.9,10.7
2018-02-07,1.1,-1,86.2,11.5,40.7,29.2,1013.3,33,12.2
2018-02-08,4.7,2.5,85.42,0.87,,22,1001.6,23.2,10.8
2018-02-09,2.3,-0.2,83.93,1.87,,24,1003.2,30.9,11.5
2018-02-10,4,0.9,80.67,4.45,55.4,44.2,993.7,29,11.1
2018-02-11,0.4,-1,90.15,1.31,57.6,38,994.8,20.6,10.7
2018-02-12,0.9,-1,87.78,33.32,48.2,31.3,998.9,21.9,10.8
2018-02-13,2.4,0.1,85.24,5.51,,47.4,991.7,44.4,10.6
2018-02-14,3.5,0.5,80.98,1.83,100.1,63.9,987.2,29.8,10.7
2018-02-15,3.9,1.2,82.75,14.57,59.4,33.4,989.9,23.1,11.1
2018-02-16,4.4,0.9,78.49,0.59,,34.2,1009.8,16.2,11.9
2018-02-17,4.7,1.8,82.21,2.84,,28.9,1011.9,24.9,11.5
2018-02-18,3.9,1.8,85.8,0.8,,12.8,1015.6,12.1,11.4
2018-02-19,5.9,5.5,97.19,5.14,,20.5,1014.5,73.6,5.8
2018-02-20,4.9,3.6,91.61,7.62,,30.9,1023.7,36.5,11.4
2018-02-21,3.4,1.7,89.07,0.2,,15.6,1028.3,15.1,10.6
2018-02-22,4.7,1.8,81.72,0,,29.1,1021.6,14.6,11.1
2018-02-23,4,-0.1,74.92,0,46.4,34.5,1019.3,9.1,10.7
2018-02-24,4.4,-0.3,71.57,0,55.4,39.7,1024.3,34.6,11.1
2018-02-25,4.1,-0.2,74,0,,34.1,1031.1,26.4,10.8
2018-02-26,2.6,-1.9,72.83,0.6,,31.2,1038.1,37.4,11.7
2018-02-27,1.2,-2,79.8,6.37,46.4,43.3,1035.3,47.7,11.2
2018-02-28,-2.8,-6,79.23,0,70,50.3,1034.5,42.1,9.6
2018-03-01,-1.2,-5,75.74,97.59,70.6,54.2,1025.7,51.9,9.2
2018-03-02,0.3,-3.1,78.32,13.07,61.2,50.5,1013.8,62.8,10.4
2018-03-03,1.4,-0.5,87.36,1.24,,39.1,1005,62.4,10.2
2018-03-04,1.4,0.2,92.05,4.28,,36.2,998.1,49.8,9.6
2018-03-05,3,1.8,91.76,7.92,55.4,50.3,993.5,78.4,8.5
2018-03-06,2.4,0.7,88.29,7.81,,44.2,993.7,78.6,9
2018-03-07,4.8,3.6,91.9,11.21,,48.6,988.5,58.5,9.2
2018-03-08,4.7,1.7,81.11,0.2,,16,989.2,25.8,11.3
2018-03-09,3.9,0.7,80.56,0.4,,11.3,995.4,27.8,11.5
2018-03-10,3.1,2,92.49,2.06,61.2,48.5,997.9,34,10.4
2018-03-11,4.5,4.2,98.1,7.39,,41.5,994,82.1,7.1
2018-03-12,5.1,3.8,91.4,1.36,,26.6,996.1,88.8,9.7
2018-03-13,4.8,0.2,72.36,0.4,,25.3,1004.2,53.7,10.9
2018-03-14,5.7,3.4,85.54,0,76,54.8,1000,30.5,10.4
2018-03-15,5,2.5,83.78,0,85.3,63.7,997.6,87.4,8
2018-03-16,3.2,0.9,84.69,1.4,85.6,63.9,1009.7,81.1,8.2
2018-03-17,1.8,-4.6,62.84,0,70.6,56.2,1024.7,88.4,11.1
2018-03-18,1.6,-4.7,63.25,0.4,,36.2,1028.6,75.5,11.4
2018-03-19,1.5,-1.9,79.39,0,,32.9,1028.6,34.4,11.5
2018-03-20,3.7,-1.1,72.14,0,,34.6,1029.7,27.8,11.5
2018-03-21,6.3,3.8,84.11,2.9,,44,1018.4,62.5,10.5
2018-03-22,7.7,4.3,79.63,1.4,38.9,24,1006.9,43,11.8
2018-03-23,5.3,3.9,90.49,11.13,63,54.3,986.8,56.2,10.8
2018-03-24,5.5,1.7,76.98,0.4,,39.7,998.2,17.7,11.3
2018-03-25,5,2.3,83.34,1.1,,29.3,1007.1,31.9,11.3
2018-03-26,4.8,2.5,86.08,0.8,,24.8,1012.7,46,13.2
2018-03-27,4.9,3.8,92.61,6.14,72.4,52.2,1000.7,66.4,9.6
2018-03-28,4.6,3,89.35,16.66,,32.7,998.6,50.5,10.4
2018-03-29,3.4,2.1,91.54,1.05,,41.2,1002.9,59.2,10.5
2018-03-30,3.3,1.4,87.47,8.9,63,50.2,1007.3,57.7,10.5
2018-03-31,3.3,-1.3,72.7,2.22,,26.9,1011.3,43.1,11.4
2018-04-01,2.2,-0.8,80.8,2.2,,32.4,1013.6,30.3,11.6
2018-04-02,3.2,-1.6,71.69,2.89,,31.3,1007.2,49.4,11.6
2018-04-03,3.1,1.3,88.17,3.04,,34.3,995,55.6,10.7
2018-04-04,3,-0.2,80.14,7.64,,22.1,998.3,29.1,11.5
2018-04-05,3.3,-0.8,76.09,0.43,,40,1008.4,25.6,12
2018-04-06,5,2.9,87,5.16,,45.5,1008.2,54,9.6
2018-04-07,8.5,5.8,84.06,0.98,,25.2,1002.6,38.7,10.3
2018-04-08,6.9,6.5,97.3,5.42,,7.4,1007.1,89.1,6.7
2018-04-09,6.5,6,97.11,2.19,,22.6,1008.3,85.8,6.6
2018-04-10,5.8,4.8,93.34,1.33,,36.2,1015.7,86.4,9
2018-04-11,6.3,4.4,87.68,4.78,64.8,37.9,1016.8,77.6,9
2018-04-12,6.6,4.3,85.47,0,,33.6,1014.5,48.1,9.5
2018-04-13,6.1,4.5,89.55,6.08,,34.7,1011,76.8,8.5
2018-04-14,6.8,5.9,94.21,0.21,,14.8,1012.6,69.1,5
2018-04-15,6.8,6,95.07,0.2,,32.5,1009.3,31.1,4.3
2018-04-16,6.9,6.3,95.83,0,,39.4,1003.8,56,3.4
2018-04-17,10.5,6.6,77.55,4.06,,46.1,1002.8,17.7,10.7
2018-04-18,10.7,7.6,81.61,0,,31.8,1015.6,15.6,12
2018-04-19,12.2,8.6,79.6,0,,27.9,1018.4,20.7,11.2
