datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,1.3,0.4,93.57,4.86,,18.3,988.7,38.7,44.8
2018-01-02,1.8,0.1,88.86,2.58,,21.6,992.1,53.4,41.5
2018-01-03,1,0.2,94.27,0.8,,13.8,982.8,55.3,22.1
2018-01-04,1.1,0.9,98.25,1.32,,7.3,989.3,76.6,11.1
2018-01-05,2.1,1.4,95.24,5.56,,24.9,995.3,74.3,17.6
2018-01-06,2.8,-1.6,72.9,2.11,,35.8,1021,86.2,23
2018-01-07,-1.5,-5.2,76.11,0,,14.9,1031.1,11.2,38.9
2018-01-08,0.4,-4.8,68.67,0,,21.4,1025.1,8.1,37.8
2018-01-09,4.7,1.8,80.95,1.4,46.4,22.7,1006.1,53.6,23.5
2018-01-10,4.5,2.4,86.22,0.6,,18.8,1004.1,87.6,28.7
2018-01-11,1.3,0.5,94.56,1.32,,11.9,1021.1,49.8,24.4
2018-01-12,3,-0.1,80.9,0.6,48.2,20.3,1022,17.7,37
2018-01-13,5.4,0.7,72.24,0,46.4,19.9,1015.2,65,22.9
2018-01-14,6.7,1.8,71.23,0.5,59.4,37.1,1003.3,63.6,40.7
2018-01-15,4,1.8,85.34,7.07,,24.3,982.6,60.2,37.3
2018-01-16,0.1,-1.8,86.81,0.91,51.8,24.5,977.7,41.4,34.7
2018-01-17,0.9,-1.3,85.26,193.34,59.4,31.3,988,41.8,34.7
2018-01-18,0.3,-1.9,85.05,160,,20.2,992.5,40.6,40.5
2018-01-19,0.2,-2.5,82.58,160,,20.4,996,30.1,49
2018-01-20,-1.1,-3.2,85.71,140,,16,1000.9,23.5,45.8
2018-01-21,-0.7,-3.4,82.91,130.38,,25.3,1003.8,53.5,41.1
2018-01-22,5.8,2.5,79.76,0.64,46.4,32.4,999.8,64.8,29.8
2018-01-23,7.3,3.9,79.39,20.99,68.4,28.9,995.9,57.8,43.7
2018-01-24,5.4,2.5,81.42,9.79,85.3,56.7,981.9,57.1,37.5
2018-01-25,2.8,1,88.14,1.42,,16,997.3,62.3,37.4
2018-01-26,3.7,1.6,86.79,0.47,,14.4,1017,66.6,34.7
2018-01-27,7,2.8,74.94,2.9,79.6,43.1,1005.5,65.8,32.8
2018-01-28,6.9,3.7,80.98,1.6,77.8,40.6,1010.8,70.1,25.6
2018-01-29,4.2,1.6,83.35,22.99,57.6,31.5,1015.7,42.5,38
2018-01-30,5.4,1.6,76.99,0.2,68.7,37.9,1010.7,37.4,42.5
2018-01-31,2.6,0.3,85.22,7.46,58.4,36.4,988.9,31.9,34.1
2018-02-01,4.4,1.6,82.47,2.54,67.3,38.7,1000.6,69.5,20.7
2018-02-02,3.6,1.5,86.25,2.19,48.2,23.9,1011.1,62.2,27.3
2018-02-03,2.3,1.7,95.55,8.01,,14.2,1008.2,86.9,18.5
2018-02-04,2.9,1.9,93.24,4.31,,11.9,1029.4,79,34
2018-02-05,2.4,-1.2,77.76,1.71,,22.9,1025.6,30.2,44.1
2018-02-06,1.4,-1,84.35,0.37,,23.8,1018.6,52.7,37.4
2018-02-07,0.9,-2.4,78.83,0.8,55.4,25.3,1015.1,49.3,41.9
2018-02-08,4.9,1.7,80.19,1.08,,20.5,1003,60.8,32.8
2018-02-09,2.2,-1.8,74.91,3.2,,24.5,1004.7,31,44.6
2018-02-10,4.4,0.1,73.92,1.4,58.4,35.2,995.2,65.5,38
2018-02-11,0.5,-1.8,84.67,0.82,56.9,28.8,996,34.7,35.7
2018-02-12,1.4,-2.4,76.16,10.86,50,23.9,1000.7,25.1,42.4
2018-02-13,2.3,-1,79.32,7.79,53.6,28.5,993,52.4,37.5
2018-02-14,3.4,-1.4,71.06,6.48,72.4,38.7,988.6,60.9,42.4
2018-02-15,3.7,-0.1,76.07,9.23,72.2,41.5,992.2,38.9,35.9
2018-02-16,4.1,-0.2,74.19,1,46.4,23.5,1011.3,31.4,40
2018-02-17,4.4,0.6,77.05,1,35.3,22.4,1013.2,48,45
2018-02-18,3.8,1.1,83.3,0.35,,13.6,1016,62,38
2018-02-19,6.4,6,97.13,6.14,,19.7,1014.7,89.5,14.4
2018-02-20,4.7,2.9,88.25,6.41,38.9,19.8,1024.5,46.2,20.3
2018-02-21,1.4,-0.9,85.51,0.2,,10.8,1028.9,7.6,19.3
2018-02-22,3.4,-1.4,71.74,0.2,46.4,23.8,1022.5,42.6,26.1
2018-02-23,3,-2.9,66.24,0,33.5,20,1020.2,21.5,19.9
2018-02-24,3.5,-3.2,62.39,0,46.4,25.4,1024.5,26,27.9
2018-02-25,1.8,-3.3,70.16,0,,21.1,1031,9.8,27.9
2018-02-26,1.3,-3.7,70.61,0.2,,17.7,1037.8,55.4,38.9
2018-02-27,0.3,-3.2,78.22,1.36,33.5,24.9,1034.2,56.4,31.4
2018-02-28,-3.8,-6.5,81.44,0,57.4,29.2,1032.4,56.7,22.9
2018-03-01,-3.3,-6.8,77.32,10.48,66.6,34.6,1023.2,46.6,23.2
2018-03-02,-0.2,-3.3,79.95,20,48.2,28.9,1011.5,86.1,26.3
2018-03-03,1,-1.9,81.28,7.65,,24.7,1003.2,89.5,23.6
2018-03-04,0.9,-1,87.53,23.72,,21.9,996.5,91.1,12.6
2018-03-05,2.5,1.4,92.51,6.54,53.6,24.4,991.7,87.8,12.7
2018-03-06,2.5,1.4,92.29,9.48,55.4,32.1,991,90.3,9.9
2018-03-07,3.4,1.3,87.32,14.94,,12,988.1,63.4,24.9
2018-03-08,3.2,-1,74.81,0.2,,19.4,989.4,52.8,40.3
2018-03-09,3.1,-0.9,76.22,0.5,29.5,23.9,995.8,33.2,40.5
2018-03-10,1.4,0.1,91.24,3.22,,25.3,996.5,63.4,22.9
2018-03-11,4.5,3.6,93.77,2.3,,16.9,993.1,90.9,24.2
2018-03-12,4.2,3.3,94.06,0.6,,11.4,995.6,92.4,22.2
2018-03-13,4.8,2.4,85.47,1,,14.8,1004,79.9,24.2
2018-03-14,5.9,1.7,74.49,0,55.7,32.1,999.4,82.1,31.9
2018-03-15,5.4,1.9,78.74,0.3,84.6,49,995.9,89.6,14.4
2018-03-16,3.4,0.6,82.15,10.1,60.3,38.8,1008.3,84.1,22.5
2018-03-17,0.9,-5.1,64.81,0.26,55.2,33.9,1023.7,76.2,28
2018-03-18,1,-4.2,68.78,21.4,51.8,30.3,1027.1,67.5,26.7
2018-03-19,0.9,-3.3,75.19,0,,19.6,1028.6,34.6,35.1
2018-03-20,2.6,-2.9,68.65,0.2,,21.5,1030.8,30.5,37.6
2018-03-21,6.4,2.7,77.19,0.89,66.8,35.9,1020.2,67.5,40.4
2018-03-22,8.1,3.6,73.99,0,51.8,32.5,1008,68.2,37.8
2018-03-23,5.7,3.5,86.11,12.77,63,34.7,988,72.3,29.6
2018-03-24,5.5,0.7,71.91,0,50,27.6,999.9,38.4,43.3
2018-03-25,5.2,1.4,77.14,0.43,48.2,28.4,1008.3,36.8,43.3
2018-03-26,5,0.4,73.12,0.6,,18,1013.3,43.4,43.5
2018-03-27,5.7,2.7,81.16,2.49,,20.3,1000.2,83.7,35.6
2018-03-28,4.6,1.2,79.41,1.04,,17.9,999,63.8,33.7
2018-03-29,2.4,-0.2,83.58,0.2,,25.9,1002.3,41.7,37.5
2018-03-30,3.5,1.4,86.53,4.23,53.6,28.5,1005.3,80.5,22.6
2018-03-31,3.1,-1.2,74.58,1.81,,22.9,1010.3,76.8,33.2
2018-04-01,2.1,-2.5,73.36,0.4,,17.5,1013.9,40.7,43.9
2018-04-02,2.7,-0.2,81.8,13.06,48.2,29.4,1005.9,80.7,34.5
2018-04-03,2.4,1,90.58,8.2,,23.6,993.5,80.7,15.5
2018-04-04,3.1,-0.1,80.51,16.9,40.7,21,997.9,67.1,31
2018-04-05,3.6,-1.8,68.98,0.6,,22.8,1009.5,46.6,44
2018-04-06,5.7,1.6,75.05,0.8,48.2,25.5,1007.3,85,33.7
2018-04-07,9.3,4.9,74.71,0,55.4,20.3,1002.9,68.6,36.6
2018-04-08,7.8,5.9,88.09,3.76,,11,1007,88.2,26.5
2018-04-09,7.7,5,84.01,1.2,,23.6,1007.8,73.8,37.6
2018-04-10,5.2,4.1,92.83,2.36,,21.2,1014.4,86.6,19.5
2018-04-11,7,4.8,86.66,2.69,,25.8,1015.7,67.7,14.5
2018-04-12,7.2,3.4,78.26,0,,27.3,1013.5,38.8,18.5
2018-04-13,6.3,4.7,89.22,2.03,,18.2,1009.9,93.7,10.7
2018-04-14,8.9,6,82.96,0.25,,18.7,1012.4,67.9,17.2
2018-04-15,8.5,4.5,78.79,0.2,38.9,28.4,1008.8,30.3,14.7
2018-04-16,11.2,5.3,68.65,0.8,46.4,24.5,1003.6,64.7,36.9
2018-04-17,13.1,6.3,64.24,2.51,66,34.1,1003.7,65.6,38.7
2018-04-18,14.1,7.8,66.44,0.6,50,25.1,1016.5,44.9,35.5
2018-04-19,15.5,9.1,65.92,0,50.7,23.2,1018.9,41.1,41.4
2018-04-20,10.6,5.9,74.17,0.44,51.8,29.5,1020.5,38.8,40.7
2018-04-21,9.9,4.4,69.59,0,40.7,19.2,1017.4,24.4,41.4
2018-04-22,10.1,5.7,74.74,0.71,50,29.7,1001.7,69.7,36.6
2018-04-23,9.6,5.9,78.36,1.21,51.4,32.4,1001.3,76.6,39
2018-04-24,9,4.7,75.43,2.52,56.9,31.9,1002.4,53.8,37.1
2018-04-25,8.1,3.6,73.52,0.9,51.8,25.8,1000.8,46.9,42.9
2018-04-26,7.7,3.8,76.69,1.65,57.6,34.4,1002.4,56.6,42.3
2018-04-27,7,3.9,81.38,9.23,,18.3,1008.7,67.9,42.5
2018-04-28,5.6,3,84.49,8.46,,18.5,1015.1,60.3,40.8
2018-04-29,5.3,2,80.59,0.6,,17.4,1018.7,26.1,36.5
2018-04-30,5.1,1,76.82,0.4,,18.9,1014.4,12.2,34
2018-05-01,7.1,1.4,69.67,0.4,51.8,28.8,998.8,49.4,41.9
2018-05-02,7.7,3.7,76.83,8.14,53.6,25.8,996.5,75.3,30.7
2018-05-03,8.4,4.1,75.06,1.25,49.9,28.8,1008.8,68,39.2
2018-05-04,13.5,8.2,70.96,0.2,63,35.7,1014.4,64.1,48.9
2018-05-05,14.7,8.4,67.34,0,60.1,33.8,1018.3,34.7,41.3
2018-05-06,12.6,8.4,76.38,0.2,53.6,25.5,1019.5,68.1,34.3
2018-05-07,11.3,8.2,81.4,0.95,,23.6,1016.4,67.3,31.4
2018-05-08,12.7,7.8,73.33,0.42,51.8,27.8,1005,60.2,31.8
2018-05-09,9.9,4,67.53,0.2,57.6,28.2,1001.7,55.7,37.4
2018-05-10,9.9,2.2,59.96,1.4,57.6,26.6,1007.3,32.1,33.6
2018-05-11,10.3,2.7,60.3,0,69.4,37.5,1011,37.4,31.6
2018-05-12,11.4,7,75.71,2.45,,21.9,1012,53.5,27.2
2018-05-13,10.2,7.5,84.3,6.25,,12.1,1013.5,65.1,26.4
2018-05-14,11.6,6.5,73.15,1,,19.7,1020.4,21.7,34.6
2018-05-15,12.4,7.4,72.67,0.2,46.4,30.1,1021.3,38.2,34.8
2018-05-16,9.5,2.8,64.73,0,,19.5,1031.2,29.3,34.5
2018-05-17,9.3,3.6,69.73,0,,20,1029.6,16.7,27.3
2018-05-18,12,5.6,67.09,0,,17.4,1023.6,46.1,28.9
2018-05-19,15.1,6.8,60.57,0,50,24.9,1018.8,20.9,31.4
2018-05-20,15.9,8.7,62.7,0.99,55.4,29.5,1014.5,72.3,35.8
2018-05-21,11.7,9.5,87.11,4.79,,24.5,1019,86.9,20.3
2018-05-22,8.5,6.2,85.62,5,,22.5,1026.9,88.1,25.2
2018-05-23,11.3,7.6,78.43,0,,20.2,1027.4,46.5,26
