datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,5.9,3.9,86.68,7.76,64.3,40.8,991.1,34.1,19.4
2018-01-02,6.5,4.3,86.39,10.01,87.1,39.1,991.8,45.3,15.4
2018-01-03,7.5,5.5,87.2,28.06,69.3,45.9,984.8,34.6,14
2018-01-04,5.6,4.5,92.79,20.34,57.6,29.4,987.3,35.9,15.3
2018-01-05,4.1,2.8,91.16,7.39,51.8,28.6,991.6,46,28.9
2018-01-06,2.8,-1.7,72.64,0.2,53.6,25,1018.8,26.7,32.5
2018-01-07,0,-2.7,82.31,20.2,,22.9,1031.3,13.3,30.4
2018-01-08,2.3,-2.6,70.73,10.2,73.9,48,1022.5,15.9,32.1
2018-01-09,4.2,2.4,88.62,0.6,75.3,46.9,1002.4,96.8,10.8
2018-01-10,3.6,3,95.86,2.2,66.6,29,1003.5,52.9,13.2
2018-01-11,2.7,2.5,98.36,0.4,,30.9,1020.4,76,9.8
2018-01-12,6.1,4.1,86.93,0,71.4,46.5,1020,90.3,16.5
2018-01-13,6.6,5.1,90.3,6.97,63.8,45.3,1012.6,93.8,8.1
2018-01-14,7.1,5.8,91.75,9.97,72.5,51.1,1006.7,74.4,17.9
2018-01-15,6,4.4,89.96,13.27,69,45.7,987.7,67.1,15.8
2018-01-16,2.7,0.6,86.37,11.57,77.5,54.1,983.8,59.4,15.1
2018-01-17,4.2,1.2,80.95,10.47,76.2,58.2,993.9,61.2,16.2
2018-01-18,3.2,1.8,90.46,17.94,59.4,37.6,995.6,65.9,22.2
2018-01-19,3.2,1.4,88.06,16.31,64.8,43.6,1000.1,61.7,21.1
2018-01-20,2.7,0.9,88.07,8.91,53.6,37.7,1001.9,62.7,24.4
2018-01-21,4.1,3,92.63,12.28,68.1,47.3,1003.8,86.7,17.9
2018-01-22,7.5,5.6,88.18,6.48,60,39.3,1005.3,81.2,12.5
2018-01-23,8.8,7,88.79,8.44,66.4,41.7,999.7,64,18.6
2018-01-24,7.3,4.3,81.51,4.96,82.8,56.4,987.8,48.9,18.2
2018-01-25,5,2.8,85.79,0.97,59.4,31.2,997.2,65.5,28.3
2018-01-26,3.8,2.5,91.39,0.82,70.6,31.6,1017.7,37.4,26.1
2018-01-27,8.7,6.5,86.71,6.92,76.8,45.6,1013.1,82.1,14.1
2018-01-28,10.1,8.8,91.86,10.46,67,42.9,1017.2,27.2,11.3
2018-01-29,6.8,4.2,83.54,6.9,68.3,39.9,1021.4,25.4,16.8
2018-01-30,5.9,3.6,85.15,0.6,64,38.8,1017.5,76.8,24.1
2018-01-31,4.5,2.3,85.49,12.85,78.1,47.8,995.1,44.7,17.7
2018-02-01,5.4,2.1,79.38,2.32,74.6,49.5,1006,43.5,17.6
2018-02-02,5.7,2.8,81.48,0.4,62.7,34.2,1012.8,36.3,17.7
2018-02-03,5.5,3.2,85.33,4.31,59.4,30.7,1009.2,16.4,17.2
2018-02-04,3.8,1.8,86.75,0.2,,20.9,1029.5,6.9,20.3
2018-02-05,2.6,0.3,85.07,0.2,50,25.4,1027.6,18.4,27.8
2018-02-06,2.6,-0.4,81.12,5.99,61.2,34.1,1021,19.5,21.8
2018-02-07,2.1,0.3,87.81,2.29,64.8,34.7,1018.6,40,22.5
2018-02-08,6.2,4.5,88.65,1.4,58.3,29.2,1006,75.2,17
2018-02-09,3.5,0.7,82.22,9.44,61.2,37.6,1008.1,49.9,21.7
2018-02-10,5.6,4,89.56,10.21,67.5,47.2,997.8,80.5,14.7
2018-02-11,2.4,0,84.48,9.3,63,38.3,1000.4,53.2,20.7
2018-02-12,3.3,0.9,84.56,14.72,63.5,52.9,1003.5,59.2,24.2
2018-02-13,3.9,1.1,82.49,14.24,66,53.9,994.8,53.3,23.4
2018-02-14,5.4,3.1,85.88,10.71,78,69.1,989.3,67.2,20.7
2018-02-15,3.9,0.8,80.23,4.41,72.4,53.2,998.1,53.6,22.6
2018-02-16,5.1,2.4,82.59,3.22,56.4,38.2,1014.2,58.4,21.1
2018-02-17,5.4,3.2,85.52,2.56,48.2,23.3,1015.5,59.1,24
2018-02-18,6.4,5.7,95.34,5.07,,29,1015.7,83.4,12.8
2018-02-19,8.5,8.1,97.35,2.48,,28.5,1016.9,85.1,8.1
2018-02-20,6.3,4.3,86.79,2.07,,25.3,1026.3,16.8,13.2
2018-02-21,3.5,1.9,89.68,0.4,,21.3,1028.4,28.8,16.3
2018-02-22,4.8,2.7,86.61,3,53.6,31.9,1022.3,81.9,14.6
2018-02-23,4.1,0.2,75.61,0,66.7,47.3,1019,85.3,13.4
2018-02-24,2.8,-1.6,72.82,0,66.6,47.1,1022.2,61.1,15.3
2018-02-25,3.3,-1.3,72.19,0,68.4,36,1028.4,8.3,21.3
2018-02-26,1.6,-3.7,68.17,0,53.6,34.5,1035.1,63.8,31.5
2018-02-27,0.8,-3.9,71.47,10.2,55.4,32.4,1031,49.6,30
2018-02-28,-1.9,-6.5,70.78,0,74.8,50.6,1025.2,50.4,27.8
2018-03-01,-0.7,-5.8,68.63,0,71.6,51.7,1013.8,65.6,27.4
2018-03-02,1.5,-3.8,67.81,0.8,79.1,56.7,1002.1,90.8,25.7
2018-03-03,1.8,-2.8,71.47,0,62.6,43.6,996.8,88.2,21.8
2018-03-04,2.1,-0.4,83.39,0.82,51.8,35.4,990.3,86.5,9.8
2018-03-05,4.1,2.9,92.35,236.67,54.4,35.6,986.2,80.6,12.1
2018-03-06,4,2.7,91.23,18.06,59.4,31.9,985.6,87.2,18.3
2018-03-07,4.5,2.7,87.96,4.15,50,30.4,987.3,76.1,21.5
2018-03-08,3.7,1.5,86.23,2.32,46.4,28.3,990.9,57.2,24.1
2018-03-09,4.7,1,77.35,4.57,53.6,31.8,998,29.6,25.7
2018-03-10,5.1,3.3,88.54,9.6,71.7,45.9,989.7,84.5,18.1
2018-03-11,5.8,5,94.44,1.29,48.2,22.4,991,59.5,12.6
2018-03-12,5.6,4,89.9,0.2,,16.8,994.3,39.2,17.1
2018-03-13,6.2,3.4,82.99,0.58,53.6,28.8,1003.7,53.6,24.1
2018-03-14,7,4.6,84.78,8.41,75.7,56.7,993.2,92.3,18.1
2018-03-15,6.6,4.9,89.11,15.29,67,51.3,987,85.3,11.9
2018-03-16,5.8,3.1,83,1.1,65.7,45.2,999,89.1,27.7
2018-03-17,2.1,-4.2,63.43,0.2,86.6,61.5,1016.7,69.8,32.6
2018-03-18,1.1,-5.4,62.48,60,66.6,43.4,1021.2,73.7,32
2018-03-19,3.1,-3.9,61.34,2.8,59.4,30.3,1025.9,27.8,32.2
2018-03-20,2,-1.9,75.93,0.2,,21.6,1032.2,14.2,34
2018-03-21,6.3,3.9,85.07,1.86,55.4,41.4,1026.1,89.7,17.3
2018-03-22,7.1,5.1,87.36,3.48,53.6,40.1,1010.5,91.4,15.5
