datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.9,0.3,95.84,12.67,77.8,15.5,989.6,52,38.1
2018-01-02,1.4,0.3,92.34,6.05,,18.9,992.4,64.3,37
2018-01-03,1.1,0.6,96.42,1,7.6,9,983.4,71.5,21.6
2018-01-04,1.2,0.8,97.25,8.99,55.4,9.5,989.3,78.8,20.5
2018-01-05,1.7,1,95.02,7.27,,15.8,995.2,75.7,26.4
2018-01-06,0.8,-1.9,81.82,1.02,,17.4,1021.4,84,27.5
2018-01-07,-3.1,-5.8,82.04,0,,11.6,1032.1,11.5,41.4
2018-01-08,-0.2,-5.3,68.87,0,,18,1025.2,4.8,42.2
2018-01-09,3.5,0.7,82.05,1.2,,21.1,1005.7,35.6,31.3
2018-01-10,2.6,1,89.32,1.6,,13.3,1004.6,75.2,35.4
2018-01-11,-0.5,-1.1,96.04,0.47,,6,1021.8,47.6,25
2018-01-12,3.3,0.1,79.9,0.4,47.5,22,1021.8,29.4,44.2
2018-01-13,4.3,0.6,76.71,0.4,,20.7,1015,77.7,27.8
2018-01-14,5.3,2.2,80.43,4.04,,32.1,1003.7,78.7,35.3
2018-01-15,3,1.4,89.36,12.62,,20.6,983.6,66.4,26.1
2018-01-16,-0.8,-1.9,92.06,1.18,,18.8,978.9,59.9,17.6
2018-01-17,0,-1.6,88.94,206.58,,19.2,989.6,52.3,27.1
2018-01-18,-1.1,-2.2,92.67,103.55,,12.3,993.6,50.5,29.6
2018-01-19,-0.8,-2.1,90.47,160,,13.8,997,40.8,34.3
2018-01-20,-4,-5.1,91.8,140,,8.2,1002.2,35.3,37.6
2018-01-21,-2.3,-4.3,86.79,130.4,,23.2,1004.3,73.2,34.5
2018-01-22,4.5,2.1,84.38,7.15,,21,1000.9,74.5,22.6
2018-01-23,5.7,3.7,87.3,23.46,,23.1,996.8,67.6,31
2018-01-24,4.2,2,85.64,41.96,,43.5,983.2,63.6,24.4
2018-01-25,2.2,1.1,92.36,12.62,,12.8,997.8,68.4,28.2
2018-01-26,2.3,0.8,90.22,0.71,,18.2,1017.5,62.9,35.3
2018-01-27,5.9,2.6,79.61,7.66,,32.4,1007,70.3,23.4
2018-01-28,6.3,4.1,86.12,7.56,,28.5,1012,69,22.1
2018-01-29,3.5,0.9,83.57,22.24,57.6,19.7,1017.1,47.7,36.1
2018-01-30,4.2,2,85.69,16.69,72.4,29.1,1012.2,71.6,24.1
2018-01-31,1.6,-0.2,88.12,14.23,59.4,23.5,990.4,52.8,25.2
2018-02-01,2.8,0.4,84.36,16.24,68.4,24.2,1002.3,62.1,23.3
2018-02-02,2.4,0.4,86.96,6.32,,15.5,1012,75.2,32.1
2018-02-03,1.8,1.2,95.33,7.38,,10,1008.8,79.6,20.2
2018-02-04,1.9,0.6,91.02,4.18,,11.5,1030,65.3,37.7
2018-02-05,1.7,-1.4,80.36,0,61.2,22.2,1026.2,59.7,44.7
2018-02-06,-0.1,-2.1,86.22,2.33,,15.3,1019.6,46.5,33
2018-02-07,-1,-3.1,86.16,19.01,48.2,27.2,1016.4,60.5,31.2
2018-02-08,3.3,1.7,89.71,4.6,,16.9,1003.7,76.3,22.8
2018-02-09,0.9,-2.2,80.29,4.34,,16.8,1005.7,37.2,42.7
2018-02-10,2.8,0.3,83.4,3.67,59.4,28.2,995.8,72.2,27.4
2018-02-11,-0.6,-2.9,84.88,1.2,57.6,17.1,997.2,42.6,35.1
2018-02-12,0.3,-2.2,84.11,7.58,,27.2,1001.5,48.9,33.6
2018-02-13,1.1,-1.1,85.34,7.13,53.6,29.2,993.4,61.1,33.1
2018-02-14,2.1,-1,79.83,7.79,72.4,34.1,988.7,72.4,31.9
2018-02-15,1.9,0,86.86,25.64,72.4,31,993.3,64.6,20.2
2018-02-16,2.7,0,82.85,17.48,103.7,27.4,1011.9,46.4,36.6
2018-02-17,3.1,0.8,85.1,16.08,,19.6,1013.9,56.4,41.1
2018-02-18,2.9,1.3,88.99,0.6,,12.8,1016.4,67.8,36.1
2018-02-19,5.7,5.2,96.16,6.57,,12.2,1015.5,88.6,20
2018-02-20,3.1,1.3,88.49,3.04,88.9,22.5,1025.4,39.6,20.4
2018-02-21,-0.8,-2.4,89.45,0.2,50,13.3,1029.5,10.4,15.4
2018-02-22,2,-1.4,78.81,0.2,46.4,19,1022.8,62.8,25
2018-02-23,1.8,-3,70.89,0,48.2,18.5,1020.4,34.2,22.6
2018-02-24,1.4,-4.8,64.4,0,46.4,18,1024.5,5,32.5
2018-02-25,0.9,-4.3,68.79,0,,14.9,1031.1,0.7,32.9
2018-02-26,-0.1,-4.8,71.49,0,,14.3,1037.8,51.8,44.7
2018-02-27,-1.5,-5,78.17,2.02,50,18.8,1034.3,62.6,36
2018-02-28,-5.1,-7.9,80.86,0,53.8,19.9,1031.9,54.5,26.1
2018-03-01,-4.1,-7.3,78.5,10.6,57.6,24.2,1022.4,61.7,23.2
2018-03-02,-1.4,-4.4,79.97,16.16,48.2,20.6,1010.5,85.8,20
2018-03-03,-0.2,-3.2,79.94,16.16,,20.6,1002.6,85.8,24
2018-03-04,0.1,-2.2,84.91,16,,15.4,995.8,88,15.1
2018-03-05,1.9,0.4,89.4,6.02,53.6,20.1,990.9,86.1,29.3
2018-03-06,1.3,0.3,93.2,9.01,55.4,21.5,990.4,89.2,13.4
2018-03-07,2.1,0.3,88.79,8.24,,11.5,988.3,73.5,34
2018-03-08,2.3,-0.9,79.86,0.95,,15.9,989.8,59.1,40.4
2018-03-09,1.8,-1.1,81.32,1.84,,13.9,996.5,35.6,36.9
2018-03-10,0.9,-0.7,88.91,3.38,,21.2,995.9,72.2,28.5
2018-03-11,3.6,2.5,92.64,2.98,,10,993.1,89.4,35.1
2018-03-12,3,1.7,91.6,0.4,,6.7,995.9,94.8,32.9
2018-03-13,3.4,1.2,86.39,0.9,,14.9,1004.2,74.7,32.5
2018-03-14,5.5,1,73.23,0.2,55.4,25.7,998.6,81.3,38.4
2018-03-15,4.5,1.5,80.93,3.66,85.3,35.2,994.8,88.9,16.1
2018-03-16,3.2,-0.6,76.49,1.89,61.2,32.3,1006.8,83.1,32.8
2018-03-17,-0.1,-5.7,65.99,0.2,55.4,24.6,1022.8,77.4,27
2018-03-18,-0.5,-5.3,70.64,20.4,51.8,22.6,1026.7,79.7,28.4
2018-03-19,0.1,-4.9,71.02,0,,16.6,1028.8,25.3,40
2018-03-20,0.6,-4.6,71.45,0.2,,14.2,1031.8,26.6,40.3
2018-03-21,5.7,2.9,82.22,0.82,68.4,23.2,1021.7,79.9,36.6
2018-03-22,6.8,3.6,80.33,3,50,22.5,1008.8,83.3,39.1
2018-03-23,4.8,2.4,84.88,16.8,63,23.8,988.8,68.6,33.1
2018-03-24,3.8,0.5,79.78,5.18,50,20.6,1000.9,48.7,40.8
2018-03-25,4,0.8,80.82,2.93,48.2,18,1009.3,51.5,39.7
2018-03-26,3.2,-1,75.7,0.68,,11.2,1013.9,54.6,44.3
2018-03-27,4.6,2.1,83.92,3.17,,16.6,1000.2,84.4,34.6
2018-03-28,2.9,0.2,83.45,2.37,,12.5,999.8,57.7,32.9
2018-03-29,1.3,-1.7,82.14,0.4,,18.2,1002.2,39.9,38.3
2018-03-30,2.3,0.2,85.66,2.33,53.6,19.4,1004.9,77.5,31.5
2018-03-31,1.9,-1.5,79.07,0.91,,16.2,1010.2,79.6,38.3
2018-04-01,0.5,-3.8,75.11,0.4,,10.6,1014.4,42.1,44.3
2018-04-02,1.5,-1.5,80.94,13.65,48.2,21.4,1005.4,75.6,35.5
2018-04-03,1.1,0.1,92.89,45.06,,15.2,993.3,81.1,13.6
2018-04-04,1.4,-0.9,85.58,12.32,40.7,15.5,998.1,63.1,26.7
2018-04-05,2.1,-2.1,75.3,0.51,,16.6,1010.2,50.8,42.3
2018-04-06,5.2,1.3,76.01,5.2,48.2,24.5,1006.7,85.9,36.2
2018-04-07,8.2,4.7,79.34,5.8,,23.3,1003.1,73.8,33.9
2018-04-08,7.1,3.9,81.8,3.66,,12.7,1007.5,84.5,32.1
2018-04-09,6.9,3.6,80.63,1.2,,14.3,1007.9,75.3,41.4
2018-04-10,5.4,3.4,87,1.44,,16.2,1013.6,87.4,34
2018-04-11,6.5,4.3,86.73,1.48,64.8,22.9,1015.3,65,20.3
2018-04-12,7.2,2.8,75.84,0.2,,20.8,1012.7,32.5,19.9
2018-04-13,6.1,4.3,87.8,1.59,,14.5,1009.5,92.9,15.1
2018-04-14,9,5,77.37,0.2,,15.7,1012.7,71.8,25.9
2018-04-15,8.1,3.8,76.47,0.2,38.9,21.2,1008.7,35.3,21.5
2018-04-16,9.9,4.8,71.18,0.6,40.7,26.3,1003.4,72.3,36.8
2018-04-17,11,6.3,73.21,6.71,66.6,35.2,1003.5,68.9,34
2018-04-18,12.4,7.8,74.06,4.41,50,23.6,1016.6,59.4,32.7
2018-04-19,13.5,8.4,71.93,1.4,51.8,22.3,1019.3,49.3,40.1
2018-04-20,9.2,5.5,78.62,3.28,51.8,22.6,1021.3,51.7,32.5
2018-04-21,9.1,3.7,71.61,0.2,,17.1,1017.7,39.4,39.4
2018-04-22,8.2,4.6,78.08,1.05,48.2,19.1,1002.3,67.2,35.1
2018-04-23,8.4,5.3,81.27,4.62,51.8,21.5,1002.1,73.5,32.6
2018-04-24,7.7,3.4,74.74,2.8,57.6,23.2,1003.4,55.8,35.5
2018-04-25,6.4,3.2,80.68,6.44,77.8,20.5,1001.6,57.3,38.3
2018-04-26,6,3.1,81.9,8.39,88.9,31.6,1003.5,54.8,36.7
2018-04-27,5.6,2.5,81.19,7.13,,15.2,1009.2,71.2,42.2
2018-04-28,4.7,1.5,81.67,3.77,,13.5,1015,61.7,36.2
2018-04-29,5,0.1,73.06,1.18,,13.1,1018.6,42.8,39.1
2018-04-30,4.6,-1.6,69.04,0.4,,12.9,1014.5,13.5,35.9
2018-05-01,5.4,1.3,76.55,0.91,51.8,26,999.3,55.6,41.4
