datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,1.1,0.1,93.29,4.86,,16.1,988.8,39.8,34.9
2018-01-02,1.2,-0.1,90.92,2.43,,19.7,992.9,50.4,29.7
2018-01-03,1,0.2,94.03,0.8,,13.1,982.8,53.6,20.2
2018-01-04,1.1,0.7,97.73,1.45,,7.3,989.2,81.7,11.6
2018-01-05,1.7,1.1,95.76,7.73,,16,994.9,75.9,15.5
2018-01-06,2,-1.4,78.17,1.62,,21.2,1020.5,82.8,18.9
2018-01-07,-2.8,-5.6,81.17,0,,11.1,1031.8,7.3,30.2
2018-01-08,0,-3.7,75.78,0,,21.1,1026.1,20.9,28.3
2018-01-09,4.5,2.4,86.1,1.4,46.4,22.5,1007.1,76,15.2
2018-01-10,3.9,2.7,91.85,1.4,,18.4,1004.4,90.3,16.9
2018-01-11,2.2,1.5,95.27,1.05,,10.8,1021.1,65.4,22.5
2018-01-12,3.6,1.2,85.28,0.6,48.2,21.3,1023.1,55.7,27
2018-01-13,5.3,1.6,77.14,0.8,46.4,20.9,1016.3,78.6,17.4
2018-01-14,5.7,2.4,78.99,0.55,59.4,33.1,1005.4,79.6,21.5
2018-01-15,3.9,1.6,85.09,5.8,,21.5,983.3,50.3,30.5
2018-01-16,0.2,-2.6,81.12,0.8,51.8,23.2,978.4,28.3,32.1
2018-01-17,0.8,-2.2,80.91,89.6,59.4,28.2,988.5,34.8,29.8
2018-01-18,-0.2,-2.6,84.22,76.09,,19.6,992.8,31.2,31.4
2018-01-19,0,-3.1,80.04,160,,17.9,996.4,26.8,36.5
2018-01-20,-1.6,-3.8,85.34,67.28,,16.5,1001,17.1,35.2
2018-01-21,-1.3,-3.3,86.68,130.43,,27,1004.9,50.9,32.1
2018-01-22,5.2,2,80.08,1.01,46.4,22.5,1000.6,59.9,26.1
2018-01-23,7,3.9,80.52,19.76,68.4,29.5,996.9,51.7,32.3
2018-01-24,5.5,2.3,79.76,8.37,85.3,52.7,983.1,45.5,26.9
2018-01-25,2.9,0.8,86.36,0.83,,18.7,997.6,49.6,28.3
2018-01-26,3.5,1.4,86.5,0.48,,13.8,1017.2,63.5,29
2018-01-27,6.7,2.8,76.44,2.24,79.6,37.3,1006.8,59.2,25.3
2018-01-28,7.2,3.6,78.36,1.38,77.8,33.2,1011,62.1,24.6
2018-01-29,4.4,1.1,79.3,13.38,57.6,27.9,1015.8,38.9,31.7
2018-01-30,4.9,1.2,77.38,0.2,68.4,34.9,1011.9,39.2,33.5
2018-01-31,2.9,-0.5,78.42,6.7,57.6,28.4,989.1,32.7,30.1
2018-02-01,3.9,1.2,82.71,4.77,66.1,35.6,999.5,68.4,18.2
2018-02-02,3.2,1.2,86.77,6.17,48.2,23.8,1010.9,63.5,23.3
2018-02-03,1.2,0.6,96.16,5.87,,9.7,1008.5,78.4,17.3
2018-02-04,2.2,1.3,94.14,4.37,,12.2,1029.6,73.6,28
2018-02-05,1.6,-1.1,82.35,1.04,,18.3,1026.6,54.8,30.8
2018-02-06,1.1,-1.5,83.32,0.55,,21.1,1018.4,52.1,28.4
2018-02-07,0.6,-3.1,76.83,0.8,55.4,27.5,1015.8,37.5,33.5
2018-02-08,4.3,1.5,82,1.4,,18.6,1003.7,48.6,26.9
2018-02-09,1.5,-2.6,75.04,3,,23.3,1005.1,24.6,33.9
2018-02-10,3.8,0.1,77.11,1.4,53.7,31.6,996.2,66.6,26.5
2018-02-11,0.8,-2.4,79.08,1.32,51.2,27.8,995.8,33.3,29.5
2018-02-12,1.2,-3.1,73.74,11.27,50,21.3,1001.4,21.3,33.5
2018-02-13,1.5,-1.1,83.09,8.56,53.6,23,993.8,52.7,26.3
2018-02-14,2.3,-1.1,78.36,8.16,72.4,36.5,990.5,55.2,26.7
2018-02-15,3.5,-0.4,75.66,9.07,71.1,35.6,993.3,36.3,26.9
2018-02-16,3.8,-0.3,74.97,1,46.4,19.9,1012.2,34.2,30.9
2018-02-17,3.9,0.6,79.21,0.6,35.3,20.9,1013.8,41.9,34.4
2018-02-18,2.8,0.7,86.39,0.25,,12.9,1016.6,51.6,28.2
2018-02-19,5.7,5.5,98.01,5.73,,12.1,1015,85.7,9.5
2018-02-20,4.6,2.6,87.46,5.65,38.9,20.6,1024.2,45,18.9
2018-02-21,1.1,-1.1,86.05,0.2,,10.8,1029.3,9.7,15.4
2018-02-22,2.4,-1.1,78.78,0.2,46.4,22.8,1023.5,42.5,19
2018-02-23,2.3,-2.4,71.79,0,33.5,22.6,1021.3,30.9,16.4
2018-02-24,3.3,-2.3,67.27,0,46.4,26.5,1025.4,57.6,20.6
2018-02-25,2.2,-2.3,72.31,0,,21.6,1031.8,43.9,21.7
2018-02-26,1,-3.4,73.43,0.86,,14.1,1037.9,64.4,30.1
2018-02-27,-0.3,-3.4,80.37,1.76,66.6,22.2,1033.7,66.6,22.3
2018-02-28,-4.1,-7.1,80.04,0,51.8,25.6,1031.6,60.7,18.3
2018-03-01,-3,-6.1,79.08,15.98,66.6,31.3,1022.4,62.8,16.2
2018-03-02,-0.6,-3.3,81.98,25.59,48.2,27.4,1010.9,86,15.6
2018-03-03,0.3,-1.9,84.98,28.42,,21.2,1002.9,88.6,14.8
2018-03-04,0.5,-1,90.16,59.97,,19.6,996.1,92,8.1
2018-03-05,1.9,1.1,94.36,18.05,,20.2,991.5,93.4,9.4
2018-03-06,2,1.3,94.79,19.73,55.4,23.2,990.3,94.9,7.3
2018-03-07,3.1,1.4,89.23,24.76,,11.5,988.5,71.1,18.7
2018-03-08,2.8,-0.7,78.76,0,,17,990.1,41.1,29
2018-03-09,2.4,-1.2,78.08,0.85,29.5,23.5,996.3,28.5,30.2
2018-03-10,0.8,-0.2,93.48,6.23,,22.4,996.6,71.8,16.8
2018-03-11,4,3,93.05,3.93,,13.9,992.9,86.7,23.3
2018-03-12,3.7,2.6,93.02,0.6,,9.4,995.5,94.7,23
2018-03-13,4,1.8,86.37,1.1,,13,1004.3,78,22.3
2018-03-14,5.1,2,80.03,0.4,60,32.8,1000.3,70.6,22.7
2018-03-15,4.5,2,83.71,0.5,79.9,43.6,996.6,93.2,10.2
2018-03-16,2.6,0.7,87.6,14.68,59.4,36.1,1008.5,90.1,13.5
2018-03-17,0.4,-5,67.28,0.75,55.2,33.4,1023.5,81.3,20.2
2018-03-18,0.5,-4.2,71.32,15.92,51.8,26.2,1026.6,77.8,20
2018-03-19,0.6,-3.2,76.87,0,,17.4,1028.2,43.4,28.9
2018-03-20,2.8,-2.9,67.48,0.2,,19.6,1030.8,29.3,31.1
2018-03-21,5.7,2.1,77.48,0.72,59.4,30.2,1020.8,62.8,33.5
2018-03-22,8,3.7,74.51,0,51.8,28.3,1008.4,54.7,32.5
2018-03-23,5.7,3.1,83.42,10.24,63,36.1,988.5,70.1,28.4
2018-03-24,4.7,-0.1,72.42,0,50,22.9,1000.4,32,33.3
2018-03-25,4.9,0.7,75.2,0.31,48.2,23.7,1008.4,36.7,35
2018-03-26,4.3,-0.5,72.81,0.6,,15.5,1013.4,34.3,34.1
2018-03-27,4.8,3,87.88,5.1,,19,1001,84.2,22.6
2018-03-28,4.3,1.2,81.24,1.99,,16.6,999,68.9,27.8
2018-03-29,1.7,-0.2,87.72,0.29,,21.3,1002.4,49.4,28.3
2018-03-30,2.7,1.4,91.04,8.76,53.6,24.1,1004.9,84.6,14.8
2018-03-31,2.5,-0.6,80.89,3.92,,19.3,1009.8,81.2,22.3
2018-04-01,1.8,-3,72.81,0.2,,13.8,1013.8,42.6,33.4
2018-04-02,1.9,-0.6,83.89,13.51,48.2,25.7,1005.6,80,26.4
2018-04-03,2.2,1,92.13,9.3,,17.6,992.9,86.2,13
2018-04-04,2.3,0.3,86.94,14.62,40.7,16.7,997.4,73.5,20.5
2018-04-05,3.3,-1.8,70.56,0.6,,22.2,1009.6,40.8,34.9
2018-04-06,4.9,2,81.53,0,48.2,24.9,1008.2,80.4,25.1
2018-04-07,9.1,5.1,76.6,0,55.4,22.4,1003.3,53.2,24.9
2018-04-08,8,5.1,83.53,2.9,,13.9,1006.9,72.1,26.6
2018-04-09,6.9,3.8,81.85,0.8,,19.1,1008,61.3,31.9
2018-04-10,4.8,4.1,95.57,3.37,,17.1,1014.1,92.9,15.1
2018-04-11,6.2,4.5,89.38,2.56,59.4,23.7,1016.2,82,11
2018-04-12,6.3,3.6,83.57,0.2,,23.3,1013.8,63.6,13.1
2018-04-13,5.8,4.8,92.87,1.71,,14.5,1009.9,95,7.8
2018-04-14,8.6,5.7,83.39,0.31,,21.2,1012.7,63.4,16.5
2018-04-15,7.9,4.4,80.26,0,38.9,25,1009.5,32.2,13.8
2018-04-16,10.2,5.8,75.64,0.8,46.4,23.4,1004.4,64.6,25.1
2018-04-17,11.8,6.7,71.4,2.31,61.7,31.7,1005.1,59.9,25.4
2018-04-18,13.2,8.3,72.49,0.6,50,22.5,1017.6,50.6,26.3
2018-04-19,14.9,9.1,68.92,0,48.2,24.6,1019.5,31.3,31.6
2018-04-20,10.7,5.5,72.95,0.48,51.8,30.3,1020.8,27.5,31.8
2018-04-21,9.2,4.1,72.23,0,40.7,20.1,1018,20.7,31
2018-04-22,10.1,5.7,74.82,0.49,50,28.5,1002.2,60.2,26.6
2018-04-23,9.8,5.5,75.3,1.47,48.2,24.6,1001.6,67.7,32.7
2018-04-24,9.4,3.8,68.99,2.3,51.2,30.9,1002.6,50.7,31.3
2018-04-25,7.5,2.9,73.82,1.63,51.8,24.7,1001.2,41.8,33.8
2018-04-26,7.8,3.1,73.17,1.81,57.6,28.2,1002.6,53.4,35.2
2018-04-27,6.1,3.6,84.23,10.86,,13.4,1008.8,70.5,33.8
2018-04-28,5.3,3.2,86.87,2.12,,15.3,1014.8,73.5,32.7
2018-04-29,5.2,1.7,79.65,0.72,,16,1018.5,46.2,29.7
2018-04-30,5,0.4,75.08,0.4,,15.4,1014.3,21.4,28.4
2018-05-01,6.3,1.4,73.41,0.2,51.8,27.1,999.7,42.6,31.4
2018-05-02,7.3,3.7,78.97,7.73,53.6,22.2,996.6,73.5,25
2018-05-03,7.8,3.8,76.5,1.17,50.1,29.9,1009.6,57.3,30.3
2018-05-04,13.2,8.2,72.1,0.2,63,26.4,1015.1,57.2,36.7
2018-05-05,14.5,8.8,69.65,0,57.6,30.8,1019.1,39.4,33.8
2018-05-06,13.9,8.8,71.79,0,53.6,24.1,1019.6,47.1,29.4
2018-05-07,11.6,8.2,80.23,0.66,,19.3,1016.6,58.4,26.8
2018-05-08,13.3,7.8,70.65,0.45,51.8,25.5,1005.4,51.1,28.4
2018-05-09,8.8,4.3,73.82,0.2,57.6,26.2,1002.7,49.6,27.7
2018-05-10,9.6,2.4,62.41,1.6,57.6,23.8,1007.7,30.1,28.3
2018-05-11,9,3.3,68.5,0,64.8,36,1012,39.6,23.3
2018-05-12,11.3,6.9,76.17,2.51,,20.1,1012,57.7,23.6
2018-05-13,10,8,87.83,7.37,,12.7,1013.5,65.3,20.1
2018-05-14,11.1,5.9,73.39,0.2,,16.5,1020.7,12.2,29.8
