datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.8,2.3,89.73,4.9,57.6,30.7,990.9,58.1,32.7
2018-01-02,3.8,2.5,91.33,9.62,72.4,31.2,993.9,70.4,24
2018-01-03,4.5,3.4,92.59,19.02,77.8,34.5,984.1,73.9,21.6
2018-01-04,3.8,3.3,96.78,12.18,35.3,14.3,987.7,81.6,19.5
2018-01-05,1.7,1.3,96.63,3.99,,24.4,992.8,76.9,25.1
2018-01-06,1.1,-1.3,84.09,1.61,53.6,29.5,1018,53.7,31.3
2018-01-07,-2.5,-4.1,88.79,0.2,,11,1032.7,5,34.3
2018-01-08,-0.7,-3.9,79.04,0.2,,17,1025.7,13.4,36.6
2018-01-09,1.3,0,90.61,0.4,38.9,19,1005.8,62.6,14.9
2018-01-10,2.9,2.3,96.27,2.03,,20.7,1004.3,88.5,5.8
2018-01-11,1.7,1.4,97.67,0.2,,9.1,1020.9,68.1,8.9
2018-01-12,3.9,1.9,86.72,0.2,55.4,28.1,1023.5,70.4,21
2018-01-13,3.9,1.5,84.11,2,59.4,25.7,1016.5,82.5,15.6
2018-01-14,4.1,2.9,91.91,2.04,76.7,56.9,1010.1,88.4,8.2
2018-01-15,4.5,3.3,92.46,21.29,67.2,45.6,987.6,66.7,28.5
2018-01-16,0.1,-0.6,94.86,8.08,85.3,32.3,983.9,59.5,22
2018-01-17,0.7,-0.2,93.39,8.47,61.2,31.3,993.6,50,26.4
2018-01-18,0.8,0.1,94.91,248.5,40.7,21.4,995.2,70.4,33.4
2018-01-19,0.8,-0.2,93.1,293.78,64.8,29.1,1000.4,70.2,31.5
2018-01-20,-0.4,-1.3,93.92,2.2,53.6,21.8,1002.2,42.7,22.9
2018-01-21,-0.9,-1.8,93.79,5.02,55.4,34.3,1006.2,83.3,24.7
2018-01-22,4.1,3.2,93.73,15.17,61.2,28.8,1005.7,82.8,17.1
2018-01-23,6.5,5.4,92.24,13.38,63,46,1001.9,66.6,27.8
2018-01-24,6.1,3.7,84.65,12.97,81.9,54.9,989.9,70.9,24.6
2018-01-25,3.8,1.9,87.62,5.51,55.4,34.7,998.7,51.9,29.2
2018-01-26,2.2,0.8,90.99,0.2,,24.4,1018.5,53.8,30.5
2018-01-27,6.9,5.1,88.31,13.98,71.6,49.7,1013.4,69.1,20.3
2018-01-28,8.7,7.5,91.69,7.26,72.2,43.6,1017,83,17.4
2018-01-29,5.2,3.1,86.36,7.62,73.5,44.7,1020.2,49.5,31.9
2018-01-30,3.8,2,87.67,0.4,56,38.5,1018.5,78.3,28.3
2018-01-31,1.7,0.7,92.78,13.89,76,40.5,994.6,63.1,30.3
2018-02-01,2.4,-0.8,79.94,4.78,61.2,29.2,1002.4,29.4,44.4
2018-02-02,2.4,-0.4,81.74,0.4,55.4,21.6,1011.9,31.8,43.7
2018-02-03,1.8,1.2,96.15,3.56,,15,1008.5,87.4,15.4
2018-02-04,1.7,0.5,92.21,2.23,,8.6,1029.6,55.4,25
2018-02-05,0.2,-2.4,83.54,0.2,,19.8,1029,85,39.7
2018-02-06,-0.5,-3.2,82.8,4.06,,21.5,1019.9,54.4,32.9
2018-02-07,-1.8,-3.9,85.45,1.2,53.6,35.8,1019.5,45.9,38
2018-02-08,4.3,3.3,93.28,4.5,55.4,30.2,1007,81,19.4
2018-02-09,1.5,-0.6,86.26,4.13,46.4,23.2,1007.5,36.9,35.5
2018-02-10,3.6,2.1,90.37,6.51,59.7,48.5,999.1,82.4,15.4
2018-02-11,0.4,-1.5,87.23,20.05,53.6,32.4,998.6,39.5,38.4
2018-02-12,0.7,-0.8,89.51,5.06,55.4,37.1,1005.5,66,33.5
2018-02-13,1.2,-0.8,87.03,5.12,64.8,43.8,996.2,53.2,30.2
2018-02-14,1.7,-0.4,86.47,4.09,68.4,54.7,993.3,68,28.5
2018-02-15,2.5,-0.4,81.6,3.69,60.2,39.7,999.4,70.3,31.3
2018-02-16,3.4,1.1,85,0.47,59.4,35.1,1016.1,61.9,29.1
2018-02-17,3.7,2.1,89.22,10.72,50,34.7,1016.6,67.9,30.8
2018-02-18,4,3.2,94.55,2.86,,21.7,1017.7,77,18.3
2018-02-19,8.1,7.1,93.88,7.75,,18.6,1016.1,89.1,21.8
2018-02-20,5,1.8,80.76,0.85,59.4,22.1,1024.8,30,32.3
2018-02-21,2.7,0,83.17,0,,12.3,1029.3,79.5,28.1
2018-02-22,1.4,-1.1,83.62,0.2,46.4,22.8,1024.8,56,21.5
2018-02-23,0.8,-2.8,76.91,0,50,28.4,1022.1,42.1,18.3
2018-02-24,0.9,-4,70.91,0,,17.1,1024.9,11.8,25.5
2018-02-25,0.7,-3.6,73.96,0,,17.1,1031,1.8,27.7
2018-02-26,-0.6,-5.1,71.48,0,,20.3,1036.4,66.7,43.1
2018-02-27,-1.8,-4.3,82.79,0.53,59.4,29.6,1030.4,58.2,28.4
2018-02-28,-4.9,-6.8,86.86,0,57.6,40.6,1025.7,57.2,15
2018-03-01,-3.5,-5.2,88.1,180,63,42.7,1014.7,66.8,7
2018-03-02,-1.2,-3.7,83.34,0.8,59.2,43.9,1004.2,94.3,15.1
2018-03-03,-0.8,-3.4,82.7,4.2,50,30.8,998.6,90.9,17.5
2018-03-04,0.4,-0.9,91.38,1.12,,24.7,991.9,93.1,7.1
2018-03-05,2.3,1.5,94.63,8.15,48.2,19.6,987.8,90.3,14.3
2018-03-06,1.8,1.3,96.21,13,,24.3,986.6,89.7,12.5
2018-03-07,2.8,1.6,92.06,8.15,,26.4,989.4,78.5,22.3
2018-03-08,2.7,0.8,87.66,4.84,46.4,20.7,991.8,49.3,31.5
2018-03-09,2.9,-0.4,79.55,1,47.2,26.3,998.9,35.2,36
2018-03-10,3.4,2.4,92.96,10.33,35.3,28.8,992.4,90.4,14.8
2018-03-11,5.9,4.7,92.18,19.59,,14.3,992,62.6,19.2
2018-03-12,4.3,3,91.39,20,,12,994.7,88.3,26.3
2018-03-13,4.4,1.8,83.96,0.4,,15.2,1004.6,74.9,33.7
2018-03-14,5.2,1.5,77.17,0.2,59.4,37.1,998.3,72.5,38.2
2018-03-15,4.8,2.6,85.46,6.36,56.6,35.5,991.1,86.7,19
2018-03-16,3.5,1.3,85.55,2.08,54.3,39.6,1002.2,89.5,34
2018-03-17,-0.8,-4.5,76.1,0.67,60.8,37.1,1018.6,71.2,20.8
2018-03-18,-1.5,-4.9,77.82,1.12,59.4,37,1021.4,76.8,20.5
2018-03-19,1,-3.1,74.37,0.2,52.1,30.4,1025.6,47.3,33.9
2018-03-20,1.9,-3.4,70.92,0,,15.4,1031.7,26.4,40.3
2018-03-21,3.8,1.8,86.86,0.7,57.6,32.7,1026.2,83.7,29.1
2018-03-22,6,3.8,86.31,0.95,55.6,44,1012.3,94.2,25.5
2018-03-23,5.6,3.9,88.72,20.43,61.2,36.5,991.7,76.3,29.8
2018-03-24,4.1,0.9,81.17,0.2,,22.3,1002.6,39.5,37.6
2018-03-25,4.1,1.4,83.56,0.56,,25.6,1010.8,44.5,38
2018-03-26,3.2,0.1,80.98,0.4,,16.5,1014.9,37.4,40.6
2018-03-27,5.4,3.9,90.36,9.8,46.4,30.6,1002.2,82.8,22.4
2018-03-28,3.2,1.4,88.27,2.09,,20.4,1001.2,59.7,35.8
2018-03-29,2.5,-0.7,80.78,0.2,,30.4,1000.6,39.9,41.3
2018-03-30,3.1,1.3,87.94,0.72,51.8,33.7,1000.4,79.9,33.8
2018-03-31,2.6,1.3,90.86,4.38,57.6,35.5,1006.1,83.6,20.1
2018-04-01,2.2,-1,80.2,0.4,,20.4,1013.4,88.2,35.4
2018-04-02,1.1,-0.3,90.5,5.42,52.4,34.9,1001.1,91,21
2018-04-03,2.3,1.8,96.16,20.26,,27.8,989.5,91.4,10.3
2018-04-04,2.3,1.9,97.05,19.23,66.6,32,994.3,88.5,9
2018-04-05,2.9,-0.7,78.27,5.69,,23.8,1011.5,40.5,44.8
2018-04-06,6.8,2.5,74.48,0.86,57.6,35.7,1006.8,82.5,38.9
2018-04-07,7.6,6,89.53,3.01,51.8,32.7,1005.1,70.6,21.7
2018-04-08,7.1,5.8,91.59,1.37,,17.4,1008.2,69.7,22.2
2018-04-09,8.1,5.5,85.08,0.6,,15.7,1007.5,71.4,24.9
2018-04-10,5.3,4.3,93.35,2.47,56.6,39.6,1009.1,94.3,19.5
2018-04-11,5.4,4.6,94.85,0.2,61.2,27.5,1013.2,98.5,8.5
2018-04-12,5.1,3.8,91.64,0.45,51.8,30,1010.3,93.2,11
2018-04-13,6,5.1,94.51,4.1,,19.5,1007.6,96.2,7.9
2018-04-14,8.4,6,86.1,0.56,,18.1,1014.1,69.2,14.3
2018-04-15,9.1,6.2,82.87,1.7,48.2,22.3,1007.7,74.6,15.8
2018-04-16,9.1,6,81.66,8.34,61.2,43.2,1005.5,80.9,31.4
2018-04-17,9.8,7.3,84.66,8.15,73.5,49,1007.8,84.3,21.3
2018-04-18,11.6,9.6,87.73,2.43,64.8,36.2,1019.7,73.9,27.3
2018-04-19,12.2,9.1,81.8,0,46.4,32.9,1021.9,39,34.8
2018-04-20,10.3,6.7,79.76,0.2,46.4,27.3,1023.3,46.9,33.3
2018-04-21,10.9,5.3,70.97,0,33.5,22.9,1018.6,32.2,35.7
2018-04-22,9.9,6.8,81.53,2.41,46.8,39.6,1004.9,76.3,28.2
2018-04-23,8.2,6.2,87.36,12.36,63.5,40.6,1006.7,79.3,29.9
2018-04-24,8,5.3,83.26,4.39,53.6,33.9,1006.7,72,29.3
2018-04-25,7,4.7,85.26,8.88,54.3,33.5,1004.7,63,34.3
2018-04-26,6.8,4,83.24,2.7,63,35.4,1007.3,55.7,29.9
2018-04-27,6.2,1.8,76.01,0.6,,17.9,1009.4,40.8,34.9
2018-04-28,5.2,2.5,83.09,7.8,,18.6,1013.6,59.5,37.8
2018-04-29,5.2,0.9,76.17,1,,16.5,1017.4,50.8,38.3
2018-04-30,5.8,0.1,69.93,0.2,,21.3,1013.6,20.4,41.1
2018-05-01,5.4,2.3,80.91,1,65.5,40.3,1002.2,50.9,36.4
2018-05-02,7.2,3.5,78.49,15,55.3,37.7,998.5,65.2,34.2
2018-05-03,6.9,4.9,87.21,1.3,50,34.8,1013.3,80,22.7
2018-05-04,10.2,8.7,90.41,1.97,37.1,28.5,1019.4,85.1,29.7
2018-05-05,10.5,9,90.62,0.4,50,34.1,1023.1,57.1,24.7
2018-05-06,13.2,9.5,79.6,0.4,38.9,28.1,1021.7,20.3,35.9
2018-05-07,13.3,7.3,70.07,0,40.7,28.9,1016.9,48.6,36.6
2018-05-08,10,8,87.36,3,46.4,30,1008.1,71.1,24.4
2018-05-09,8.2,6.4,88.43,2.69,56.4,35.8,1005.1,66.6,26.3
2018-05-10,8.1,4,76.27,4.4,48.2,28,1010.6,53,29
2018-05-11,8.8,4.1,73.84,0.44,54.1,39.2,1011.6,57.3,33.9
2018-05-12,9.9,4.9,73.97,7.58,,17.8,1012.3,48.6,38.8
2018-05-13,10.5,6.1,76.85,7.62,,24.3,1014.2,54.6,35.3
2018-05-14,10.6,5.3,71.82,0,,14.8,1021.8,6.8,39.8
2018-05-15,10.7,7.6,82.05,0.2,,20.3,1023.2,54.9,32.2
2018-05-16,9.5,3.3,66.75,0.4,38.9,15.3,1030.2,28.7,41.5
2018-05-17,9.4,3.6,68.97,0,,13.4,1029.7,29.6,44.1
2018-05-18,10.5,5,70.84,0,,14,1025.2,45.9,38.8
2018-05-19,11.6,5,66.23,0,50,31.1,1022.1,14.8,36.5
