datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3,1.9,92.91,20.96,,18.9,990.2,41.3,22.9
2018-01-02,2.7,2,94.49,7.92,,24.9,993,48.3,15.1
2018-01-03,3.3,2.6,95.07,12.96,55.4,22.8,983.7,53.9,15.3
2018-01-04,2.7,2.4,97.58,12.26,,19.5,988.5,60.9,14.5
2018-01-05,1.8,1,94.55,9.89,,16.5,993.8,61.9,18.3
2018-01-06,0.9,-2.6,77.93,0.6,55.4,26.3,1020,31.2,24.6
2018-01-07,-3.3,-5.8,83.32,20,,8.8,1032.8,1.7,19.8
2018-01-08,-3,-5.1,85.37,10.2,,27.5,1025.9,8.5,18.5
2018-01-09,2.1,0.7,90.27,0.2,,35.1,1005.8,61.4,14.2
2018-01-10,1.9,1.4,96.34,1.05,,24.5,1004.7,64.5,9.9
2018-01-11,1.2,0.7,96.98,0.4,,12.7,1021.4,43.4,11.6
2018-01-12,2.6,1.1,90.21,0,49,24.7,1022.8,61.5,15
2018-01-13,3.3,1.7,89.59,3.2,,27.7,1015.8,64.1,11.7
2018-01-14,4.9,3.6,91.16,6.32,74.2,54.8,1007,63.4,12.9
2018-01-15,3.6,2.6,93.42,17.46,59.4,39.6,985.8,47.6,20.1
2018-01-16,-0.4,-1.3,93.62,3.77,57.6,35.2,981.6,44.4,15.7
2018-01-17,0.6,-0.7,90.51,66.36,50,29.9,991.9,34.7,19
2018-01-18,0.1,-0.5,95.53,7.44,,16.3,994.7,41.7,21.6
2018-01-19,0.1,-0.8,93.87,8.2,,23.7,998.9,39.1,21.4
2018-01-20,-1.7,-2.9,91.8,5.66,,16.5,1002.3,20.5,22.9
2018-01-21,-1.4,-2.6,92.04,13.53,,22.2,1005.5,53.2,13
2018-01-22,4.9,3.4,90.16,7.34,53.6,32.6,1003.5,57.7,13.3
2018-01-23,6.7,5.3,91.06,13.41,66.6,42.2,999.3,56.5,13.5
2018-01-24,5.5,3.3,86.17,33.03,76,50.6,986.6,56.1,15.7
