datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,5.9,3.9,86.75,7.83,64.5,40.8,991.1,34.4,19.2
2018-01-02,6.5,4.3,86.45,10.04,87.1,38.9,991.8,45.7,15.3
2018-01-03,7.5,5.5,87.24,28.27,69.6,45.7,984.8,35.1,13.9
2018-01-04,5.6,4.5,92.86,20.39,57.6,29.4,987.3,36.2,15.2
2018-01-05,4.1,2.8,91.18,7.58,51.8,28.6,991.6,46.1,28.5
2018-01-06,2.8,-1.7,72.72,0.2,53.6,24.9,1018.8,26.5,32.1
2018-01-07,0,-2.7,82.24,20.2,,23.1,1031.3,14,30.1
2018-01-08,2.3,-2.5,70.7,10.2,74,48.2,1022.4,15.9,31.8
2018-01-09,4.2,2.5,88.66,0.6,75.5,47,1002.3,97,10.7
2018-01-10,3.7,3.1,95.86,2.2,66.6,29.2,1003.5,52.7,13.2
2018-01-11,2.7,2.5,98.35,0.4,,31,1020.4,75.8,9.9
2018-01-12,6.2,4.1,86.89,0,72.1,46.7,1020,90.4,16.4
2018-01-13,6.6,5.1,90.39,6.99,64,45.4,1012.6,93.8,8.1
2018-01-14,7.1,5.8,91.8,10.01,72,51,1006.7,74.6,17.7
2018-01-15,5.9,4.4,90.03,13.23,69.5,45.9,987.7,66.9,15.7
2018-01-16,2.7,0.6,86.34,11.59,79,53.9,983.8,59.4,15
2018-01-17,4.2,1.2,80.99,10.46,77.5,58.5,993.9,61.3,16
2018-01-18,3.2,1.8,90.47,17.92,59.4,37.5,995.6,65.7,21.9
2018-01-19,3.2,1.4,87.99,16.12,64.8,43.6,1000.1,61.5,20.9
2018-01-20,2.7,0.9,88.04,8.86,53.6,37.6,1001.9,62.4,24.2
2018-01-21,4.1,3,92.68,12.37,68.3,47.5,1003.8,86.5,17.7
2018-01-22,7.5,5.6,88.19,6.48,59.9,39.2,1005.3,81.2,12.4
2018-01-23,8.8,7,88.86,8.45,66,41.6,999.7,63.7,18.4
2018-01-24,7.3,4.3,81.57,4.94,83.1,56.3,987.8,48.8,18.1
2018-01-25,5,2.8,85.86,0.96,59.4,31.2,997.2,65.5,28
2018-01-26,3.8,2.5,91.45,0.81,70.6,31.5,1017.7,37.4,25.9
2018-01-27,8.7,6.5,86.78,6.92,77.3,45.7,1013.1,82.1,14
2018-01-28,10.1,8.8,91.94,10.48,66.7,42.9,1017.2,28.3,11.2
2018-01-29,6.8,4.2,83.62,6.89,67.9,40,1021.4,25.7,16.7
2018-01-30,5.9,3.6,85.23,0.6,64.2,38.9,1017.5,76.2,23.9
2018-01-31,4.5,2.3,85.49,12.82,78.6,47.6,995.1,44.3,17.6
2018-02-01,5.4,2.1,79.46,2.35,75.8,49.7,1006,43.8,17.4
2018-02-02,5.7,2.8,81.54,0.4,63.1,34.7,1012.8,36.6,17.5
2018-02-03,5.5,3.2,85.42,4.35,59.4,30.5,1009.2,16.5,16.9
2018-02-04,3.8,1.8,86.74,0.2,,20.9,1029.5,6.8,20
2018-02-05,2.6,0.3,85.14,0.2,50,25.4,1027.6,18.9,27.3
2018-02-06,2.5,-0.4,81.2,6.1,61.2,33.9,1021,20,21.2
2018-02-07,2.1,0.3,87.94,2.29,64.8,34.6,1018.5,40.5,21.9
2018-02-08,6.2,4.5,88.71,1.43,58.3,29.1,1006,75.1,16.8
2018-02-09,3.5,0.7,82.26,9.81,61.6,37.5,1008.1,49.8,21.4
2018-02-10,5.6,4,89.6,10.21,67.8,47.2,997.8,80.4,14.6
2018-02-11,2.4,0,84.58,9.3,63,38.5,1000.4,53,20.5
2018-02-12,3.3,0.9,84.56,14.7,64.1,52.8,1003.5,59.2,23.9
2018-02-13,3.9,1.1,82.43,14.17,66.3,53.8,994.8,53.2,23.2
2018-02-14,5.4,3.1,85.86,10.69,78.7,69.1,989.3,66.9,20.5
2018-02-15,3.9,0.8,80.39,4.5,72.9,53.2,998.1,53.4,22.3
2018-02-16,5.1,2.4,82.68,3.22,56.8,38.2,1014.1,58.4,21
2018-02-17,5.4,3.2,85.57,2.54,48.2,23.3,1015.5,58.9,23.8
2018-02-18,6.4,5.8,95.41,5.1,,29.1,1015.7,83,12.7
2018-02-19,8.5,8.1,97.37,2.5,,28.4,1016.9,85.1,8
2018-02-20,6.3,4.3,86.88,2.06,,25.3,1026.3,16.9,13.1
2018-02-21,3.5,1.9,89.75,0.4,,21.3,1028.4,28.6,16.2
2018-02-22,4.8,2.8,86.58,3,53.6,31.9,1022.3,81.9,14.6
2018-02-23,4.1,0.2,75.6,0,67,47.5,1018.9,85.4,13.4
2018-02-24,2.8,-1.6,72.85,0,66.6,47.2,1022.2,61.5,15.2
