datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.1,2,92.53,19.1,,19,990.3,44.9,21.7
2018-01-02,3,2.1,93.76,8.4,,25.3,992.8,52.4,16.2
2018-01-03,3.5,2.7,94.31,12.63,,21.8,983.9,60.7,13.4
2018-01-04,3.5,2.4,92.74,11.8,,19.2,988.6,66.2,14.4
2018-01-05,2.4,1,90.72,9.4,,16.4,994,56.3,16.3
2018-01-06,1.2,-2.8,74.88,0.2,,28.2,1020.4,28.8,22.2
2018-01-07,-2.7,-5.2,83.26,20,,15.3,1032.9,12.7,17.7
2018-01-08,-1.3,-5.2,76.21,10.2,40.7,28.5,1025.5,7.9,17.4
2018-01-09,3.8,0.6,80.58,0,55.4,32.7,1005.5,45,13.4
2018-01-10,2.8,1.6,91.96,1.4,,24.6,1004.8,70.7,11.4
2018-01-11,1.2,0.4,94.45,0.4,,12.7,1021.6,30.8,12.3
2018-01-12,3.7,1.2,84.37,0,50,42.6,1022.5,59.8,15.3
2018-01-13,4.1,1.7,85.17,3,42.5,28.9,1015.5,69,12.7
2018-01-14,5.5,3.7,88.53,7.45,74.2,55.8,1006.4,72.3,12
2018-01-15,4.2,2.6,89.42,19.81,59.4,42.5,985.8,54.5,13.7
2018-01-16,0.4,-1,90.52,5,33.5,41.6,981.4,54.2,12.5
2018-01-17,1.5,-0.4,87.36,110.3,50,48.1,991.9,44.6,15.7
2018-01-18,0.9,0,93.72,7.57,,21.2,994.9,56.1,16.1
2018-01-19,0.4,-0.5,93.85,7.4,,31.3,998.9,45.4,15.5
2018-01-20,-1.8,-2.9,92.06,7.2,,15.7,1002.6,25.7,20
2018-01-21,-1.2,-2.4,91.48,1.8,,23.3,1005.2,56,12.4
2018-01-22,5,3.4,89.09,10.34,53.6,31.7,1003.4,59.4,13.4
2018-01-23,6.7,5.3,90.61,16.92,66.6,41.4,999.1,60.9,12.4
2018-01-24,5.6,3.3,85.3,42.78,79.6,53.4,986.2,61.7,13.9
2018-01-25,4,2.2,87.74,16.01,51.8,28.8,998.1,60.8,13.1
2018-01-26,1.9,0.6,91.54,1,,21.9,1018.1,32.4,19.2
2018-01-27,6.7,4.7,87.26,13.9,55.4,46.3,1010.8,65.3,10.1
