datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,-1.3,-1.8,95.76,14.17,46.4,16.2,989.9,40.2,34
2018-01-02,1,0.3,94.57,7.53,50,25.5,991.7,56.6,33.2
2018-01-03,-0.3,-0.9,96.01,1.87,13,9.2,983.4,50.7,22.4
2018-01-04,1.5,0.7,94.38,22.6,5.4,17.7,989.6,81.2,31.5
2018-01-05,1.7,0.3,90.71,2.3,48.2,45.3,996.1,68.6,33.7
2018-01-06,0.2,-3.3,77.64,0.45,,41.4,1022.4,72.2,27.3
2018-01-07,-3.7,-5.9,84.94,0,42.5,11.3,1031.5,13.6,41.4
2018-01-08,-2,-6.7,71.32,0,,29.1,1024.5,0.9,42.9
2018-01-09,2.7,0,82.74,0,55.4,37.6,1004.9,30.1,34.3
2018-01-10,1.9,0.3,89.02,0.2,50,23.5,1004.4,44.7,40.2
2018-01-11,-2.8,-3.9,92.75,1,,7.6,1022.2,3.2,38.7
2018-01-12,1.8,-0.5,85.06,0.4,,41.1,1020.7,16.1,46.7
2018-01-13,3.2,0.6,82.92,2.6,46.4,34,1013.9,85.5,24.1
2018-01-14,5.2,2.1,80.79,7.4,103.7,37,1001.2,72.3,29.7
2018-01-15,2.3,0.4,87.39,8.48,57.6,32.5,982.5,66.9,23.2
2018-01-16,-0.7,-2.9,85.87,2.32,70.6,43.1,977.3,51.6,16.6
2018-01-17,-0.2,-1.8,89.05,46.63,77.8,50.3,988.7,62.5,25.3
2018-01-18,-0.9,-2.1,91.72,15.2,,28.7,993.1,56.1,28
2018-01-19,-1.1,-2.7,88.7,102,46.4,34,996.2,50.8,30.7
2018-01-20,-5.3,-6.2,93.13,173,,14.3,1002.4,36,29.1
2018-01-21,-2.8,-4.3,89.64,152.09,66.6,34.3,1003.3,63.5,25.8
2018-01-22,4.7,2.1,83.19,3.66,53.6,48.8,999.2,73,16.6
2018-01-23,6.1,3.8,85.26,24.55,74.2,39.9,994.9,67.6,21.1
2018-01-24,3.4,1.7,88.76,43,107.6,77.9,981.3,78.7,17.8
2018-01-25,1.4,0.6,94.86,8.53,,11.1,997.8,78,32.2
2018-01-26,1.5,0.4,92.59,1.4,55.4,16.5,1017.3,62.3,34
2018-01-27,5.2,2.3,82.07,6.09,92.5,65.6,1005,78.9,17.1
2018-01-28,5.1,3,87.06,6.45,70.6,50,1011.4,82.8,19.7
2018-01-29,2.6,0.8,87.88,25.72,56.2,41.4,1016.3,53.7,26.2
2018-01-30,4.7,2.5,85.49,30.89,74.2,45.5,1010.2,80.9,14.6
2018-01-31,1.5,-0.5,87.15,19.33,66.6,46.9,989.5,56.8,11.8
2018-02-01,2.7,0.4,84.83,17.35,65.9,49.4,1003.2,56.7,14.4
2018-02-02,2.1,0.6,90.06,6.72,46.4,20.6,1012.3,78.5,21.9
2018-02-03,2.3,1.5,94.4,7.37,,23.1,1008.9,73.6,20.1
2018-02-04,1.3,-0.3,89.84,1.58,,16.3,1030.2,26.9,36.1
2018-02-05,1.4,-1.7,80.92,0.4,68.4,36.6,1025,25.8,39.8
2018-02-06,-0.4,-1.7,91.32,2.68,50,27,1019.8,52.6,20.7
2018-02-07,-0.5,-1.9,90.46,9.2,68.4,43.4,1015,77.2,19.5
2018-02-08,3.1,1.2,87.49,4.7,59.4,34.4,1002.6,79,19.5
2018-02-09,0.7,-1.9,83.12,3.05,50,27.2,1004.9,42.5,30.2
2018-02-10,2.3,0.2,85.94,8.13,74.2,39.8,994.6,66.5,20.8
2018-02-11,-1.5,-2.8,90.84,1.97,56.2,30.4,997.1,44.2,25.9
2018-02-12,-0.4,-2,88.69,1.51,57.6,41.8,1000.4,50,32.1
2018-02-13,0.6,-1.4,87.03,4.78,68.4,34.4,992.6,58.8,18.5
2018-02-14,1.7,-1.1,82,9.81,76,42.8,986.7,67.3,22.8
2018-02-15,2.1,-0.2,85.36,23.59,79.6,40.5,991.3,62.7,13.7
2018-02-16,2.4,-0.4,81.86,3.4,76,37.9,1010.6,43.1,33.1
2018-02-17,2.6,0.5,86.28,6.05,53.6,37.7,1013,62,35.4
2018-02-18,1.8,0.7,92.23,2.6,,14.4,1016,76,35.2
2018-02-19,5,4.2,94.92,6.33,,28.9,1015.1,85.3,12.9
2018-02-20,3.5,2,89.89,3.45,,30.5,1025.4,53,14.7
2018-02-21,-0.3,-2.4,87.24,0.4,,11.2,1029.3,5.3,16.5
2018-02-22,2.1,-1,80.76,0,64.8,20.7,1021.6,87.3,30.7
2018-02-23,1.6,-2.2,76.5,0,48.2,28.7,1019.3,34.3,23
2018-02-24,0.1,-4.7,71.26,0,46.4,25.3,1024.2,1.4,30
2018-02-25,-1.9,-5.7,77.56,0,,10.9,1031.2,0.1,29.9
2018-02-26,-1.3,-4.7,78.36,0,,23.6,1038,40.1,44.1
2018-02-27,-1.8,-4.7,80.8,7.98,50,33,1035.3,49.5,36.9
2018-02-28,-5.2,-7.3,85.17,0,48.2,34.4,1033,57,13.2
