datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.7,1.8,87.78,4.55,50,20.4,990,39.5,41.9
2018-01-02,2.9,1.9,92.81,5.69,72.4,19.1,994.6,61.9,31.4
2018-01-03,4.6,3.3,91.71,16.92,77.8,27.9,982.9,69,27.8
2018-01-04,4,3.5,95.95,10.79,35.3,10.2,987.5,75.5,21
2018-01-05,3,2.3,95.46,15.02,,21.8,992.3,75.9,27.9
2018-01-06,3.2,-0.5,77.32,6.55,53.6,27.6,1017.3,70.2,33.1
2018-01-07,-0.6,-2.9,84.59,0.2,,10.8,1032.3,23.6,38.2
2018-01-08,-0.7,-2.6,87.13,0.2,,16.4,1026.7,22,32.4
2018-01-09,2.9,1.7,91.62,0.2,48.2,20.5,1007.1,93.6,11.4
2018-01-10,2.9,2.4,96.18,1.37,,10.2,1004.3,94,6.9
2018-01-11,4.6,3.5,92.85,0.42,,13,1020.1,92.5,25
2018-01-12,4.2,2.9,91.74,0.2,,16.9,1024.4,78.3,14.9
2018-01-13,4.2,2,86.24,0,,22.6,1017.8,88,12.1
2018-01-14,3.9,2,87.53,0.96,71.2,35.6,1010.9,82.3,12
2018-01-15,5.1,3.2,88.03,11.81,70.7,37.2,986.6,62.5,42.6
2018-01-16,0.4,-0.7,92.51,3.54,52.2,26.5,982.8,53.4,29.3
2018-01-17,1,-1,86.8,118.94,59.4,28.9,991.9,34.4,33.4
2018-01-18,0.8,-0.6,90.47,12.32,,18.2,994.1,51,37.2
2018-01-19,0.4,-1,90.26,4.53,50,25.7,999.4,51.1,40.3
2018-01-20,-0.6,-2.4,87.57,1.48,,21.3,1001.4,28.4,40.1
2018-01-21,-1.1,-2.6,89.65,1.28,,18.6,1006.6,79.6,30.2
2018-01-22,3.6,2.4,91.45,1.76,48.2,22.9,1004.6,73,31.3
2018-01-23,7.1,5.5,89.49,7.51,60,43.4,1001.8,67.2,38.1
2018-01-24,6.7,3.9,82.42,13.07,83.1,50.9,989.5,57.6,28.3
2018-01-25,4.4,2.1,85.28,8.39,55.4,32.1,998.8,49.9,34.2
2018-01-26,3.4,1.2,85.71,0.6,,13.5,1018,73,43.3
2018-01-27,7.2,4.3,82,11.95,78.4,41.1,1012.2,71.4,30.7
2018-01-28,9.1,6.8,85.31,3.42,77.6,54,1015.2,68.1,27.1
2018-01-29,6.1,2.7,78.58,3.07,75.1,50.3,1018.5,44.9,43
2018-01-30,4.2,1.8,84.86,0.6,63.5,36.1,1017.6,77.8,41.1
2018-01-31,2.5,0.6,87.44,10.53,60.7,36.5,993,46.8,41.8
