datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.6,2.6,87.36,4.5,55.4,32.8,991.4,64.8,29.6
2018-01-02,4.4,2.9,90.08,10.81,75.3,40.2,994.7,77,18.2
2018-01-03,5.3,3.7,89.89,23.74,77.8,38.6,984.8,72,19.3
2018-01-04,4.4,3.7,95.29,14.8,37.1,16.3,987.8,80.8,18.4
2018-01-05,1.9,1.3,95.41,4.17,,23.5,992.6,69.9,25.8
2018-01-06,1.8,-0.9,82.47,2.09,53.6,30.4,1017.2,42.8,29.9
2018-01-07,-1.4,-3.4,86.08,0.2,,10.2,1032.3,8,34.5
2018-01-08,-0.4,-3.5,79.95,0,,20.2,1025.5,13.5,34
2018-01-09,1.8,0.3,90,0.4,50,16.5,1005.9,71.5,12.3
2018-01-10,3.6,2.9,94.99,1.97,,17.9,1004.3,86.9,6.4
2018-01-11,2.5,1.9,95.72,0.2,,8.8,1020.6,78.2,12.4
2018-01-12,4.5,2.3,85.79,0.2,55.4,23,1023.7,72.6,17.7
2018-01-13,4.5,1.8,82.88,2,52.2,27.2,1016.7,85.5,13.9
2018-01-14,4.2,2.8,90.22,2.53,72.5,51.3,1011.2,90.3,7.6
2018-01-15,5.2,3.7,90.54,20.83,63,38.9,988.3,71.7,25.5
2018-01-16,1,-0.4,90.22,6.93,71.7,29.2,984.9,61.2,22.8
2018-01-17,1.5,0.1,90.6,8.21,61.2,31.1,994.5,59.8,20.3
2018-01-18,1.3,0.4,93.78,152.53,40.7,17.3,995.4,75.2,32.3
2018-01-19,1.6,0,89.5,293.48,64.8,28,1001.2,70.4,30.2
2018-01-20,0.4,-0.8,92.06,0.85,53.6,22.1,1002.3,51.9,23.4
2018-01-21,-0.2,-1,94.23,6.76,55.4,25.1,1006.6,85.1,22.2
2018-01-22,4.8,3.6,91.89,15.85,59.4,24.9,1006.5,86.1,14.2
2018-01-23,7.2,5.9,91.37,14.69,64.8,37.5,1003.1,72.4,19.3
2018-01-24,6.7,4.1,83.28,12.78,87.9,55.9,991.2,66.9,20.7
2018-01-25,4.3,2.4,87.47,7.41,55.4,32.7,999.2,55.2,24.5
2018-01-26,2.7,1.2,90.2,0.8,,21.6,1018.7,50.7,31
2018-01-27,7.3,5.3,87.83,16.22,67.5,40.3,1014.6,66.2,17.2
2018-01-28,9,7.4,89.87,7.63,69.8,43.5,1018.1,70.3,17.5
2018-01-29,5.7,3.4,85.65,9.84,72.6,45.2,1020.9,47,29.5
2018-01-30,4.2,2.1,86.68,0.4,53.6,34.5,1019.5,68.5,24.7
2018-01-31,2.6,1,89.25,14.12,76,36.5,995.4,58.9,25.4
2018-02-01,3,-0.6,77.48,5.02,61.6,31,1002.4,25.4,44.2
2018-02-02,2.9,-0.3,79.96,0.4,55.4,20.4,1011.9,30.9,42.1
2018-02-03,2.1,1.3,94.47,4.63,,12.7,1008.5,74.2,16.3
2018-02-04,1.9,0.3,89.57,0.56,,9.5,1029.5,46.6,28.5
2018-02-05,0.2,-2.3,83.86,0.2,,11.8,1029.4,76.3,35.6
2018-02-06,-0.5,-3,83.57,6.76,,20.9,1019.9,60.9,31.9
2018-02-07,-1.9,-4,85.78,10.36,48.2,28.7,1020,40.8,34
2018-02-08,4.9,3.9,93.56,6.32,,26.6,1007.6,72.8,15.3
2018-02-09,2.1,-0.3,84.57,4.93,46.4,23.5,1007.8,42.3,33.2
2018-02-10,4.1,2.6,90.05,8.52,57.6,39.3,999.8,81.9,14.4
2018-02-11,0.9,-1.1,86.35,20.53,53.6,28.6,998.9,48.5,35.1
2018-02-12,1.3,-0.5,87.68,4.18,55.4,32.9,1006.2,66.7,30.5
2018-02-13,1.5,-0.6,86.4,5.84,64.8,36.7,996.8,54.8,28.4
2018-02-14,2,0,86.8,5.97,54.5,41.3,994.4,74.5,24.2
2018-02-15,3.2,-0.2,78.7,3.45,64.8,36.1,1000.4,67.1,27.7
2018-02-16,3.8,1.3,83.73,0.4,55.4,33.6,1016.9,63.7,25.3
2018-02-17,4.2,2.7,89.8,8.58,50,31.1,1017.1,77.6,24.3
2018-02-18,4.5,3.7,94.08,3.06,,18,1018,76.8,13.2
2018-02-19,8.3,7.2,93.24,7.3,,17.6,1016.3,86.4,19.1
2018-02-20,5.6,2.1,78.71,1.43,59.4,22,1024.7,29,30.4
2018-02-21,2.8,-0.1,82.41,0,,7.7,1029.2,54.9,23
2018-02-22,1.4,-1.3,82.91,0.4,46.4,22,1025,51.2,18.4
2018-02-23,1.1,-2.7,76.1,0,50,25.3,1022.3,52.8,17.6
2018-02-24,1.3,-3.7,70.59,0,,17,1024.7,17.2,22.5
2018-02-25,1,-3.4,73.51,0,,17.5,1030.9,2.5,25.5
2018-02-26,-0.3,-5.1,70.46,0,42.5,20.2,1036.1,64.9,42.4
2018-02-27,-1.3,-4.2,80.86,0.8,57.6,27.4,1029.7,57.8,31.2
2018-02-28,-4.6,-6.5,86.18,0,56.6,38.1,1024.8,54.4,18.4
2018-03-01,-3.1,-5.4,84.26,180,61.5,40.1,1013.5,66.5,11.6
2018-03-02,-0.8,-3.6,81.06,0.8,63.8,42.2,1002.9,94.1,17.4
2018-03-03,-0.5,-3.1,82.41,4.4,68.4,31.6,997.9,85.8,15.9
2018-03-04,0.8,-0.5,90.92,0.53,51.8,25,991.2,89.6,6.9
2018-03-05,2.8,1.7,92.39,6.63,48.2,20.4,987.5,87.3,13.9
