datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,5.8,3.4,84.17,7.72,63,36.8,991,54.9,21.6
2018-01-02,5.9,3.6,85.15,11.17,59.4,31.8,993,60.8,15.9
2018-01-03,6.5,4.6,87.8,18.38,65.9,39.8,984.7,58.2,13.2
2018-01-04,5.2,4,92.32,13.8,,13.6,987.6,71.3,15.8
2018-01-05,3.1,1.9,91.61,3.01,,14.1,992.4,65.1,25.6
2018-01-06,1.9,-1.8,76.93,0.82,,22.7,1018.1,31.6,24.6
2018-01-07,-1.7,-4.2,83.03,20.2,,7.5,1031.9,1.2,25
2018-01-08,-0.1,-3.7,77.22,10.2,,19.5,1024.2,11.7,24.7
2018-01-09,2.2,0.3,87.07,0.4,38.9,21.5,1004.6,58,11.8
2018-01-10,3.8,2.7,92.97,2.85,,21.4,1003.9,78.5,7.7
2018-01-11,1.6,0.9,95.06,0.4,,7,1020.7,54.7,8.1
2018-01-12,5,2.3,82.9,0.4,54.5,28,1022.2,55.9,15.4
2018-01-13,5.7,2.7,81.14,3.68,57.6,36.1,1015,73.4,12.9
2018-01-14,6.5,4.6,87.68,6.45,74.2,45.7,1008.8,75.6,10
2018-01-15,6,4.1,87.74,11.48,59.4,37.8,987.7,59.3,17.5
2018-01-16,2.1,0.2,87.92,7.93,85.3,43.7,984,64.4,17.5
2018-01-17,3.1,0.6,83.96,11.66,72.4,42.4,993.9,54.8,15.8
2018-01-18,2.8,1.2,89.52,104.46,40.7,24.2,995.3,60.2,25.3
2018-01-19,3,0.9,86.11,168.22,64.8,37.5,1000.4,57.9,22.9
2018-01-20,1.8,0,88.06,9.2,53.6,28.5,1001.9,43.6,20.1
2018-01-21,2.1,0.5,88.97,8.12,55.4,33.8,1005.2,74.1,16.8
2018-01-22,7,5,87.29,11.07,61.2,34.5,1005.5,74.4,12
2018-01-23,8.7,6.6,86.79,10.41,70.6,40.2,1001.1,63.9,17.6
2018-01-24,7.6,4.3,80.05,9.04,88.9,53.9,989.1,57.2,15.9
2018-01-25,5.3,2.5,82.75,1.73,50,27.6,998.1,50.4,21.8
2018-01-26,2.9,1.1,88.73,0.57,,20.1,1018.1,30.9,18.5
2018-01-27,8.3,6.1,86.25,6.67,68.4,43.1,1013.5,71.5,13.9
