datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.8,0.2,95.81,11.55,,11,989.5,50.2,38.6
2018-01-02,1.3,0.2,92.36,5.56,,18.5,992.4,62.2,37.7
2018-01-03,1.1,0.5,96.27,1,,8.5,983.3,71.4,21.9
2018-01-04,1.3,1,97.37,9.02,,8.3,989.3,82.3,19.3
2018-01-05,1.7,1,95.05,6.98,,17.3,995.2,75.1,26.3
2018-01-06,0.9,-1.9,81.77,1.08,,18.8,1021.4,83.7,26.5
2018-01-07,-3.1,-5.8,81.97,0,,11.7,1032,11.6,41.1
2018-01-08,-0.2,-5.2,69.11,0,,17.2,1025.1,4.3,42.1
2018-01-09,3.4,0.7,82.23,1.2,,21.5,1005.7,33.5,30.8
2018-01-10,2.7,1.1,89.05,1.6,,13,1004.5,75.8,35.3
2018-01-11,-0.5,-1.1,96.03,0.48,,6.3,1021.7,46.3,23.9
2018-01-12,3.1,0,80.42,0.4,47.7,21.1,1021.7,24.2,43.6
2018-01-13,4.3,0.6,76.65,0.4,,20.4,1014.9,76.6,27.5
2018-01-14,5.4,2.1,79.83,3.66,,32,1003.5,77.8,36.1
2018-01-15,3,1.4,89.53,12.01,,20.5,983.4,66,26.9
2018-01-16,-0.8,-1.9,92.3,1.19,,18.8,978.7,59.4,18.5
2018-01-17,0,-1.6,88.89,204.28,,19.5,989.3,51.2,27.8
2018-01-18,-1.1,-2.2,92.13,115.36,,12.6,993.5,48.9,31.2
2018-01-19,-0.7,-2.2,89.88,160,,13.5,996.8,42.5,35.9
2018-01-20,-3.8,-5,91.54,140,,8.7,1002,32.4,38.8
2018-01-21,-2.4,-4.4,86.81,130.4,,23.5,1004.2,71.6,35.1
2018-01-22,4.5,2.1,84.44,6.01,,21.9,1000.7,74.3,23
2018-01-23,5.8,3.8,86.92,23.46,,23.4,996.6,67.2,32.6
2018-01-24,4.2,2.1,85.96,37.05,,44.3,983,63.7,25.3
2018-01-25,2.2,1.1,92.15,11.91,,12.4,997.7,67.5,29.7
2018-01-26,2.4,0.9,90.19,0.73,,17.7,1017.4,64.4,34.9
2018-01-27,5.9,2.6,79.31,7.23,,34.4,1006.7,69.6,24.4
2018-01-28,6.2,4,85.7,6.97,,29.4,1011.8,68.3,22.9
2018-01-29,3.4,0.9,83.64,21.87,57.6,19.9,1016.9,46.5,36.2
2018-01-30,4.2,2,85.58,17.85,72.4,29.5,1011.9,69.9,24.9
2018-01-31,1.6,-0.2,88.37,13.85,59.4,24.2,990.2,51.1,25.8
2018-02-01,2.9,0.5,84.28,15.26,68.4,24.8,1002.1,61.5,22.4
2018-02-02,2.5,0.6,87.17,6.3,,15.6,1011.9,74.9,30.8
2018-02-03,1.8,1.2,95.52,7.57,,10.6,1008.7,79.6,19.6
2018-02-04,2,0.7,91.6,4.18,,10.7,1029.9,65.6,37
2018-02-05,1.8,-1.3,79.97,0,,19.4,1026,56.3,44.6
2018-02-06,0,-2.1,86.2,2.33,,15.2,1019.5,45.6,33.3
2018-02-07,-0.9,-3,85.7,16.79,48.2,27.5,1016.2,60.6,32.1
2018-02-08,3.3,1.7,89.26,4.54,,16.9,1003.6,76,23.7
2018-02-09,1,-2.1,79.98,4.16,,16.9,1005.6,36.5,43.1
2018-02-10,2.9,0.2,82.92,3.32,59.4,28.6,995.7,71.6,28.5
2018-02-11,-0.6,-2.9,84.68,1.09,57.6,17.9,997.1,42.1,35.2
2018-02-12,0.3,-2.2,83.68,8.16,,27.3,1001.3,47.1,34.8
2018-02-13,1.1,-1.2,84.81,6.3,53.6,28.8,993.3,60.3,33.9
2018-02-14,2.2,-1.1,79.29,7.89,72.4,33.6,988.6,71.9,33.2
2018-02-15,2,0,86.66,24.72,72.4,30.9,993.1,63.2,21.3
2018-02-16,2.8,0,82.35,17.49,,19.4,1011.8,44.4,37.7
2018-02-17,3.1,0.8,84.57,16.09,,19.8,1013.7,56,42
2018-02-18,3,1.3,88.74,0.6,,12.5,1016.3,68.2,36.3
2018-02-19,5.7,5.2,96.11,6.52,,13,1015.4,88.6,19.3
2018-02-20,3.7,1.8,87.83,6.41,,16.6,1025.2,42.6,19.7
2018-02-21,0.1,-1.9,87.47,0.2,,10,1029.4,11.6,15.1
2018-02-22,1.9,-1.5,78.81,0.2,46.4,19.6,1022.7,61.2,24.9
2018-02-23,1.8,-3,70.97,0,48.2,18.6,1020.3,32.6,22.5
2018-02-24,1.4,-4.8,64.48,0,46.4,17.4,1024.5,4.9,32.4
2018-02-25,0.8,-4.3,69.56,0,,14.7,1031.1,0.9,32
2018-02-26,0,-4.7,71.84,0,,14.3,1037.8,51.2,44.4
2018-02-27,-1.4,-4.8,78.54,2.05,50,19.6,1034.3,62.8,35.6
2018-02-28,-5.1,-7.7,81.58,0,53.9,20.6,1032,55.1,24.3
