datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,2.1,1.3,94.62,8.2,46.4,29.7,989.2,10,19.2
2018-01-02,3.3,2.1,92.11,10.6,61.2,49.7,989.6,22.3,16.1
2018-01-03,3.7,2.9,94.2,7.02,13,17.8,981.8,39,13.4
2018-01-04,2.9,1.9,93.43,1,5.4,27.4,987.5,51.9,19
2018-01-05,2.9,0.9,86.76,1,48.2,39.9,994.8,51,20.6
2018-01-06,1.3,-2.8,74.17,0.2,,43.9,1021.8,51.6,16.3
2018-01-07,0.4,-2.8,79.15,0,42.5,38.7,1029.5,33.4,20.4
2018-01-08,2.3,-5.6,56.55,0,50,41.4,1020.4,26.7,21.3
2018-01-09,4.7,0.8,76.24,0,56.4,45,1000.5,36.1,18.7
2018-01-10,3.4,2.3,92.5,5.6,50,38.6,1002.8,28.5,18.5
2018-01-11,1.9,0.5,90.65,0.2,,25.9,1019.8,23.9,20.5
2018-01-12,4.7,1.5,79.75,0,99.1,62,1016.3,48,20.5
2018-01-13,5.2,3.2,86.57,4.4,81.7,55.1,1009.8,62.6,14.6
2018-01-14,5.8,5.1,94.22,11.99,103.7,65.7,998.4,57.5,11.4
2018-01-15,3,0.9,85.74,10.67,61.2,45.5,982.2,42.5,14.7
2018-01-16,0.3,-1.9,85.26,2,76.1,51.3,977.1,41.7,13.8
2018-01-17,1.9,-0.6,83.35,1.82,77.8,62.6,989.1,38.1,14.6
2018-01-18,1.7,-0.4,86.02,0.82,57.6,29.7,992.7,39.6,17.8
2018-01-19,0.7,-1,87.9,11.45,50,37.9,995.6,38.3,17.1
2018-01-20,-0.2,-1.2,93.34,4.45,,16.1,1001.3,24.1,21.1
2018-01-21,2.1,0.7,90.34,3.82,74.2,56.2,1000,52,16.7
2018-01-22,5.7,4.3,90.78,4.8,58.6,56.9,999.4,54.2,10.6
2018-01-23,6.1,5.2,93.26,24.95,74.2,57,993.5,45.1,10.1
2018-01-24,4.4,3.4,92.75,10.07,106.2,97,980.3,47.3,11.8
2018-01-25,2.3,1.7,95.72,3.29,46.4,27.7,996.6,33.9,19.2
2018-01-26,2.2,1.6,95.91,0.4,55.4,44.8,1015.7,33.9,17.7
2018-01-27,6,4.1,87.65,6.15,94.8,73.8,1005,51.6,10.4
2018-01-28,5.6,4.8,94.29,5.71,70.6,55.7,1011.7,56.5,9.9
2018-01-29,3.7,1.4,84.85,7.49,55.4,43.3,1017.6,32.2,15.3
2018-01-30,5.3,4.1,91.31,19.36,74.2,69.9,1009.5,54.6,9.6
2018-01-31,2.6,0.2,84.64,12.7,66.8,57.6,990.7,37.8,14.5
2018-02-01,3.4,0.9,83.76,0.93,74.6,69.8,1006.7,39.9,11.6
2018-02-02,3.1,1.7,91.03,1.31,46.4,46.4,1012,49.2,13.3
2018-02-03,3.6,1.8,87.59,5.64,,34.9,1009.2,27.1,15.2
2018-02-04,2.5,1.4,92.78,0.2,,22.6,1029.6,11.8,14.8
2018-02-05,2.9,1.6,91.26,2.39,68.4,55.5,1023.4,51.1,17.4
2018-02-06,0.1,-2.4,83.6,3.38,50,38.9,1020.5,23.4,21.1
2018-02-07,1.6,0.2,90.65,2.13,68.4,62.9,1013.9,46.3,15.7
2018-02-08,3.1,1.9,91.96,9.22,59.4,39.1,1001.8,47.9,13.9
2018-02-09,1.1,-0.8,87.21,4.09,50,39.4,1004.6,34.1,17.8
2018-02-10,3.1,1,86.31,9.37,83.5,64.6,993.3,43.2,13
2018-02-11,0.1,-2.1,85.21,3.8,57.1,42.5,997.5,37.6,17.4
2018-02-12,1.1,-0.6,87.96,2.46,74.2,61,998.2,42.3,16.6
2018-02-13,1,-1.3,85.32,7.48,68.4,53.9,991.3,32.1,20.9
2018-02-14,3,0.6,84.47,5.15,81.7,76.6,981.9,36.7,14.1
2018-02-15,3.1,0.8,84.45,16.97,77.8,59,989.4,39.7,10.8
2018-02-16,3,1.3,88.79,9.89,76,36.2,1008.7,38.1,15.2
2018-02-17,3.2,1.4,87.86,3.22,53.6,29.9,1012,35.8,18.3
2018-02-18,3.8,3,94.54,2.6,,28,1013.8,52,17.4
2018-02-19,6.9,6.7,97.83,5.91,0,25,1014.4,57.3,6.2
