datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.5,2.7,88.06,5.59,53.6,30,991.5,69,28.5
2018-01-02,4.2,2.8,90.64,9.19,74.7,38,995.4,77.6,17.5
2018-01-03,5.3,3.7,89.43,25.37,77.8,44.3,984.8,73.6,21.2
2018-01-04,4.5,3.8,95.05,14.55,37.1,22.7,987.8,81.1,17.1
2018-01-05,1.8,1.1,95.76,4.87,,22.1,992.6,67.7,23.7
2018-01-06,2,-0.5,83.87,2.88,53.6,27.7,1016.7,43.9,28.5
2018-01-07,-1.1,-3,87.39,0.4,,8.6,1032.4,12.4,33.7
2018-01-08,-0.7,-3.2,83.35,0.2,,18.1,1026,18.4,31.3
2018-01-09,1.9,0.5,90.24,0.4,50,17.2,1006.5,78.2,11.1
2018-01-10,3.7,2.9,94.76,1.93,,11.3,1004.4,92.4,6.9
2018-01-11,3.2,2.4,94.91,0.2,,8.5,1020.5,91.5,12.8
2018-01-12,4.7,2.4,85.59,0.2,37.1,18.4,1024.3,82.1,16.5
2018-01-13,4.4,1.6,82.17,2,53.6,20.8,1017.4,83.1,13.1
2018-01-14,3.8,1.9,87.85,1.67,73.5,43.8,1012.2,88.3,8.2
2018-01-15,5.2,3.8,90.65,21.97,64.2,34.6,988.6,76.7,25.9
2018-01-16,1,-0.4,90.15,6.32,64.8,27.8,985.3,64.3,23
2018-01-17,1.3,0,90.58,24.54,57.6,28.5,994.6,61.4,20
2018-01-18,1.2,0.3,93.61,25.03,37.1,16,995.4,75.4,30.1
2018-01-19,1.5,-0.1,89.02,10.52,57.6,27.7,1001.4,68.5,30.1
2018-01-20,0.1,-1,92.08,1.46,,19.2,1002.4,47.3,23.1
2018-01-21,-0.8,-1.4,95.39,4.55,,18.5,1007.2,83.2,20.6
2018-01-22,4.7,3.5,91.99,8.74,46.4,20.7,1006.8,86.6,14.6
2018-01-23,7.4,5.9,90.48,15.2,66.1,35.1,1003.9,80,19.7
2018-01-24,7,4.1,82.41,16.72,90.2,52.8,992.1,72.6,19.6
2018-01-25,4.4,2.5,87.36,5.73,55.4,33.8,999.5,63.7,22.8
2018-01-26,2.7,1.1,89.44,0.46,,16.2,1018.7,65.3,33.8
2018-01-27,7.2,5.2,87.23,15.59,69.2,41.8,1015.1,76.1,17.4
2018-01-28,9.1,7.3,88.54,7.61,71.5,44,1018.5,77,19.1
2018-01-29,5.7,3.4,85.31,10.81,70.8,45.8,1020.9,52.2,30.1
2018-01-30,4,2,87.35,0.73,53.6,32.7,1020.1,77.7,23
2018-01-31,2.6,0.9,88.71,13.67,63,36.6,995.7,70.3,23.9
2018-02-01,2.7,-0.8,77.69,1.94,63,30.2,1001.8,29,46.1
2018-02-02,2.6,-0.7,79.29,0.4,55.4,23.1,1011.7,42.5,42.4
2018-02-03,1.6,0.9,95.15,9.03,,12.5,1008.4,82.3,15
2018-02-04,1.6,0.1,90.22,0.45,,10.8,1029.5,54.2,29.2
2018-02-05,-0.3,-2.6,85.05,0.2,,8.4,1029.7,81.3,32.1
2018-02-06,-0.5,-2.9,83.91,5.82,,21.7,1019.8,65.3,31
2018-02-07,-2.2,-4.4,85.4,16.01,48.2,23,1020.3,41.6,32.6
2018-02-08,4.6,3.8,94.61,6.88,,22.4,1008.1,79.4,13.1
2018-02-09,2.1,-0.4,84.53,8.51,46.4,23.2,1007.7,44.2,33
2018-02-10,4,2.4,89.54,7.12,57.6,32.9,1000.2,78.5,16.4
2018-02-11,1.1,-1.2,85.14,17.41,53.6,28.5,998.5,48.9,36.1
2018-02-12,1.2,-0.7,87.65,3.15,48.2,28,1006.7,61.5,30.5
2018-02-13,1.1,-0.8,87.3,7.26,48.2,29.7,997.5,49.8,28.8
2018-02-14,1.6,-0.4,86.45,10.48,55.4,33.9,995.5,72.5,27.7
2018-02-15,3.3,-0.1,79.06,4.38,61.2,33.9,1000.8,61.4,27.4
2018-02-16,3.7,1.1,83.23,0,56.3,29.3,1017.5,67.3,26
2018-02-17,4.2,2.5,88.93,6.33,50,25.4,1017.5,80.7,24.1
2018-02-18,4.4,3.5,93.74,3.18,,13.3,1018.4,80.6,11.9
2018-02-19,8.2,7.1,92.65,6.38,,18,1016.2,85.8,17.4
2018-02-20,5.7,2,77.77,1.07,59.4,26.5,1024.4,33.3,31.8
2018-02-21,2.4,-0.4,82.82,0.2,,9.3,1029.4,40.4,21
2018-02-22,0.9,-1.7,83.29,0.6,,17.1,1025.5,40.1,16.9
