datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.8,0.2,95.88,8.64,,10.8,989.3,47.8,39.4
2018-01-02,1.2,0,92.22,4.58,,17,992.3,59.4,39
2018-01-03,1,0.4,96.25,1,,8.9,983.2,70.1,22.2
2018-01-04,1.3,1,97.93,9.01,,8.9,989.3,82.3,15.9
2018-01-05,1.8,1.1,95.52,6.44,,18.3,995.2,74.7,25.5
2018-01-06,1,-1.7,82.33,1.17,,19.9,1021.3,84,24.3
2018-01-07,-3,-5.7,81.73,0,,11.9,1031.8,11.4,40.3
2018-01-08,-0.1,-5.1,69.28,0,,17.4,1025,3.9,41.9
2018-01-09,3.4,0.6,82.37,1.2,,22.1,1005.7,29.6,29.8
2018-01-10,2.9,1.2,88.58,1.6,,13.1,1004.4,79.5,34.7
2018-01-11,-0.5,-1,96.45,0.48,,6.7,1021.6,49,20.1
2018-01-12,3,-0.1,80.66,0.4,48,21.6,1021.7,15.7,42.8
2018-01-13,4.4,0.5,75.89,0.4,,19.7,1014.9,74.5,27.6
2018-01-14,5.5,2.1,78.83,2.58,,33.1,1003.4,77.1,37.6
2018-01-15,3,1.5,90.13,11.66,,19.6,983.2,65.1,27.9
2018-01-16,-0.9,-1.8,93.36,1.17,,17,978.5,59.8,19.6
2018-01-17,0,-1.6,88.93,198.97,,20.8,989,48.6,28.8
2018-01-18,-1.1,-2.3,91.34,141.17,,12.6,993.2,45.4,33.8
2018-01-19,-0.7,-2.3,89,160,,14.3,996.6,45.2,38.4
2018-01-20,-3.5,-4.8,90.97,140,,10.2,1001.8,27.1,41.6
2018-01-21,-2.6,-4.6,86.58,130.4,,23.6,1004.2,69.6,36.5
2018-01-22,4.4,2.1,84.76,3.84,,20.8,1000.5,74,23.9
2018-01-23,5.8,3.8,86.72,23.81,,22.2,996.4,65.2,36
2018-01-24,4.2,2.1,86.33,27.9,,42.2,982.8,62.5,27.1
2018-01-25,2.3,1.1,91.49,10.28,,13.1,997.6,65.2,31.4
2018-01-26,2.6,1,89.92,0.69,,17.1,1017.3,67.1,34
2018-01-27,6,2.5,78.69,6.29,,34.5,1006.4,67.6,26.4
2018-01-28,6.3,3.9,85,5.88,,28.4,1011.5,65.8,24.5
2018-01-29,3.5,0.9,83.33,20.32,57.6,19.6,1016.6,43.6,37.1
2018-01-30,4.2,2,85.58,18.61,72.4,29.4,1011.6,66.7,26.4
2018-01-31,1.5,-0.1,88.99,12.22,59.4,23.2,989.9,48.2,27.5
2018-02-01,3,0.6,84.09,13.07,68.4,23.2,1001.7,61.5,21.4
2018-02-02,2.5,0.6,87.59,6.11,,15.1,1011.7,73.5,29.3
2018-02-03,1.7,1.1,95.97,8.02,,10.7,1008.6,79.8,18
2018-02-04,2,1,92.85,4.17,,9.4,1029.8,70.4,35.4
2018-02-05,1.9,-1.3,79.72,0,,18.9,1025.9,52.7,44.9
2018-02-06,0.1,-2.1,85.65,2.31,,13.9,1019.3,43.6,34.6
2018-02-07,-0.7,-3,84.54,11.92,48.2,26.6,1015.9,59.2,34
2018-02-08,3.4,1.7,88.81,4.36,,16.6,1003.5,75.2,25.3
2018-02-09,1.1,-2.2,79.21,3.91,,16.8,1005.4,34.3,44.8
2018-02-10,3,0.2,82.05,2.45,59.4,29.2,995.5,70.9,30.5
2018-02-11,-0.5,-2.9,83.61,0.92,57.6,18.1,996.8,41.2,36.1
2018-02-12,0.3,-2.3,82.53,9.42,,26,1001.2,44.3,36.8
2018-02-13,1.3,-1.2,83.76,4.71,53.6,28.1,993.1,59.3,36.4
2018-02-14,2.3,-1.2,78.32,7.64,72.4,31.9,988.6,71.9,35.8
2018-02-15,2,0,86.68,22.94,72.4,29.4,992.9,61.4,23.1
2018-02-16,2.9,0,81.92,17.46,,20.6,1011.6,40.3,39.9
2018-02-17,3.3,0.7,83.64,16.06,,19.3,1013.5,54.6,44.1
2018-02-18,3,1.2,88.41,0.6,,12.3,1016.2,67.4,36.4
2018-02-19,5.8,5.3,96.05,6.44,,12.6,1015.2,88.8,18.6
2018-02-20,3.8,1.9,87.78,6.69,,17.5,1025,39.9,19.4
2018-02-21,0.2,-1.8,87.44,0.2,,10,1029.4,11.3,15.1
2018-02-22,1.8,-1.6,78.74,0.2,46.4,20.9,1022.6,56.2,23.9
2018-02-23,1.8,-3.1,70.67,0,48.2,18.6,1020.3,30.1,22.1
2018-02-24,1.5,-4.8,64.01,0,46.4,17.4,1024.4,4.8,32.3
2018-02-25,0.8,-4.2,70.07,0,,14.8,1031,1.1,30.8
2018-02-26,0.1,-4.6,71.86,0,,14.1,1037.7,50.9,43.8
2018-02-27,-1.3,-4.6,79.17,2.21,50,19.3,1034.3,64.5,34.3
2018-02-28,-5,-7.5,82.55,0,55.6,20.7,1032.1,56.1,22
2018-03-01,-4,-7,79.64,10.6,57.6,25.6,1022.7,58.7,21
2018-03-02,-1.3,-4.1,81.45,18.59,48.2,21.5,1010.9,85.5,19.6
2018-03-03,-0.1,-2.9,81.43,18.59,,19.8,1002.8,85.4,22.3
2018-03-04,0.1,-1.9,86.54,20.81,,16.3,995.9,87.6,13.9
2018-03-05,1.9,0.5,90.5,5.77,53.6,19.9,991.1,85.5,26.8
2018-03-06,1.3,0.4,93.75,8.68,55.4,23.3,990.6,90.4,10.8
2018-03-07,2.2,0.5,88.89,9.36,,10.9,988.2,71.1,31
2018-03-08,2.3,-0.9,79.59,0.9,,15.2,989.6,54,41
2018-03-09,1.9,-1.1,81.51,1.22,,13.5,996.3,35.5,38.3
2018-03-10,0.6,-0.7,91.03,2.87,,22.3,996.1,70.5,26.4
2018-03-11,3.6,2.6,93.39,2.58,,10.3,993.1,92.2,31.9
2018-03-12,3.2,2,92.38,0.4,,6.9,995.8,94.1,29
2018-03-13,3.6,1.5,86.95,0.89,,12.9,1004.1,80,29
2018-03-14,5.6,1.1,73.06,0.2,55.4,27.3,998.7,82.8,37.9
