datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,5.7,3.9,87.87,11.35,65.4,36,991,45.9,18.7
2018-01-02,6.1,4.2,87.86,10.14,87.1,34.2,992,60.8,13.8
2018-01-03,7.1,5.3,88.49,28.87,67.4,40.9,984.7,50.5,13.2
2018-01-04,5.2,4.3,94.36,19.37,57.6,22.8,987.4,53.7,14.3
2018-01-05,3.9,2.7,91.88,11.03,51.8,23.5,991.9,59.6,25.8
2018-01-06,2.5,-1.6,74.76,0.2,53.6,21.4,1018.9,25.5,28.2
2018-01-07,0.1,-2.7,82,20.2,,20.3,1031.6,22,25.4
2018-01-08,2,-2.4,73.01,10.2,74.5,42.7,1022.8,14.1,25.5
2018-01-09,3.9,2.3,89.05,0.6,76.5,41.9,1002.7,93.6,10.1
2018-01-10,3.8,3.1,95.5,2.41,66.6,27.5,1003.6,61.5,12.1
2018-01-11,2.6,2.2,97.22,0.4,,26,1020.5,63.9,10.7
2018-01-12,6,3.8,86.22,0,74.7,42.7,1020.3,85.5,15.6
2018-01-13,6.4,4.8,89.85,7.5,64.6,41,1013,94.6,9.1
2018-01-14,6.9,5.6,91.86,8.47,72.1,48,1006.8,79,13.6
2018-01-15,5.7,4.2,90.69,12.81,71.9,41.2,987.5,62.4,16.2
2018-01-16,2.3,0.4,87.01,12.52,78.3,48.1,983.6,58.9,15.1
2018-01-17,3.8,1.1,83.09,10.75,77,52.2,993.7,59.3,15.5
2018-01-18,2.8,1.5,91.05,18.71,59.4,29.9,995.5,62.2,22.8
2018-01-19,3.1,1.2,87.56,13.91,64.8,38.2,1000,57.3,21
2018-01-20,2.1,0.4,88.61,7.87,53.6,30,1002,52.8,22.9
2018-01-21,3.6,2.6,93.24,13.52,69.3,38.5,1004,83.5,14.7
2018-01-22,7.2,5.4,88.29,6.63,60.1,32.2,1005.1,79.4,11.8
2018-01-23,8.6,7,89.41,10.88,64.1,34.3,999.6,62.6,17
2018-01-24,7.2,4.4,82.54,7.58,83.1,53.8,987.7,54.7,16.5
2018-01-25,5,3,86.89,1.24,59.4,31.6,997.3,64.4,23.2
2018-01-26,3.7,2.5,92.04,0.78,70.6,27.5,1017.8,36.2,22.3
2018-01-27,8.4,6.5,87.95,7.05,76.8,44.6,1012.9,81.6,12.3
2018-01-28,9.7,8.7,93.25,11.37,66.7,43.1,1016.9,62.9,9.3
2018-01-29,6.5,4,84.29,8.04,69,39.7,1021.2,38.9,17
2018-01-30,5.9,3.8,86.75,0.6,62.6,40.4,1017.3,68.6,20
2018-01-31,4.1,2,86.6,13.59,77.1,42.2,994.9,42.9,17
2018-02-01,5,1.9,80.09,3.37,74.6,45.4,1005.7,42.6,19.3
2018-02-02,5.2,2.5,82.58,0.4,64.9,36.2,1012.7,43.1,19.2
2018-02-03,4.9,3.1,88.11,4.87,59.4,27.3,1009,40.9,17.7
2018-02-04,3.7,1.7,87.42,0.2,,15.9,1029.4,18.3,19.7
2018-02-05,2.6,0.3,85.53,0.2,50,21.6,1027.7,45.3,24.6
2018-02-06,2.1,-0.7,82.46,5.64,61.2,30.5,1020.9,32.9,22.3
2018-02-07,1.5,0,89.78,2.01,64.8,30.8,1018.6,53.1,22.2
2018-02-08,6.1,4.7,90.71,1.41,58.6,30.4,1006,76.3,13.5
2018-02-09,3.1,0.6,83.41,8.65,61.2,32.7,1008,45.6,21
2018-02-10,5.3,3.8,90.21,10.51,65.3,41.8,997.8,80.1,12.8
2018-02-11,2,0,86.63,9.32,63.3,34.6,1000.2,50,21.3
2018-02-12,3.1,0.8,85.33,14.48,64,43.4,1003.6,58.3,22.4
2018-02-13,3.7,0.7,80.94,10.07,67.4,44,994.9,52.1,22.8
2018-02-14,5.1,2.6,84.25,8.29,79.3,57.2,989.5,65.1,19.8
2018-02-15,3.8,1,82.01,3.94,71.7,47.3,998,54.8,19.4
