datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,1.6,0.1,90.32,5,,18.9,988.6,29.9,27.6
2018-01-02,1.8,0.2,89.57,1.21,,25.7,993.2,39.8,21.7
2018-01-03,1.4,0.2,91.48,3.47,,18.6,982.6,40,15.9
2018-01-04,1.6,0.9,94.83,2.52,55.4,9.7,989,82.4,11.8
2018-01-05,2,1.1,93.94,8.45,,17.3,994.5,70.7,14.5
2018-01-06,2.2,-1.5,76.43,1.68,,22.5,1019.9,77.8,16.1
2018-01-07,-2.3,-5.4,79.91,0,,14.6,1031.8,4.5,23.1
2018-01-08,1,-2.7,76.47,0,,28,1026.6,28.7,20.4
2018-01-09,4.9,3,87.61,0.2,46.4,26.5,1007.7,89.8,11.1
2018-01-10,4.4,3.4,93.14,1.44,,21.5,1004.4,91.1,11.5
2018-01-11,3.3,2.2,92.79,1.05,,17.4,1020.8,66.3,20.3
2018-01-12,4.2,2.6,89.64,0.4,40.7,27.6,1023.7,74.3,17.4
2018-01-13,5.6,2.4,79.94,0.69,46.4,28.9,1017,86.1,13.1
2018-01-14,5.5,2.8,82.63,0.6,59.4,43.1,1006.4,87,13.8
2018-01-15,4.2,1.7,83.97,1.91,,35.6,983.4,38.5,24.3
2018-01-16,0.5,-3,77.31,0.8,51.8,25.1,978.4,14.8,25.8
2018-01-17,1.1,-2.5,76.94,10.29,59.4,30.4,988.3,21,24.6
2018-01-18,0.3,-2.8,80.1,10,,21.1,992.6,19.4,24.7
2018-01-19,-0.1,-3.3,78.74,0,,17.3,996.5,18.6,28.1
2018-01-20,-1.2,-3.8,83.01,10,,19,1000.7,11,26.3
2018-01-21,-0.5,-2.5,86.62,0.66,61.2,35.1,1005.2,43.2,23.5
2018-01-22,4.8,1.9,81.28,1.37,46.4,23.4,1000.8,44,19.9
2018-01-23,7.1,4.1,81.63,1.28,68.4,30.8,997.4,44.3,22.8
2018-01-24,5.9,2.4,78.55,3.41,85.3,56.2,983.5,37.8,19.9
2018-01-25,3.4,0.9,84.17,0.2,,20.5,997.7,35.5,20
2018-01-26,3.7,1.6,86.14,0.4,,18.3,1017.3,55.9,22.4
2018-01-27,6.7,2.9,77.31,1.95,79.6,37.2,1007.2,56.1,18.7
2018-01-28,7.3,3.5,77.31,0.94,77.8,37.9,1011.2,56.6,18.7
2018-01-29,4.8,1.1,77.12,8.98,57.6,30.6,1015.6,31.3,24.4
2018-01-30,4.8,1.2,77.71,0,68.4,40.9,1012.4,27.7,25.7
2018-01-31,3.3,-0.7,74.97,2.47,57.6,31.3,988.9,22.8,23.7
2018-02-01,4.1,1.3,82.3,7.55,66.2,46.4,998.2,67.3,15.3
2018-02-02,3.4,1.4,86.6,5.9,48.2,31.9,1010.4,55.7,18.6
2018-02-03,1.2,0.2,93.22,5.56,,11.6,1008.4,64.1,17.2
2018-02-04,2.4,1.2,92.42,1,,11.7,1029.6,66.4,22.2
2018-02-05,1.7,-1,82.68,1.08,,21.3,1027,62.5,22
2018-02-06,1.2,-1.4,82.91,0.75,,25.7,1017.9,47.2,21.3
2018-02-07,0.7,-3.3,75.21,0,55.4,30,1015.9,23.3,25.1
2018-02-08,4.5,1.6,81.99,0.2,,19.9,1004,32.5,20.5
2018-02-09,1.9,-2.5,73.58,0,,23.4,1005,18.1,24.8
2018-02-10,3.7,0.5,80.02,2,53.6,33.7,996.7,61.6,19.4
2018-02-11,1.4,-2.5,76.02,1.6,51.1,31.8,995.2,25.9,22.8
2018-02-12,1.2,-3.2,72.66,1.32,50,23.6,1001.6,12.3,25.6
2018-02-13,1.6,-0.8,84.29,9.96,53.6,32.6,994.3,51.1,18.8
2018-02-14,2.3,-0.6,81.67,3.83,72.4,48.1,991.4,50.2,18.1
2018-02-15,3.7,-0.2,75.9,0.87,71.1,31.3,993.7,24.7,21.6
2018-02-16,3.9,-0.2,74.94,0,46.4,28.6,1012.6,31,22.4
2018-02-17,4.2,0.9,79.76,0.2,35.3,23.4,1014.1,41,24.1
2018-02-18,3.1,0.9,85.5,0.2,,14.6,1016.8,36.1,20.5
2018-02-19,5.5,5.3,98.39,5.32,,11.8,1015.1,82.7,6.6
2018-02-20,5.2,2.9,85.43,5.02,38.9,27.5,1023.8,42.7,14.1
2018-02-21,1.9,-0.5,85.31,0.2,,12.8,1029.2,9.4,13.4
2018-02-22,2.6,-0.2,82.42,0.2,46.4,26.6,1023.9,44.2,15.4
2018-02-23,2.5,-1.6,74.97,0,55.4,28.4,1021.8,31.8,13.3
2018-02-24,3.8,-1.3,69.82,0,46.4,33.5,1026,76.9,15.4
2018-02-25,2.9,-1.5,72.75,0,,24.5,1032.3,70.9,17
2018-02-26,1.5,-2.9,73.06,0.93,,18.8,1038,66.3,22.2
2018-02-27,0.1,-3.3,78.49,1.91,66.6,25.6,1033.2,68.7,17.1
2018-02-28,-3.5,-7.2,75.72,0,56.3,32.5,1031.1,70.7,13.5
2018-03-01,-2.2,-5.8,76.59,20.37,66.6,36.3,1022,70.2,12.2
2018-03-02,0,-3.3,78.71,30,48.2,31.6,1010.7,88.7,11.9
2018-03-03,0.7,-2,82.4,54.37,,24.7,1002.8,91.1,11.9
2018-03-04,1,-0.8,87.73,91.19,,21.6,996,95.3,7.4
2018-03-05,2.4,1.6,94.33,25.54,55.4,24.3,991.5,96.4,5.1
2018-03-06,2.8,2,94.7,23.42,55.4,28.3,990,92.6,5.8
2018-03-07,3.7,2.1,89.94,21.34,,16.3,988.7,70.6,13.2
2018-03-08,3.2,0.2,81.18,0,,18,990.4,31.3,20.1
2018-03-09,2.9,-0.9,76.58,0.8,29.5,24.2,996.5,21.6,23.2
2018-03-10,1.5,0.6,94.02,7.13,,25,996.6,69.5,11.9
2018-03-11,4.4,3.3,92.97,5.28,,15.5,992.8,84.8,16.1
2018-03-12,4.1,3,92.15,0.4,,10.9,995.4,94.6,17
2018-03-13,4.2,1.9,85.63,0.97,,14.5,1004.4,75.1,17.1
2018-03-14,5.2,2.7,84.34,0.4,60.1,35.9,1001,71,15.5
2018-03-15,4.5,2,84.13,0.6,79.9,45.5,997,95.4,8.8
2018-03-16,2.5,0.9,88.66,13.75,59.4,39.1,1008.8,94.6,8.9
2018-03-17,0.6,-5.1,65.74,0.75,55.3,35.3,1023.6,81.2,15.6
2018-03-18,0.9,-4.2,69.29,11.6,51.8,31.3,1026.3,80.4,15.5
2018-03-19,1.1,-2.7,76.61,0,,23.3,1027.7,44.3,22.3
2018-03-20,3.6,-2.6,65.25,0,,22.7,1030.4,30.4,23.7
2018-03-21,5.6,1.8,76.23,0.82,59.4,31.4,1020.8,49.1,25
2018-03-22,8,3.7,74.96,0,51.8,30.3,1008.6,50.7,23.2
2018-03-23,5.8,3.3,83.98,9.82,63,40.2,988.7,68.3,19.8
2018-03-24,5.1,-0.3,69.51,0,50,21.1,1000.4,20.6,25
2018-03-25,5.1,0.5,73.29,0.29,48.2,24.1,1008.2,33.7,26.5
2018-03-26,4.6,-0.1,72.55,0.4,,17.2,1013.4,26.3,25
2018-03-27,4.7,3.4,91.56,8.13,,26.9,1001.5,81.8,13
2018-03-28,4.6,1.9,82.81,3.09,,16.6,999,64.9,20.6
2018-03-29,1.9,0.4,89.86,1.62,,22.4,1002.3,55,20.1
2018-03-30,2.9,1.7,92.2,10.17,53.6,28.4,1004.7,88.5,11.4
2018-03-31,2.6,-0.2,82.3,5.76,,22,1009.5,83.1,15.6
2018-04-01,2.3,-2.6,71.84,0.4,,14.5,1013.8,32.7,25
2018-04-02,2.1,-0.4,83.39,3.24,48.2,25.6,1005.5,78.2,20.7
2018-04-03,2.6,1.4,91.79,10.68,,21.9,992.5,89.6,11.9
2018-04-04,2.4,0.6,88.39,11.49,40.7,21.7,997,74.8,16.2
2018-04-05,3.8,-1.8,67.78,0.4,,23.1,1009.5,33.8,26
2018-04-06,5,2.5,83.92,0,48.2,30.7,1008.7,72.3,17.7
