datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,1.4,0.1,91.29,4.93,,18.4,988.6,33.9,31.1
2018-01-02,1.6,0.1,90.19,1.17,,24.5,993.2,43.6,24.5
2018-01-03,1.3,0.2,92.35,3.7,,16.4,982.6,45.2,17.8
2018-01-04,1.5,0.9,95.79,2.23,,9.2,989.1,82.1,12.3
2018-01-05,1.9,1.1,94.53,8.13,,16.9,994.6,72.6,15.1
2018-01-06,2.2,-1.5,76.99,1.72,,22.6,1020,79.9,17.4
2018-01-07,-2.4,-5.4,80.33,0,,13.8,1031.8,5.6,25.9
2018-01-08,0.7,-2.9,76.93,0,,27,1026.5,27.9,22.9
2018-01-09,4.8,2.9,87.65,0.2,46.4,26.3,1007.7,88.6,11.6
2018-01-10,4.3,3.2,93.18,1.44,,21,1004.4,91.1,12.4
2018-01-11,3.1,2.2,93.51,1.07,,15.6,1020.8,65.9,22.6
2018-01-12,4,2.3,88.77,0.4,40.7,25.7,1023.7,70.7,19.6
2018-01-13,5.5,2.3,79.6,0.67,46.4,27.2,1016.9,83.9,13.9
2018-01-14,5.6,2.7,81.89,0.6,59.4,38.5,1006.4,84.7,15.3
2018-01-15,4.1,1.7,84.33,2.25,,31.3,983.4,42,27.6
2018-01-16,0.4,-2.9,78.62,0.8,51.8,25,978.4,18.8,30.2
2018-01-17,1,-2.4,77.99,10.29,59.4,30.5,988.3,25.2,27.7
2018-01-18,0.2,-2.7,81.27,10,,20.6,992.6,23.4,27.9
2018-01-19,0,-3.2,79.12,0,,18.1,996.5,21.8,32
2018-01-20,-1.3,-3.7,83.6,10,,18,1000.8,13,29.9
2018-01-21,-0.7,-2.6,86.8,0.57,,32.7,1005.2,45.9,27.1
2018-01-22,5,1.9,80.92,1.21,46.4,23.5,1000.8,49.8,22.6
2018-01-23,7.1,4.1,81.25,1.44,68.4,31.9,997.3,46.6,26.3
2018-01-24,5.8,2.4,79.23,6.88,85.3,55.7,983.5,40,23.3
2018-01-25,3.2,0.9,85.13,0.6,,20.4,997.7,40.2,23.8
2018-01-26,3.6,1.5,86.25,0.4,,17.2,1017.3,58.2,25.2
2018-01-27,6.7,2.9,77.26,1.89,79.6,37.1,1007.2,56.5,21.1
2018-01-28,7.3,3.5,77.59,0.92,77.8,37.3,1011.1,58.6,21
2018-01-29,4.8,1.1,77.72,10.06,57.6,30,1015.6,33.8,27.5
2018-01-30,4.8,1.2,77.54,0,68.4,39.7,1012.3,32.2,29.7
2018-01-31,3.2,-0.7,75.99,2.6,57.6,31,988.9,26.1,27.2
2018-02-01,4.1,1.3,82.42,6.52,66.5,44.7,998.4,66.7,16.6
2018-02-02,3.4,1.3,86.56,5.81,48.2,29.9,1010.5,57.8,20.6
2018-02-03,1.2,0.4,94.19,5.4,,11.2,1008.4,70.6,18.6
2018-02-04,2.3,1.3,92.96,1,,12,1029.6,68,24.9
2018-02-05,1.7,-1,82.88,1.02,,20.9,1026.9,60.8,25
2018-02-06,1.2,-1.4,83.08,0.78,,25.1,1018,50.4,24
2018-02-07,0.7,-3.2,75.59,0,55.4,29.8,1015.9,28.5,29
2018-02-08,4.5,1.6,82.05,0.2,,19.9,1004,39,23.2
2018-02-09,1.8,-2.5,74.07,0,,23.3,1005.1,20.8,28.1
2018-02-10,3.7,0.4,79.17,2,53.5,33.8,996.7,64.2,21.8
2018-02-11,1.3,-2.4,76.86,1.65,50.9,31,995.3,28.7,25.6
2018-02-12,1.2,-3.1,72.88,1.31,50,23.5,1001.6,14.3,29.1
2018-02-13,1.6,-0.8,84.14,9.49,53.6,30,994.2,51.5,21.1
2018-02-14,2.3,-0.7,80.95,3.75,72.4,44.9,991.3,51.4,20.4
2018-02-15,3.7,-0.3,75.5,0.89,71.1,33.6,993.6,28.7,24.4
2018-02-16,3.9,-0.2,75.05,0,46.4,26.2,1012.6,33.3,25.3
2018-02-17,4.1,0.9,79.69,0.2,35.3,22.4,1014.1,41.6,27.6
2018-02-18,3,0.8,86.09,0.2,,13.7,1016.8,42.1,23
2018-02-19,5.6,5.3,98.52,5.44,,12,1015.1,83.3,6.8
2018-02-20,4.9,2.8,86.43,4.99,38.9,25.7,1024,41.7,16.8
2018-02-21,1.7,-0.6,85.57,0.2,,11.3,1029.3,9.6,14.2
2018-02-22,2.6,-0.4,81.48,0.2,46.4,25.6,1023.9,43.8,16.7
2018-02-23,2.4,-1.8,74.32,0,55.4,26.9,1021.8,32.6,14.2
2018-02-24,3.7,-1.4,69.65,0,46.4,32,1025.9,73.6,16.7
2018-02-25,2.7,-1.7,73.07,0,,23.8,1032.3,65.1,18.5
2018-02-26,1.3,-3,73.52,0.91,,18,1038,67.3,25
2018-02-27,0,-3.2,79.53,1.85,66.6,25.6,1033.3,68.1,19.1
2018-02-28,-3.7,-7.1,77.01,0,54.2,30.1,1031.2,65.6,15.5
2018-03-01,-2.5,-5.8,78.04,20.37,66.6,36,1022.1,67.3,13.5
2018-03-02,-0.2,-3.2,80.32,30,48.2,30.8,1010.8,87.7,13.1
2018-03-03,0.5,-1.9,83.75,48.05,,24.3,1002.8,89.9,12.6
2018-03-04,0.8,-0.8,88.91,91.13,,21.8,996,94.4,7.4
2018-03-05,2.2,1.5,94.83,24.89,55.4,23.2,991.5,96,5.2
2018-03-06,2.6,1.8,94.94,22.65,55.4,27.5,990.1,92.5,6.1
2018-03-07,3.5,2,89.97,21.28,,14.6,988.7,71.2,14.4
2018-03-08,3.1,0,80.82,0,,17.5,990.4,34.4,22.6
2018-03-09,2.7,-1,77.09,0.8,29.5,24.6,996.5,24.1,26
2018-03-10,1.3,0.5,94.14,6.77,,24.5,996.7,70.5,13
2018-03-11,4.2,3.2,93.15,5.11,,15.4,992.8,83.8,18.4
2018-03-12,3.9,2.9,92.68,0.6,,9.9,995.4,94.7,20.1
2018-03-13,4.1,1.9,86.21,1.02,,14.1,1004.4,76.4,18.9
2018-03-14,5.1,2.5,83.74,0.4,60.3,35.1,1001,69.9,17.2
2018-03-15,4.5,2.1,84.6,0.6,80.1,46.6,997,94.9,9
2018-03-16,2.5,0.9,89.33,14.33,59.4,38.9,1008.8,93.3,9.4
2018-03-17,0.5,-5,66.68,0.77,55.4,35.7,1023.6,81.5,17.1
2018-03-18,0.8,-4.2,70.1,11.6,51.8,30.5,1026.3,79.6,17
2018-03-19,1,-2.8,76.83,0,,21.7,1027.8,43.8,25
2018-03-20,3.4,-2.6,65.85,0,,21.9,1030.5,29.6,26.7
2018-03-21,5.6,1.9,76.81,0.77,59.4,32.1,1020.8,53,28.3
2018-03-22,8,3.7,74.91,0,51.8,30.2,1008.6,50.6,26.5
2018-03-23,5.8,3.2,83.89,9.9,63,40,988.7,67.8,23.1
2018-03-24,5,-0.3,70.5,0,50,22.1,1000.4,24.9,28.3
2018-03-25,5.1,0.6,73.94,0.28,48.2,24.5,1008.2,34.2,30.2
2018-03-26,4.5,-0.2,72.81,0.4,,16.8,1013.4,27.7,28.3
2018-03-27,4.7,3.4,90.98,7.49,,24.6,1001.4,81.8,15
2018-03-28,4.6,1.7,82.54,2.75,,16.6,999,67.5,23.3
2018-03-29,1.8,0.3,89.76,1.57,,22.4,1002.4,53.6,22.7
2018-03-30,2.8,1.7,92.26,10.12,53.6,27.9,1004.7,87.5,11.9
2018-03-31,2.5,-0.2,82.5,5.53,,21.8,1009.6,82,17.1
2018-04-01,2.1,-2.7,72.47,0.4,,13.7,1013.8,36.3,28.3
2018-04-02,2.1,-0.5,83.74,3.23,48.2,26.5,1005.5,78.5,23.1
2018-04-03,2.5,1.3,92.11,10.48,,21,992.6,88.4,12.6
2018-04-04,2.3,0.6,88.29,11.81,40.7,20.6,997.1,75.2,17.7
2018-04-05,3.7,-1.7,68.74,0.4,,23,1009.5,36.2,29.6
2018-04-06,4.9,2.4,84,0,48.2,29.3,1008.7,75.9,19.7
2018-04-07,8.8,5.4,79.66,0.8,55.4,25.2,1003.7,43.3,19.2
2018-04-08,8.2,5.6,84.87,2.59,,14.1,1006.8,66.7,22.2
2018-04-09,6.8,3.8,82.24,0.4,,19.1,1008.2,52.7,26.1
2018-04-10,4.7,4.3,97.29,4.55,,19.6,1014.1,91.4,9.7
2018-04-11,6.1,4.5,89.61,2.94,59.4,23.9,1016.3,84.6,9.2
2018-04-12,6,3.8,86.2,0.2,,25,1014.1,71.9,11
2018-04-13,5.8,4.9,93.94,1.83,,15.9,1009.9,94.4,6.3
2018-04-14,8.5,6.1,85.76,0.51,,22.4,1013,57.8,12.5
2018-04-15,7.7,4.7,82.52,0,38.9,24.6,1009.9,26.6,11.3
2018-04-16,9.6,6.2,80.36,1,46.4,24.3,1005,55.1,18.1
2018-04-17,11.2,6.8,74.54,1.73,61.4,37.2,1005.9,54.6,19.4
2018-04-18,12.5,8.3,75.79,0.4,50,24.1,1018.3,48.4,21.2
2018-04-19,14.4,9.2,71.41,0,48.2,24.3,1019.9,26.2,24.7
2018-04-20,11.2,5.6,70.77,0.4,51.8,31.2,1020.8,21.1,27.5
2018-04-21,9,4.4,74.11,0,40.7,23.3,1018.3,18,25.6
2018-04-22,10.2,6,76.1,0.58,50,29.7,1002.5,59.7,21.2
2018-04-23,9.9,5.5,74.66,1.42,48.2,26.8,1001.7,61,28.3
2018-04-24,9.7,3.7,67.57,2.77,50.9,31.3,1002.5,47.1,27.6
2018-04-25,7.7,3.1,73.68,3.06,51.8,25,1001.3,40.2,29.1
2018-04-26,8,3,71.41,1.04,57.6,30.5,1002.5,49.8,30.5
2018-04-27,6.2,3.6,83.81,9.21,,14,1008.8,70.9,28.2
2018-04-28,5.6,3.5,87,1.63,,14.8,1014.7,78.2,28.4
2018-04-29,5.4,2.1,80.2,0.66,,17,1018.3,46.5,25.4
2018-04-30,5.2,1,76.35,0.4,,18,1014.2,23.5,24.3
2018-05-01,6.3,1.6,74.47,0,51.8,28.1,1000.1,37.8,24.8
2018-05-02,7.3,4,80.48,7.86,53.6,22.9,996.6,73.3,20.8
2018-05-03,7.9,3.8,76.06,1.08,50.3,31.8,1009.9,49.2,25.3
2018-05-04,13,8.4,74.34,0.2,63,26.7,1015.4,47.4,29.5
2018-05-05,14.2,9.1,72.41,0,57.6,32.7,1019.5,35,26.8
2018-05-06,13.9,9.1,73.49,0,53.6,24.2,1019.9,34.3,23.1
2018-05-07,11.2,8.1,81.77,0.58,,20.6,1016.9,53.4,21.9
2018-05-08,13.4,8.2,71.4,0.39,51.8,27.3,1005.6,41.1,23.4
2018-05-09,9,4.8,75.62,0.35,57.6,31.2,1003.1,45,22.5
2018-05-10,10,2.9,63.45,3.2,57.6,24.9,1007.9,27.5,24.4
