datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,2.5,1.6,94.17,16.39,,18.9,989.7,51.3,40.8
2018-01-02,1.6,0.9,95.11,6.12,,15.5,993.5,59.3,25.2
2018-01-03,3,2.4,95.64,8.73,50,15.4,983.1,68,27.5
2018-01-04,2.2,2,98.4,5.42,13,12.3,988.6,78.3,12.3
2018-01-05,1.8,1.5,98.28,16.1,,10,994.1,81.2,18
2018-01-06,1.1,-1.4,83.7,2.24,53.6,14.3,1019.9,76.5,31
2018-01-07,-3.6,-5.1,89.59,0,,6.5,1032.8,4.5,35.1
2018-01-08,-3.6,-5.5,86.88,10.2,,11.4,1026.8,17.8,26.9
2018-01-09,3.6,2.1,89.91,0.53,48.2,17.3,1006.8,87.4,14.5
2018-01-10,2.4,1.8,96.04,1.12,,11,1004.7,85.8,11.9
2018-01-11,1.8,1.3,96.63,0.4,,5.6,1021.2,85,27.3
2018-01-12,3.8,1.9,87.91,0.2,47.3,11.4,1023.7,85.9,22.4
2018-01-13,4.4,2.1,85.02,0.2,46.4,17.5,1016.8,86.5,13.5
2018-01-14,5.6,3.4,85.6,3.65,63.5,28,1007.5,85.9,17.8
2018-01-15,4.5,3,89.86,6.44,70.2,28.1,985.1,60.9,37.7
2018-01-16,0.2,-0.7,93.63,2.81,51.2,23.5,980.8,48.2,27.4
2018-01-17,0.8,-0.6,90.22,53.32,59.4,23.9,990.9,44,35.2
2018-01-18,0.3,-0.6,93.97,23.09,,16.6,994,56.3,37
2018-01-19,0.4,-0.5,93.06,30.48,50,20.8,998.2,47.7,39.3
2018-01-20,-2.4,-3.6,91,18.57,,13.2,1001.8,24,42.9
2018-01-21,-2.3,-3.3,93.04,52.38,,10.8,1005.9,78,32.2
2018-01-22,4.8,3,88.04,3.36,48.2,24.8,1002.8,80.5,19.7
2018-01-23,7.1,5.5,89.7,13.23,61.2,30.5,999.2,67.9,26.4
2018-01-24,6,3.5,84.48,21.68,86.5,48.2,986.2,62.3,24.5
2018-01-25,3.5,1.7,88.35,11.51,50,19.7,998.2,56.2,23.9
2018-01-26,1.4,0.2,91.6,0.8,,14.9,1018,40,38.1
2018-01-27,7.2,4.3,82.51,7.77,80.7,37.6,1009.8,68.2,19.2
2018-01-28,8.1,6.1,87.76,4.66,80.8,41.9,1013.4,68,17.2
2018-01-29,5.5,2.1,79.18,14.94,70.8,36.2,1017.8,45.6,41.4
2018-01-30,4.8,2.9,87.33,3.11,57.8,31.1,1015,73.8,25
2018-01-31,2.5,0.6,87.44,10.97,61.1,29.2,991.7,39.8,36.2
2018-02-01,4.2,-0.5,72.01,14.4,68.4,25.9,1001.3,60.7,41.5
2018-02-02,3.6,-0.2,76.55,5.29,48.2,18.9,1011.5,56.1,42.2
2018-02-03,2,1.6,96.96,6.58,,5,1008.6,84.4,15.7
2018-02-04,2.9,1.8,92.9,4.16,,7,1029.8,67.5,27.5
2018-02-05,1.9,-0.4,85.29,0.2,,15.4,1027.9,89.1,33.4
2018-02-06,0.8,-2.2,81.3,1.57,,14.1,1019.3,54.4,36
2018-02-07,-0.4,-2.9,83.32,16.44,55.4,21.2,1017.9,50.3,34.4
2018-02-08,4.8,3.4,90.82,3.88,52.1,16.9,1005.2,79,18.9
2018-02-09,1.9,-1.3,79.96,1.34,,19.7,1006.4,31.1,43.4
2018-02-10,3.6,1.6,87.17,3.08,72.4,23.4,997.6,72,23.1
2018-02-11,0.4,-2.8,79.6,1.67,51.8,26.5,997.1,31.7,43.2
2018-02-12,0.7,-1.3,86.67,5.98,48.9,23.3,1003.3,38.4,39.1
2018-02-13,2.3,-0.5,82.1,7.69,51.8,22,994.8,51.3,37
2018-02-14,2.7,-0.4,80.4,7.7,68.4,23,991.8,60.4,35.6
2018-02-15,3.3,0.5,81.56,8.67,68.9,37.3,996,63.5,26.4
2018-02-16,4,1.3,82.8,17.27,50,21.9,1014,59,32.5
2018-02-17,4.2,2.3,87.67,9.5,35.3,21.6,1015.2,61.1,35.5
2018-02-18,2.4,1.8,95.62,0.94,,11,1017.4,75.8,15.8
2018-02-19,6.1,5.8,97.36,6.56,,11.1,1015.7,89.5,13.3
2018-02-20,5.2,1.4,77.26,4.87,68.4,21,1024.7,32,32.3
2018-02-21,0.8,-1.4,86.65,0.2,,8,1029.6,22.2,15.8
2018-02-22,1.9,-0.5,85.12,0.2,,13.1,1024.3,50.4,15.8
2018-02-23,2,-2.3,74.11,0,44.6,16.4,1021.9,28.9,20.2
2018-02-24,1.8,-2.6,73.4,0,46.4,17.3,1025.7,10.2,25.5
2018-02-25,1.1,-2.5,77.31,0,,15.7,1032.1,47.7,24.8
2018-02-26,0.7,-3.1,76.41,0.8,,16.8,1037.6,76.9,42.8
2018-02-27,-0.7,-3.5,81.18,1.14,61.2,21.5,1032.5,66.9,37.9
2018-02-28,-3.9,-6.6,81.71,0,68.8,28.3,1029.2,60.6,17.1
2018-03-01,-2.4,-4.9,83.28,40.21,79.6,32.5,1019.2,65.2,14.4
2018-03-02,-0.2,-2.7,83.1,94.64,72.4,28.9,1008.3,85.5,14.1
2018-03-03,0.4,-2.2,82.58,94.97,57.6,21.9,1001.2,87,17
2018-03-04,0.9,-0.9,88.03,5.71,,15.8,994.5,94.2,10.7
2018-03-05,1.9,1.4,96.67,18.27,,18,990,95.2,11.8
2018-03-06,1.8,1.4,96.9,20.85,59.4,19.9,988.6,95,7.9
2018-03-07,2.4,1.2,92.31,24.91,,12.1,989,80.8,22.4
2018-03-08,2.5,0.4,86.54,1.13,,17.5,991,49.5,31.1
2018-03-09,2.8,0.4,84.72,2.09,48.7,25.5,997.5,27.1,31.5
2018-03-10,2.3,1.7,95.46,8.22,51.8,20.9,995,84.8,16.1
2018-03-11,4.6,3.9,95.25,6.82,,7,992.7,90.1,17.7
2018-03-12,4.5,2.9,89.56,0.4,,7.2,995.4,95,25.1
2018-03-13,4.6,2.6,87.1,1.4,,10.1,1004.5,82.7,35.1
2018-03-14,4.9,2,82,0,56.1,24.8,999.7,72.8,26.7
