datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.9,2.5,90.26,9.58,50,24,990.2,48.5,26.5
2018-01-02,4.1,2.5,89.32,7.69,72.4,24.3,993.5,52.4,21.5
2018-01-03,4.7,3.6,92.61,12.99,77.8,25,983.3,70.9,19.3
2018-01-04,4.2,3.7,96.33,9.24,35.3,14.4,987.7,87.2,14.3
2018-01-05,2.7,2.2,96.64,5.64,,16.6,993,85.4,15.3
2018-01-06,2.2,-1.6,76.27,2.88,53.6,24.7,1018.5,51.5,25.8
2018-01-07,-3,-4.6,89.1,20,,7.6,1032.6,2.1,22.5
2018-01-08,-1.7,-4.1,84.5,10.2,,16.4,1025.9,12.8,21.3
2018-01-09,2.6,0.9,88.42,0.4,,18,1006,77.8,13
2018-01-10,2.9,2.2,95.01,1.59,,15.2,1004.3,93.7,6.1
2018-01-11,2.1,1.4,95.21,0.2,,6.4,1020.9,81.1,10.5
2018-01-12,4.3,2,85.45,0.2,,14.3,1023.5,80.6,15.5
2018-01-13,4.5,1.6,81.88,3.2,,18,1016.5,70.5,12.9
2018-01-14,5.5,3.1,84.6,2.45,76.1,47.9,1008.9,76.8,11.1
2018-01-15,5.1,3.5,89.53,20.23,75.2,43.7,986.5,60.7,22.7
2018-01-16,0.6,-0.4,93.11,3.13,55.4,30,982.6,56.8,19.5
2018-01-17,1.3,-0.3,89.49,5.4,55.4,30.3,992.4,35.7,23.5
2018-01-18,1.5,0.4,91.88,194.11,,19.8,994.5,57.8,27.1
2018-01-19,1.2,0,91.54,217.69,61.2,23.4,999.4,57.7,28.9
2018-01-20,-0.2,-1.4,91.6,1.53,,20.3,1001.7,17.9,22.4
2018-01-21,-0.8,-1.9,92.94,23.44,,20,1005.8,68.6,17.8
2018-01-22,5.4,3.7,88.79,11.37,48.2,27,1004.4,77.4,17.7
2018-01-23,7.7,5.6,86.73,12.38,61.2,37.1,1000.6,66.4,25.6
2018-01-24,6.6,3.9,82.67,17.31,82.3,49.4,988.4,67,18.8
2018-01-25,4.5,1.8,83.36,5.49,55.4,28,998.3,47.4,21.8
2018-01-26,2.7,0.8,87.94,0.8,,21.3,1018.2,49.2,23.7
2018-01-27,7.9,5,81.85,10.27,83,47.6,1011.8,64.1,17.9
2018-01-28,9.2,7.4,88.72,5.64,82.7,48,1015.4,78.5,13.8
2018-01-29,5.9,3,81.96,5.34,74,41.9,1019.1,35.2,24.3
2018-01-30,5,2.4,83.75,0.67,69,37.9,1017.1,79.4,24.6
2018-01-31,2.4,1,90.3,13.74,61.8,36.8,993.3,52.6,25.6
2018-02-01,3.4,-0.6,75.41,4,61.2,24.5,1001.9,41,32.4
2018-02-02,3.6,-0.3,76.42,0.4,55.4,17.2,1011.5,37.3,31
2018-02-03,2.5,1.8,95.81,4.18,,8.9,1008.4,83.7,12.2
2018-02-04,2.8,1.7,92.8,3.96,,6.6,1029.5,62.2,16.3
2018-02-05,1.2,-1.7,81.63,0.2,,17.8,1028.5,87.8,27.9
2018-02-06,0.4,-2.5,81.21,3.56,,19.4,1019.5,48.3,23
2018-02-07,-0.5,-3.3,81.5,1.49,53.6,33.2,1018.7,37.4,28.9
2018-02-08,5.3,3.4,87.55,2.49,55.4,32.4,1006.2,73,19.5
2018-02-09,2.2,-0.7,81.69,4.16,46.4,19.7,1006.9,32.3,27.8
2018-02-10,4.6,2.2,84.88,3.05,74.1,45.4,998.3,71.3,16.5
2018-02-11,1.1,-1.3,84.3,15.21,53.6,28.8,998.5,31.1,24.5
2018-02-12,1.5,-0.8,85.14,9.56,50,26.2,1004.8,55.2,23.7
2018-02-13,2.7,-0.7,78.79,2.71,51.8,29.8,995.4,45.3,26.4
2018-02-14,3.1,-0.4,78,3.58,68.4,37.6,992.5,41.4,27.9
2018-02-15,3.3,0.2,80.01,3.52,64,41.3,998,55.9,23.5
2018-02-16,4.3,1.4,81.89,1.09,57.6,26.1,1015.2,51.7,23.1
2018-02-17,4.5,2,84.22,10.7,50,24.2,1015.9,52,25.9
2018-02-18,3.1,2.3,94.28,1.58,,11.8,1017.4,72.9,14.9
2018-02-19,8.1,7.2,94.35,7.68,,19.3,1015.7,85.7,14
2018-02-20,5.6,1.9,78.46,0.94,59.4,19.2,1024.6,30.2,22.8
2018-02-21,3.2,0.9,85.74,0,,9.2,1029.2,57.4,18.9
2018-02-22,1.9,-1,82.11,0.4,,17.6,1024.5,38.3,16.7
2018-02-23,1.4,-2.7,74.69,0,44.6,17.5,1022,19.7,13.8
2018-02-24,1.6,-3.2,71.68,0,,18.5,1025.1,2.4,18.4
2018-02-25,1.2,-2.8,75.49,0,,15.6,1031.2,3,19.2
2018-02-26,0.6,-4,71.77,0.2,,21.9,1036.7,75.4,27.9
2018-02-27,-0.5,-3.5,80.41,10.64,57.6,28.8,1030.9,62.3,21.2
2018-02-28,-3.5,-6.2,82.16,0,62.4,35.2,1026.6,67.1,10.4
