datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,1.4,0.4,93.52,4.87,,18.7,988.6,37.8,47.3
2018-01-02,1.9,0.2,88.56,2.61,,22,992.1,52.9,43.9
2018-01-03,1,0.2,94.56,0.8,,14.2,982.8,54.8,22.9
2018-01-04,1.1,0.9,98.43,1.38,,7.7,989.3,75.5,11.2
2018-01-05,2.1,1.4,95.46,5.43,,25.6,995.3,73.9,17.7
2018-01-06,2.9,-1.6,72.47,2.14,,36.9,1021,86.5,24
2018-01-07,-1.3,-5.1,75.59,0,,15.3,1031,11.8,40.8
2018-01-08,0.5,-4.8,68.22,0,,21,1025.1,7.1,39.6
2018-01-09,4.8,1.8,80.77,1.4,46.4,22.9,1006.1,53.4,24.4
2018-01-10,4.6,2.4,85.83,0.6,,18.5,1004,87.6,30
2018-01-11,1.3,0.5,94.43,1.34,,12.4,1021,48.5,25.8
2018-01-12,2.9,-0.2,80.99,0.6,48.2,20.6,1021.9,14.7,38.6
2018-01-13,5.4,0.7,72.09,0,46.4,20.4,1015.1,63.8,23.5
2018-01-14,6.8,1.8,70.86,0.51,59.4,37.8,1003.2,62.3,43.3
2018-01-15,4.1,1.8,85.16,6.76,,24.5,982.6,60.3,39.5
2018-01-16,0.2,-1.8,86.56,0.91,51.8,24.8,977.6,41.1,36.9
2018-01-17,0.9,-1.3,85.16,193.35,59.4,31.8,988,41.7,36.6
2018-01-18,0.4,-1.9,84.76,160,,20.6,992.4,40.4,42.9
2018-01-19,0.2,-2.4,82.42,160,,21,995.9,29.5,52.2
2018-01-20,-1,-3.1,85.47,140,,16.3,1000.9,23.9,48.2
2018-01-21,-0.6,-3.3,82.62,130.39,,24.8,1003.7,52.8,43.4
2018-01-22,5.9,2.6,79.57,0.63,46.4,33.7,999.7,64.8,31.2
2018-01-23,7.4,4,79.1,20.84,68.4,29,995.8,56.9,46.2
2018-01-24,5.5,2.5,81.38,9.74,85.3,57.8,981.8,57.8,39.8
2018-01-25,2.8,1,88.02,1.41,,16,997.3,62.7,39.4
2018-01-26,3.7,1.7,86.74,0.47,,14.7,1017,66.4,36.4
2018-01-27,7.1,2.9,74.67,2.83,79.6,44.2,1005.4,66.1,34.6
2018-01-28,6.9,3.7,81.04,1.57,77.8,41.3,1010.8,70.2,26.5
2018-01-29,4.2,1.6,83.6,23.61,57.6,32.3,1015.6,41.7,39.7
2018-01-30,5.5,1.7,76.75,0.2,70,38.8,1010.6,34.9,45.6
