datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4,2.3,88.57,3.91,57.6,31.9,991.2,67.5,29.3
2018-01-02,3.7,2.5,91.97,9.94,72.4,35.3,994.7,79.8,18.1
2018-01-03,4.8,3.4,90.57,24.61,77.8,36.5,984.4,75.6,19.6
2018-01-04,4.1,3.5,95.75,13.62,35.3,16.7,987.8,83.8,18.3
2018-01-05,1.6,0.9,95.54,3.77,,23.4,992.7,71.3,26.8
2018-01-06,1.4,-1.1,83.71,1.75,50,29.7,1017.3,49.2,28.8
2018-01-07,-1.9,-3.7,87.93,0.2,,9,1032.6,9.8,35.8
2018-01-08,-1,-3.6,82.55,0.2,,17.7,1026,17.2,34.3
2018-01-09,1.5,0.2,90.77,0.4,38.9,15.7,1006.2,79.3,11.4
2018-01-10,3.2,2.5,95.31,1.96,,14.6,1004.4,91.8,6
2018-01-11,2.5,1.9,96.02,0.2,,8.3,1020.7,81,11.8
2018-01-12,4.3,2.1,86.29,0.2,55.4,20.6,1023.9,78,18.1
2018-01-13,4,1.5,83.73,2,59.4,23.5,1016.9,86.2,13.3
2018-01-14,3.8,2.5,91.27,2.49,77.2,52.5,1011.3,91.1,7
2018-01-15,4.7,3.4,91.49,25.6,65.9,40.2,988.2,75.4,24.8
2018-01-16,0.4,-0.6,93.3,7.7,85.3,26.7,984.7,62,19
2018-01-17,0.9,-0.2,92.13,6.79,61.2,29.2,994.2,60.7,19.3
2018-01-18,0.9,0.1,94.2,146.09,40.7,17.6,995.3,78.8,30
2018-01-19,1,-0.3,91.05,218.42,64.8,28.3,1001,73.3,27.8
2018-01-20,-0.4,-1.4,93.08,1.84,53.6,20,1002.3,53.1,23.3
2018-01-21,-1.1,-1.8,94.87,6.76,55.4,24.1,1006.8,86.2,23.4
2018-01-22,4,3.1,94.29,14.35,61.2,23.8,1006.4,88.2,12
2018-01-23,6.6,5.6,93.1,17.19,68.4,37.9,1003,77.6,19
2018-01-24,6.3,3.9,84.61,13.89,89.2,57.4,991,74.7,19.8
2018-01-25,4,2.2,88.55,5.47,55.4,34.8,999.2,62.8,23.1
2018-01-26,2.3,0.9,90.82,0.6,,21.4,1018.7,60.7,32.5
2018-01-27,6.8,5,88.52,17.64,71.4,42.8,1014.4,74.6,14.9
2018-01-28,8.6,7.2,90.81,8.89,74.2,43.1,1017.8,79.6,14
2018-01-29,5.3,3,85.55,9.93,72.9,45.7,1020.7,54.3,29.3
2018-01-30,3.6,1.9,88.52,0.8,53.6,34.7,1019.4,78,22.3
2018-01-31,2,0.7,90.81,15.13,76,36.2,995.2,67.1,24.4
2018-02-01,2.5,-1.1,77.61,4.71,62.2,31.6,1002.1,24.6,45.9
2018-02-02,2.4,-0.8,79.66,0.4,55.4,23.6,1011.8,32.1,44.3
2018-02-03,1.5,0.8,95.35,5.8,,11.6,1008.5,82.8,15
2018-02-04,1.4,0.1,91.02,0.75,,9.6,1029.6,53.8,27.9
2018-02-05,-0.1,-2.4,85.24,0.2,,11.9,1029.5,83.3,35.8
2018-02-06,-0.6,-3.2,83.08,2.78,,22.7,1019.9,61.2,32.4
2018-02-07,-2.1,-4.2,85.83,8.79,48.2,29.7,1020,44.6,33.9
2018-02-08,4.4,3.6,94.7,6.67,,26.9,1007.6,79.9,12.9
2018-02-09,1.7,-0.7,85.08,5.43,46.4,23.6,1007.7,43.7,33.6
2018-02-10,3.6,2.2,90.76,9.13,57.6,39.8,999.8,83.1,13.3
2018-02-11,0.6,-1.5,85.65,18.53,53.6,31,998.5,45.7,34.5
2018-02-12,0.8,-0.8,89.4,4.56,55.4,31.7,1006.1,68.8,29
2018-02-13,0.9,-0.9,87.87,5.31,64.8,35.2,996.9,55.4,27.4
2018-02-14,1.3,-0.4,88.4,5.34,63,39.5,994.5,76.1,24
2018-02-15,2.6,-0.3,80.99,4.36,66.6,36.4,1000.2,69.2,27.7
2018-02-16,3.2,1.1,85.76,0.4,59.4,34.1,1016.8,69.6,24.6
2018-02-17,3.8,2.4,90.54,9.18,50,31.6,1017.2,78.6,22.6
2018-02-18,4.1,3.4,95.29,4.21,,16.7,1018.1,80,11.4
