datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.5,-0.1,95.25,10.21,,19.6,988.7,35,43.5
2018-01-02,1.3,0.2,92.48,7.79,,27.6,991.6,47.8,39.1
2018-01-03,-0.5,-1,96.25,1.4,,14.1,983,48,22.6
2018-01-04,1.2,0.9,97.5,22.3,,11.5,989.7,80.8,20.5
2018-01-05,2.4,1.6,94.15,3.36,,30.7,996,70.5,29.7
2018-01-06,2,-1.5,77.8,2.2,,32.4,1021.7,85.4,24.8
2018-01-07,-1.1,-4.4,78.77,0,,16.9,1030.3,19.7,41.3
2018-01-08,-0.3,-5.2,70.63,0,,29.2,1024.3,7.2,39.4
2018-01-09,4.2,1.6,83.2,0,,23.6,1005.6,41.6,24.7
2018-01-10,3.9,2.1,88.11,0.2,,21,1003.8,73.8,35.3
2018-01-11,-0.7,-1.5,94.36,1.6,,14.8,1021.1,17.8,32.3
2018-01-12,1.7,-0.7,84.78,0.4,,25.3,1021.2,10.5,33.4
2018-01-13,4.6,1,77.49,0.4,,25.7,1014.4,66,24.4
2018-01-14,6.3,2.4,76.45,2.48,,39.5,1001.4,67,40
2018-01-15,3.5,1.7,88.25,7.06,,24.1,981.8,65,34.4
2018-01-16,-0.1,-1.5,90.59,1.26,,25.2,976.6,45.8,29.6
2018-01-17,1,-1,86.76,43.75,,36.2,987.2,45,32.4
2018-01-18,0.1,-1.6,88.26,14.8,,18.6,992,45.4,38.5
2018-01-19,-0.2,-1.9,88.63,90,,20,995.3,36.4,40.7
2018-01-20,-3,-4.2,91.63,170,,17.8,1000.9,23.1,39
2018-01-21,-2,-3.9,87.61,150.4,,27.7,1003.1,63.8,35.8
2018-01-22,5.3,2.7,83.76,16.03,,31.9,998.7,75,26.6
2018-01-23,6.5,4.2,85.49,13.63,,29.4,994.8,63,37.3
2018-01-24,4.8,2.7,86.33,19.21,,52.8,981.1,66.5,29.9
2018-01-25,1.9,1,93.4,6.89,,14.8,997.2,61,40.9
2018-01-26,3,1.6,90.46,1.6,,15.1,1016.8,73.2,33.1
2018-01-27,6.7,2.9,77.02,3.46,,55.9,1004.1,70.9,28.2
2018-01-28,6.5,3.4,81.05,4.95,,51,1010.4,73.4,24.2
2018-01-29,4,1.6,84.98,20.34,57.6,34.9,1015.2,48.8,32.3
