datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,6,3.6,85.13,3.29,63,36,991.9,48.3,24
2018-01-02,6.3,4.3,86.81,11.02,59.4,64.8,993.4,58.1,14
2018-01-03,7,4.8,86.09,18.27,65.8,46.4,986.1,51.7,16.4
2018-01-04,5.5,4.3,92.44,15.37,,20.9,987.8,65.9,15.2
2018-01-05,2.9,1.9,92.97,3.9,,12.8,992.1,47.2,24.4
2018-01-06,2.2,-1.3,78.13,0.2,,22.2,1017.5,21,31
2018-01-07,-0.9,-3.6,81.86,0.2,,14.2,1031.5,1.3,31.7
2018-01-08,0.5,-3,77.58,0,,27,1023.6,16.7,29.4
2018-01-09,3.1,1.6,89.71,0.2,64.8,31.5,1003.9,81,9.4
2018-01-10,3.5,2.9,95.74,4.04,,27.3,1003.7,70.6,7.3
2018-01-11,1.6,1.2,97.4,0.4,,6.8,1020.6,46.8,6
2018-01-12,5.4,3.6,88.18,0.4,54.5,34.2,1021.9,71.9,11.4
2018-01-13,6.1,4.1,87.27,3.95,57.6,39,1014.5,81,9.1
2018-01-14,6.9,5.7,91.76,10.88,74.2,48.7,1009.5,79.6,9.1
2018-01-15,6.3,4.6,89.19,9.43,59.4,38.8,988.9,64.6,21.1
2018-01-16,2.4,0.5,87.39,4.14,85.3,45.1,985.7,54.5,26.2
2018-01-17,3.4,1.2,86.03,9.3,72.4,44,995.2,58.4,16.6
2018-01-18,2.9,1.5,90.93,15.65,40.7,26.7,996,52.4,27.5
2018-01-19,3.1,1.1,86.72,3.53,64.8,37.1,1001.6,50.6,28.7
2018-01-20,2.1,0.5,89.67,7.2,53.6,28.6,1002.2,40.6,22.3
2018-01-21,3,1.9,92.71,11.59,55.4,36.8,1005.4,81.8,15.4
2018-01-22,7.1,5.3,88.42,1.11,61.2,33.2,1006.7,74.1,14.8
2018-01-23,8.8,7.2,90,5.89,70.6,36.6,1002.1,61,15.3
2018-01-24,7.7,4.6,81.13,5.84,88.9,53.3,990.5,47.1,18.7
2018-01-25,5.4,3,84.6,3.81,48.2,29.8,998.3,49.2,25.1
2018-01-26,3.5,2.2,90.88,0.4,,25.5,1018.4,27.3,21.3
2018-01-27,8.5,6.5,87.46,10.87,68.4,40.1,1015,70.6,12.7
2018-01-28,10,8.6,90.79,4.98,69.4,45.9,1019.2,64.6,17.2
2018-01-29,6.7,4.4,85.56,7.23,77.8,43.1,1022.2,43.7,18.4
2018-01-30,5.6,3.2,84.77,0.4,57.6,40.1,1019.4,54.6,23.1
2018-01-31,4.1,1.9,85.76,7.75,76,43.1,996.3,48.5,21.7
2018-02-01,5.1,1.5,77.32,1.99,55.4,39.7,1005.1,27.2,19.4
2018-02-02,5,2.2,81.83,0.4,,27.2,1012.7,30.1,20.5
2018-02-03,4.9,3.1,87.79,4.31,,22.3,1008.4,53.7,22.5
2018-02-04,3.1,1.1,86.95,0.4,,10.4,1029.2,31.9,28.6
2018-02-05,1.6,-1.4,81.58,0.2,,17.5,1028.6,61.1,30.4
2018-02-06,2.1,-0.9,80.83,3.6,,25.6,1020.6,39.4,25.7
2018-02-07,1.5,-0.6,85.89,1.28,,29.2,1019.7,49.8,25.2
2018-02-08,6.3,5,91.75,5.93,,28.4,1007.3,72,15.2
