datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.5,2.7,88.07,5.6,53.6,29.9,991.5,68.8,28.5
2018-01-02,4.3,2.8,90.56,9.18,74.8,38.2,995.4,77.3,17.6
2018-01-03,5.3,3.7,89.41,25.27,77.8,44.5,984.8,73.5,21.3
2018-01-04,4.5,3.8,95.04,14.57,37.1,22.7,987.8,81,17.1
2018-01-05,1.8,1.2,95.8,4.91,,22.1,992.5,67.6,23.5
2018-01-06,2,-0.4,83.89,2.87,53.6,27.6,1016.7,43.6,28.6
2018-01-07,-1.1,-3,87.36,0.4,,8.6,1032.4,12.3,33.6
2018-01-08,-0.7,-3.2,83.3,0.2,,18.2,1026,18.2,31.2
2018-01-09,1.9,0.5,90.21,0.4,50,17.3,1006.5,77.6,11.2
2018-01-10,3.7,3,94.75,1.93,,11.3,1004.4,92.3,6.9
2018-01-11,3.2,2.4,94.92,0.2,,8.4,1020.5,91.5,12.8
2018-01-12,4.7,2.4,85.57,0.2,37.1,18.5,1024.2,81.9,16.5
2018-01-13,4.5,1.7,82.1,2,53.6,20.9,1017.4,82.9,13.1
2018-01-14,3.8,1.9,87.73,1.67,73.3,43.6,1012.2,88.1,8.2
2018-01-15,5.3,3.8,90.65,21.77,64.1,34.5,988.6,76.5,26
2018-01-16,1,-0.4,90.04,6.3,64.8,28,985.4,64.3,23.2
2018-01-17,1.4,0,90.54,24.4,57.6,28.6,994.6,61.2,20.2
2018-01-18,1.2,0.3,93.61,24.75,37.1,16,995.4,75,30.2
2018-01-19,1.5,-0.1,88.98,10.53,57.6,27.8,1001.5,68.3,30.2
2018-01-20,0.2,-1,92.06,1.46,,19.3,1002.4,46.9,23.1
2018-01-21,-0.8,-1.4,95.38,4.53,,18.5,1007.2,82.9,20.4
2018-01-22,4.7,3.5,91.89,8.74,46.4,20.8,1006.8,86.5,14.8
2018-01-23,7.4,6,90.36,15,66.1,35,1003.9,79.8,19.9
2018-01-24,7,4.2,82.32,16.61,90.2,52.7,992.1,72.3,19.8
