datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,6,3.6,84.35,3.47,63,37.1,991.6,50.2,21.3
2018-01-02,6.3,4.1,85.66,10.46,59.4,49.5,993.2,57,13.9
2018-01-03,6.9,4.8,86.58,18.95,65.8,44.5,985.7,52.9,14.3
2018-01-04,5.4,4.3,92.07,15.41,,17.7,987.7,65.5,14.8
2018-01-05,3.1,1.9,91.96,3.78,,13.5,992.1,52.4,23.5
2018-01-06,2.2,-1.5,77.05,0.2,,19,1017.7,24.9,26.6
2018-01-07,-1.1,-3.8,82.12,0.2,,12.2,1031.5,1.6,27.2
2018-01-08,0.3,-3.3,77.17,0,,22.7,1023.6,16,25.8
2018-01-09,2.8,1.1,88.38,0.2,64.8,27.9,1004,70.6,10.1
2018-01-10,3.7,2.9,94.23,3.56,,25.3,1003.7,71.7,7.8
2018-01-11,1.7,1.1,96.08,0.4,,8.2,1020.5,51,7.3
2018-01-12,5.4,3.1,85.48,0.4,54.5,31.6,1021.9,63.9,12.5
2018-01-13,6,3.6,84.42,3.99,57.6,38.7,1014.5,75.5,10.2
2018-01-14,6.8,5.2,89.66,9.89,74.2,46.1,1009.2,76.7,9.7
2018-01-15,6.2,4.4,88.46,10.14,59.4,37.7,988.6,62.4,18
2018-01-16,2.3,0.4,87.26,5.26,85.3,46.3,985.2,59.9,20.9
2018-01-17,3.4,1,84.45,9.88,72.4,44.7,994.9,57.9,14.9
2018-01-18,3,1.5,89.99,14.52,40.7,26.2,995.8,56,24.3
2018-01-19,3.2,1.1,86.04,4.14,64.8,38.7,1001.2,54.2,24.1
2018-01-20,2.1,0.4,88.5,6.95,53.6,29.8,1002.1,43.5,20.3
2018-01-21,2.8,1.5,90.8,10.65,55.4,32.7,1005.2,76.9,15.2
2018-01-22,7.2,5.3,87.7,1.2,61.2,33.9,1006.4,74.5,13
2018-01-23,8.8,7,88.32,6.81,70.6,36.5,1001.8,61.5,14.9
2018-01-24,7.7,4.5,80.47,5.99,88.9,54,990,48.5,16.3
2018-01-25,5.4,2.8,83.51,3.19,48.2,27.7,998.1,48.2,22.2
2018-01-26,3.3,1.7,89.61,0.4,,22.9,1018.3,28.9,19
2018-01-27,8.5,6.4,86.82,10.78,68.4,41.2,1014.5,69.7,12.6
2018-01-28,10,8.5,90.38,5.56,69.4,43.9,1018.6,66.1,13.6
2018-01-29,6.8,4.2,83.86,6.62,77.8,44.3,1021.8,46.7,16.6
2018-01-30,5.7,3.2,84.04,0.4,57.6,37.6,1019,56.4,19.6
2018-01-31,4.1,1.9,85.98,8.74,76,43.6,995.9,53,18.2
2018-02-01,5,1.3,76.92,1.95,55.4,37.4,1004.9,27.9,18.3
2018-02-02,4.9,2,81.78,0.4,,24.7,1012.6,29.4,18.6
2018-02-03,4.7,2.9,87.92,4.34,,20.4,1008.4,54.7,19.1
2018-02-04,3.1,1.2,87.38,0.4,,9.8,1029.2,32.2,22.8
2018-02-05,1.8,-1.2,80.97,0.2,,19.2,1028.5,57,27.1
2018-02-06,2,-1.1,80.58,3.35,,24.4,1020.5,40.4,21.9
2018-02-07,1.1,-1.1,85.62,1.36,,26.6,1019.5,47.7,22.6
2018-02-08,6.3,4.9,91.05,5.59,,28.3,1007.1,70.4,13.2
2018-02-09,3.3,0.7,83.16,3.46,47.4,29.4,1008.3,43,21.3
2018-02-10,5.5,3.9,89.16,14.91,51.8,35.1,999,78.6,10.8
2018-02-11,1.9,0.2,88.21,19.71,48.2,31.9,1000.4,59.7,20.5
2018-02-12,3,0.5,83.67,5.17,61.2,38.3,1005.3,55.3,22.7
2018-02-13,3.5,0.4,80.54,8.44,61.2,41.6,995.8,52.4,21.9
2018-02-14,4.8,2,82.32,5.36,74.1,51.5,992.1,64.7,16.9
2018-02-15,4.5,0.4,74.67,0.86,66.6,43.5,999.9,51.1,20.9
2018-02-16,5.5,2.4,80.99,0.2,59.4,32.9,1015.8,42.6,18
2018-02-17,5.3,3.4,87.83,2.21,48.2,29.8,1016.4,54.6,20.3
2018-02-18,5.3,4.4,93.92,4.39,,19.9,1017,72.8,11.8
2018-02-19,8.8,8.2,96.56,4.13,,22.3,1016.9,84.2,9
2018-02-20,6.4,3.9,83.96,1.55,,23.7,1025.6,25.6,14.3
2018-02-21,4.3,1.9,84.78,0.2,,12.3,1028.7,49.4,15.3
2018-02-22,3.6,0.8,82.04,3.2,46.4,30.8,1023.6,61.7,14.1
2018-02-23,3.3,-1.1,73.56,0,55.4,34,1020.5,50.1,13.4
2018-02-24,2.1,-2.7,70.71,0,,27.9,1023.2,34.9,15.3
2018-02-25,2.3,-2.2,72.9,0,,21.3,1029.3,13.9,18.9
2018-02-26,0.5,-4.6,69.2,0,,21.6,1035.3,52.9,29.8
2018-02-27,-0.3,-4.4,74.33,0.4,46.4,27,1030,46.5,29.9
2018-02-28,-3,-6.6,76.5,0,55.9,31.3,1024.3,37.1,28.7
2018-03-01,-1.7,-5.7,74.05,0,59.4,38.2,1012.6,51.8,23.5
2018-03-02,0.8,-3.7,71.81,0.8,59.4,40,1001.5,79.3,21.8
2018-03-03,1,-2.8,75.62,0,35.3,29.4,996.6,73.9,16.5
2018-03-04,2,-0.5,83.54,0.38,,25.6,989.9,77.4,9
2018-03-05,4.2,2.5,89.06,2.3,51.8,20.1,986.2,72.7,12.2
2018-03-06,3.9,2.4,89.98,13.69,,24.1,985.7,80.9,20.4
2018-03-07,4.4,2.4,87.25,2,,20.5,988.6,70,21
2018-03-08,3.1,0.9,85.85,2.14,61.2,22.9,991.8,36.7,22
2018-03-09,4.5,0.3,75.01,0.57,48.2,24.2,998.7,30.9,24.3
2018-03-10,5.1,3.5,89.64,12.03,35.3,26.9,990.1,75.5,13.8
2018-03-11,6.9,5.3,89.33,1.32,,11.8,991.3,52.8,12.8
2018-03-12,5.9,3.4,84.85,4.2,,12.9,994.1,55.2,20.2
2018-03-13,6.1,3,81.39,0.44,,17.6,1004.4,53.9,21.5
2018-03-14,7,3.5,78.67,6.01,68.4,45.3,995.4,74.7,16.5
2018-03-15,6.7,4.2,84.32,13.36,57,34.7,987.9,75.9,11.2
2018-03-16,5.7,2.5,80.38,0.7,54.9,36.5,999.3,78.4,24
2018-03-17,1.5,-4.4,65.43,0.2,57.6,36.6,1016.6,57.2,24.5
2018-03-18,0.5,-5.4,64.84,0,51.8,33.3,1020.2,57.8,25.4
2018-03-19,2.8,-4.1,61.58,0,38.9,27.5,1025,24.5,26.2
2018-03-20,2,-2,75.84,0,,17.5,1032.1,11.2,24.7
2018-03-21,5.3,3.1,85.84,2.19,,24.8,1027.2,70.8,14.9
2018-03-22,7.2,4.8,84.41,1.59,50,32.2,1012.1,79.4,14.3
2018-03-23,6.9,4.9,87.35,10.85,48.2,33.9,992.1,73.5,16.5
2018-03-24,5.2,2.3,82.62,0.2,,18.4,1002.9,26.6,20.4
2018-03-25,5.8,2.6,81.03,0,,20.9,1011.4,31.5,22.8
2018-03-26,4.7,2,83.57,0.2,,19.6,1014.5,33.5,20.9
2018-03-27,6.8,4.9,87.61,16.08,46.4,30.9,1002.2,76.8,14.9
2018-03-28,5,2.3,82.74,3.4,,22.4,1001.7,52.5,24
2018-03-29,4.3,0.6,78.5,0.2,33.5,25.6,999.2,39.3,25.5
2018-03-30,4.8,1,77.02,0.8,46.4,26.3,999.3,63.5,31.3
2018-03-31,4.5,1.2,79.53,0.2,40.7,22.5,1005.8,74.2,28
2018-04-01,3.9,-0.8,72.35,0.4,,14.5,1012.8,71.6,28.4
2018-04-02,2.7,0.2,83.76,8.1,54.6,37.5,998.5,80.6,19.2
2018-04-03,4.1,3.1,92.86,14.29,,23.5,988.1,89,16.1
2018-04-04,3.8,2.6,91.84,19.07,46.4,25.7,993.9,75,17.5
2018-04-05,4.8,0.1,72.69,0,,23.3,1011.6,32.6,28.6
2018-04-06,7.8,3.8,75.92,9.53,55.5,37.1,1004.8,67.1,17.9
2018-04-07,8.2,6.8,90.51,2.28,51.8,29.1,1004.7,59.7,8.5
2018-04-08,7.4,6.2,92.01,0.68,,11.5,1008.2,68.4,10
2018-04-09,8.7,6.2,85.14,1.24,,19,1006.9,63.8,14.4
