datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.7,2.8,87.93,6.11,58.2,32.8,991,57.7,30.6
2018-01-02,4.7,3.2,89.63,11.88,72.4,34.5,993.5,72.3,20.5
2018-01-03,5.4,3.9,90.54,19.41,77.8,34.1,984.4,67.5,18.5
2018-01-04,4.4,3.7,95.37,13.57,35.3,14.4,987.7,78.8,19.6
2018-01-05,2.3,1.6,94.92,4.5,,20.2,992.6,74.3,30.6
2018-01-06,1.5,-1.4,81.28,1.22,50,28,1018,42,33
2018-01-07,-1.9,-4,85.88,20.2,,10.5,1032.3,2.4,34.1
2018-01-08,-0.3,-3.7,78.34,10.2,,20.1,1024.9,9,35.1
2018-01-09,1.8,0.3,89.91,0.4,38.9,18.5,1005.2,68.1,13.3
2018-01-10,3.2,2.6,95.93,3.79,,20.6,1004.1,85.4,5.9
2018-01-11,1.6,1.2,97.32,0.4,,9.5,1020.8,57.1,9.1
2018-01-12,4.3,2.3,86.83,0.4,55.4,27.9,1022.8,65.9,18.8
2018-01-13,4.6,2.2,84.62,3.58,59.4,30.8,1015.7,88,14.3
2018-01-14,5.1,3.9,91.85,5.93,75.9,54.4,1009.5,86.7,8.8
2018-01-15,5.1,3.7,90.72,23.75,61.7,42.6,987.7,64.2,25.7
2018-01-16,1,-0.2,91.6,6.54,85.3,33.4,984,59,23.4
2018-01-17,1.8,0.3,89.94,11.67,64.5,33.4,993.8,52.9,22.8
2018-01-18,1.6,0.6,93.5,186.29,40.7,19.8,995.3,68.3,34.5
2018-01-19,1.7,0.4,90.89,230.78,64.8,30.4,1000.5,66.6,31.5
2018-01-20,0.6,-0.6,92.14,9.2,53.6,23.9,1002.1,46.3,25.1
2018-01-21,0.5,-0.6,92.69,9.16,55.4,28.7,1005.7,85.9,22.4
2018-01-22,5.3,4,91.52,13.34,61.2,30,1005.6,80.2,14.9
2018-01-23,7.4,6,91.14,12.26,68.4,38.9,1001.5,66.2,23.4
2018-01-24,6.7,4.1,83.66,12.12,84.1,54.1,989.4,67.4,22.5
2018-01-25,4.4,2.4,86.79,3.35,55.4,32.3,998.4,53.2,29.5
