datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,0.7,0.3,96.98,18.65,100.1,19.9,990,49.4,28.9
2018-01-02,1,0.1,93.86,7.77,88.9,18.6,992.7,55.4,27.5
2018-01-03,1.1,0.7,97.21,1,48.2,9.7,983.7,62,17.9
2018-01-04,0.9,0.5,97.33,8.8,55.4,10.9,989.4,72.7,23.7
2018-01-05,1.1,0.5,96,8.53,64.8,21,995.1,68.2,22.8
2018-01-06,0,-2.7,82.57,0.75,96.5,27.9,1021.6,67.5,26.6
2018-01-07,-3.8,-6,84.47,0,,12.8,1032.8,8.1,34.4
2018-01-08,-1.6,-5.9,72.48,0,133.6,26.3,1025.5,5.6,34.2
2018-01-09,2.3,0,85.09,1.2,109.4,28.7,1005.6,35.8,27.9
2018-01-10,1.7,0.6,92.2,1.4,87.1,19.9,1004.9,57.2,29.5
2018-01-11,-0.7,-1.1,96.84,0.4,,9.8,1022.1,38.5,25.7
2018-01-12,2.5,-0.4,81.49,0.2,98.3,30.8,1021.9,39.3,37.2
2018-01-13,3.4,0.1,78.97,0.4,87.1,31.3,1015.2,62.6,23.8
2018-01-14,4.4,1.7,82.48,5.75,83.3,34.6,1004.3,63.6,25.8
2018-01-15,2.3,0.9,90.53,13.48,,23.2,984.3,54.9,19
2018-01-16,-1.6,-2.7,92.25,0,31.7,21.4,979.7,49.6,12.2
2018-01-17,-0.8,-2.1,91.2,215.07,55.4,21.6,990.5,47,20.2
2018-01-18,-1.6,-2.3,94.98,64.62,,13.6,994.3,45.2,19.2
2018-01-19,-1.5,-2.4,93.77,160,,14.8,997.7,30.1,20.7
2018-01-20,-4.5,-5.4,93.93,140,,8.5,1002.8,36.3,25.6
2018-01-21,-2.4,-4.1,88.46,130,81.7,26.2,1004.7,61.8,25.7
2018-01-22,4.1,2,86.48,9.77,,22.1,1001.7,63.1,17.5
2018-01-23,5.1,3.5,89.64,24.81,46.4,25,997.5,58.8,19.4
2018-01-24,3.5,1.6,87.71,58.86,94.7,43.9,984.1,55,17.1
2018-01-25,1.3,0.6,95.45,16,72.4,16.8,998.1,57.2,19.1
2018-01-26,1.3,0.2,92.36,0.73,51.8,19.4,1017.9,46.9,30.1
2018-01-27,4.9,2.4,83.84,9.34,177.8,45.1,1008.2,60.9,16.2
2018-01-28,5.6,3.9,89.3,9.88,183.6,37.3,1012.9,59.8,15.8
2018-01-29,2.6,0.6,86.64,24.1,183.6,35.1,1017.9,45.9,28.5
2018-01-30,3.4,1.6,87.81,15.4,142.6,41.5,1013.2,61.3,17
2018-01-31,0.7,-0.8,90.12,17.47,155.5,33.8,991.3,50.1,18.2
2018-02-01,1.8,-0.3,86.03,21.68,153.7,25.2,1003.2,52.2,22.2
2018-02-02,1.6,-0.1,88.65,6.93,63,16.7,1012.4,61.2,29.6
2018-02-03,1.4,0.9,96.13,6.05,48.2,11.9,1009.2,68.1,19.7
2018-02-04,1.2,0,91.89,4.24,13,13.1,1030.4,53.1,33.8
2018-02-05,0.7,-1.9,83.24,0,66.6,23.1,1026.7,56.6,38
2018-02-06,-0.9,-2.6,88.72,2.35,183.6,22.2,1020.2,41.6,25.2
2018-02-07,-1.7,-3.3,88.68,26.36,85.3,32.7,1017.2,48.9,22.1
2018-02-08,2.5,1.4,92.63,4.71,90.7,22.2,1004.3,60.3,16.2
2018-02-09,-0.1,-2.5,83.71,4.66,124.2,19.6,1006.4,34,32
2018-02-10,2,-0.1,86.19,4.98,137.2,38.3,996.4,60,18.8
2018-02-11,-1.6,-3.2,89.02,1.39,133.6,25.6,998,40.4,27.4
2018-02-12,-0.6,-2.5,87.33,5.17,137.2,37.4,1002.1,43.7,23.2
2018-02-13,0,-1.6,88.78,7.26,140.8,38.3,993.9,51.3,23.4
2018-02-14,1.1,-1.6,82.4,8.34,176,44.8,989,56.4,21.4
2018-02-15,1.1,-0.5,89.22,28.21,142.6,45.8,994.1,55.8,13.4
2018-02-16,1.8,-0.3,85.84,17.49,129.6,30.2,1012.5,44.5,25.7
2018-02-17,2.1,0.4,88.62,16.09,105.5,28.1,1014.4,47,29.4
2018-02-18,2.1,0.8,91.13,0.6,64.8,15.6,1016.7,52.2,28.7
2018-02-19,5.5,5.1,97.05,6.84,64.8,16.8,1016,72.8,19
2018-02-20,2.6,1.1,89.86,2.11,88.9,22.8,1025.9,39.1,18.4
2018-02-21,-1.2,-2.8,89.69,0,63,13.6,1029.8,10.2,13.5
2018-02-22,1.2,-1.8,81.14,0.2,103.7,29.7,1023.1,55.9,22.6
2018-02-23,0.9,-3.5,72.73,0,124.2,27.4,1020.7,31.6,19.9
2018-02-24,0.3,-5.1,67.85,0,151.9,29,1024.7,4.5,27
2018-02-25,-0.3,-4.7,72.72,0,77.8,20,1031.3,0,29.7
2018-02-26,-1.4,-5.3,75.78,0,111.2,22.8,1037.9,45.2,36.8
2018-02-27,-2.6,-5.7,80.5,0.81,105.5,20.9,1034.3,50.8,30.9
2018-02-28,-6.2,-9,80.73,0,103.7,25.8,1031.6,42,27
2018-03-01,-5.2,-8.3,79.08,10,144.7,34.4,1021.8,50.8,22.1
2018-03-02,-2.4,-5.3,80.49,13.64,161.3,30.6,1009.9,69.8,17.8
2018-03-03,-1.1,-4,80.68,13.64,118.4,30.4,1002.2,68.4,22.2
2018-03-04,-0.9,-3,85.77,7.42,96.5,21.9,995.4,74.3,14.5
2018-03-05,1.1,-0.1,91.41,2.4,118.4,27,990.5,75.1,27.9
2018-03-06,0.5,-0.3,94.38,4.66,107.6,29.2,989.9,77.3,15
2018-03-07,1.1,-0.3,90.38,6.72,70.6,19,988.5,61.9,31.7
2018-03-08,1.4,-1.4,82.04,0.77,68.4,20.1,990.1,49.4,32.4
2018-03-09,0.9,-1.6,83.85,2.42,96.5,22.5,996.9,29.4,28.1
2018-03-10,0.4,-1.1,89.78,3.82,114.8,29.9,995.4,61.2,26.3
2018-03-11,3.2,2.3,93.88,3.39,50,11.2,993.1,75.1,32.4
2018-03-12,2.4,1.1,91.52,0.4,18.4,7.9,996.1,81.8,31.5
2018-03-13,2.7,0.7,87.39,1,68.4,20.3,1004.4,59.2,30.2
2018-03-14,4.4,0.5,75.81,0.2,170.6,39.3,998.3,57.6,32.1
2018-03-15,3.7,0.9,82.19,4.62,183.6,49.1,994.1,70.6,15.9
2018-03-16,2.3,-1.2,77.55,2.2,168.5,44.3,1006.1,68.4,28
2018-03-17,-1.2,-6.2,69.29,0.2,164.9,39.4,1022.4,65.2,22.1
2018-03-18,-1.7,-6.1,72.4,20.4,103.7,28.9,1026.4,64.3,26.3
2018-03-19,-1,-5.6,72.98,0,116.6,16.4,1028.9,20.1,33.7
2018-03-20,-0.5,-5,74.58,0.2,72.4,16.3,1032.4,19.1,32.4
2018-03-21,5,2.7,85.2,0.8,144.7,36.9,1022.7,63.9,25.8
2018-03-22,6.1,3.4,82.84,3,122.4,29.4,1009.4,70.9,30.2
2018-03-23,4,2,87.12,13.94,146.5,39.1,989.4,58,27.1
2018-03-24,2.6,-0.1,83.01,5.58,83.5,25.8,1001.6,45.6,30.7
2018-03-25,3,0.4,83.59,2.47,107.6,22.2,1009.9,47.1,31.5
2018-03-26,2.1,-1.8,77.87,0.49,120.6,13.2,1014.3,48.1,35.9
2018-03-27,3.9,1.6,85.24,3.78,109.4,22.1,1000.5,66.8,24.5
2018-03-28,2,-0.3,85.68,2.52,76,17.9,1000.4,44.6,26.5
2018-03-29,0.6,-2,84.18,0.2,53.6,20,1002.3,33.9,32.3
2018-03-30,1.5,-0.6,86.1,2.4,92.5,24.3,1004.7,65.9,30.7
2018-03-31,0.9,-2.1,81.5,0.4,70.6,21,1010.1,61.7,32.6
2018-04-01,-0.8,-4.6,77.66,0.2,,11.1,1014.8,31,35.4
2018-04-02,0.6,-2.1,82.61,11.6,103.7,29.7,1005.1,63.2,30.8
2018-04-03,0.2,-0.6,94.48,57.51,103.7,21.7,993.1,73,10.7
2018-04-04,0.5,-1.6,86.81,7.65,166.7,20,998.2,51.4,20.2
2018-04-05,1.1,-2.4,79.27,0.61,87.1,20.4,1010.6,44.6,31.9
