datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,1.6,0.8,94.42,12.06,,18.2,988.2,32.6,31.7
2018-01-02,2.4,1.1,91.18,5.4,77.8,33.4,991.1,36.1,28.5
2018-01-03,-0.1,-0.7,96.17,2,50,10.9,983.1,34.3,20.8
2018-01-04,2.3,1,91.32,21.43,51.8,19.8,990.2,61.8,20.9
2018-01-05,2.8,1.3,90.34,2.57,87.1,30.6,996.8,52.4,28.1
2018-01-06,2,-1.6,77.45,1.35,83.5,31.8,1021.9,73.3,20.8
2018-01-07,1.1,-2.9,75.06,0,61.2,22.6,1029.2,20.6,36.8
2018-01-08,1.4,-4.1,68.45,0,90.7,36.5,1023.2,17.2,30.8
2018-01-09,5.3,2.6,82.89,0,90.7,38.2,1005.1,60.6,22.5
2018-01-10,4.3,2.7,89.27,0.46,83.5,32.9,1003.5,61.3,29.2
2018-01-11,0.5,-0.9,90.92,0.4,,11.7,1020.9,17.1,30.7
2018-01-12,4.7,2.1,83.67,0.4,85.3,35.6,1020.2,19.9,31.3
2018-01-13,5.6,2,77.84,0,88.9,41.6,1013.6,58.4,23.5
2018-01-14,6.5,3.4,80.65,2.37,88.9,47.7,999.3,51.4,27.6
2018-01-15,3.7,1.9,88.08,8.69,76,23,980.6,48.3,22
2018-01-16,0.5,-1.6,85.92,0.34,90.7,30.3,975,34.3,24.2
2018-01-17,1.4,-0.5,87.35,35.93,81.7,39.5,986,44.2,21.7
2018-01-18,0.8,-0.9,88.3,11.8,59.4,19,991.2,34.1,26.4
2018-01-19,0.2,-1.2,90.29,71.65,55.4,20.1,994.4,29,25.1
2018-01-20,-2.3,-3.4,91.95,130.67,,13.4,1000.5,22.4,27.4
2018-01-21,-0.9,-2.7,87.75,113.72,88.9,48.9,1002.5,46.4,23.9
2018-01-22,5.6,3.6,87.02,22.16,77.8,34.7,997.4,56,16.3
2018-01-23,6.4,4.5,87.82,13.54,96.5,30.7,993.6,46.8,23.7
2018-01-24,5,3.2,87.68,16.81,76.5,43.8,980.4,55.5,20.4
2018-01-25,3,2,93,4.58,51.8,16.8,996.9,47.4,31.9
2018-01-26,3.3,1.3,87.25,1.58,51.8,15.4,1016.5,53.2,23.1
2018-01-27,6.7,3.5,80.19,1.83,118.4,67.9,1002.2,54.6,19.7
2018-01-28,6.4,3.5,82.24,3.86,99.3,65.6,1009.5,62.7,17.9
2018-01-29,4,1.8,85.78,9.63,90.7,42.5,1013.9,39.7,24.4
2018-01-30,5.4,3.7,88.67,17.69,81.7,29.9,1007.9,50.5,17
2018-01-31,3,0.9,86.12,11.19,85.3,43.1,987,47.8,23.6
2018-02-01,4.6,2.4,86.24,11.54,101.9,53.2,1001.1,44.8,14.1
2018-02-02,3.4,1.8,89.55,2,68.4,24.4,1011.1,44.4,20.7
2018-02-03,3.1,2.3,94.16,2.41,51.8,14.1,1008.1,64.7,20.6
2018-02-04,2.4,1.4,93.27,1.06,,7.3,1029.2,26.9,28.5
2018-02-05,2,0,87.02,0.2,66.6,22.3,1023.8,28.9,28.9
2018-02-06,0.8,-0.7,89.67,0.88,61.2,24.5,1018.3,36.7,24.1
2018-02-07,1.2,-0.8,86.89,4.8,79.6,30.4,1013.1,50.3,25.6
2018-02-08,4.4,2.4,86.93,1.07,59.4,20.2,1001.3,48.9,20.7
2018-02-09,2.2,-0.4,83.47,2.5,64.8,22.3,1003.2,35.7,31.9
2018-02-10,3.7,0.9,82.33,1.99,83.5,45.6,993.1,50.7,24.2
2018-02-11,0.4,-1.5,87.27,1.2,68.4,33.1,995.1,26.9,22.9
2018-02-12,1.4,-1.3,82.24,30.6,66.6,33.9,998.7,32,30.9
2018-02-13,2.4,-0.4,81.72,5.55,77.8,44.3,991.1,45.9,27.3
2018-02-14,3.6,0,77.67,1.2,85.3,55.3,985.6,50.7,29.7
2018-02-15,3.5,1.4,86,15.79,85.3,34.2,989.2,40.3,22.2
2018-02-16,4.1,0.9,79.99,1,77.8,31.6,1009.3,23.1,31.5
2018-02-17,4.1,1.8,84.99,4.4,66.6,27.9,1011.6,37.1,30.4
2018-02-18,3.3,1.6,88.93,0.4,,16,1015.3,48.4,31.7
2018-02-19,6.1,5.5,95.94,4.03,,22.9,1014.1,73.3,15.5
2018-02-20,4.4,2.9,90.62,4.15,51.8,23.7,1024,37.8,14.9
2018-02-21,2,0.1,87.97,0.2,,12.9,1028.2,5.3,15.6
2018-02-22,4.5,0.7,76.5,0,51.8,26.5,1020.8,51.2,28.2
2018-02-23,3.6,-0.9,73.11,0,66.6,29.1,1018.5,12.1,24.4
2018-02-24,3.4,-2.6,65.45,0,68.4,28.3,1023.4,12.9,29.5
2018-02-25,1.7,-2.3,75.55,0,61.2,21,1030.5,8.8,21.5
2018-02-26,1.9,-3,70.91,0,63,30,1037.7,32.4,33
2018-02-27,0.3,-2.7,80.93,12.46,61.2,27.6,1035.4,54,26.5
2018-02-28,-3.2,-6.1,80.93,0,69,37.6,1034.2,39.6,17.2
2018-03-01,-2,-4.6,81.93,190,70.6,43.7,1025.5,55.4,11.1
2018-03-02,-0.4,-3,82.36,69.02,61.2,37.8,1013.5,67,16.9
2018-03-03,0.9,-1,87.21,1.2,59.4,34.5,1004.7,66.3,18.8
2018-03-04,1,-0.4,90.71,4.03,57.6,29.9,997.8,63.3,12.4
2018-03-05,2.3,1.5,93.91,8.57,76,37.9,992.9,76.5,8.9
2018-03-06,1.9,0.3,89.45,10.47,70.6,36,993.6,75.8,10.8
2018-03-07,3.5,2.3,92.12,17.04,70.6,38.2,988.3,53.1,19.5
2018-03-08,2.7,0.3,84.44,0.2,,13.4,988.9,31.3,29.6
2018-03-09,2.5,-0.2,82.92,0.4,,11,995.3,24.4,30.8
2018-03-10,1.3,0.3,93.13,1.36,63,33.4,997.6,47.2,18
2018-03-11,3.9,3.4,96.36,9.59,81.7,33.7,993.9,78.8,18.1
2018-03-12,4.4,3.5,93.51,0.74,50,19,996,76.2,21.6
2018-03-13,4.7,1.1,78.08,0.4,51.8,25.8,1003.9,65,23.4
2018-03-14,5.6,2.7,81.25,0,81.7,57.3,998.9,57.5,24.4
2018-03-15,4.9,2.3,83.35,0,98.3,65.3,996.1,76.7,10
2018-03-16,3.4,0.8,83.07,0.6,90.7,65.7,1008.3,67.6,14.1
2018-03-17,1.6,-4.4,64.92,0,87.1,47.1,1024,74.2,24.5
2018-03-18,1.1,-4.9,64.58,0.4,53.6,30,1028.4,62.9,30.5
2018-03-19,0.7,-3,76.71,0,,27.6,1029,27.2,31.8
2018-03-20,3.8,-1.4,70.38,0,48.2,29.4,1030,49.7,31.8
2018-03-21,6.5,4.1,84.67,2.08,77.8,37.4,1018.5,60.3,20.2
2018-03-22,7.6,4.4,80.66,1,57.6,25.7,1006.7,52.3,26.3
2018-03-23,5.3,3.6,89.4,15.59,85.3,44.3,986.9,59.2,21.8
2018-03-24,5.6,2,78.11,0.4,66.6,29.1,998.2,33,30.2
2018-03-25,4.9,2.4,84.28,0.8,50,27.1,1007.4,34.5,27.5
2018-03-26,4.6,1.6,82.34,0.4,51.8,20.2,1012.9,40.2,34.5
2018-03-27,5.1,3.3,87.99,6.4,85.3,40,999.6,65.9,25.4
2018-03-28,4.5,1.7,82.58,6.71,,21.3,998.6,42.7,23
2018-03-29,2.7,0.7,86.89,0.85,63,33.8,1002.4,41.1,25.1
2018-03-30,3.1,0.9,85.25,3.21,61.6,35.6,1007,57.1,22.3
2018-03-31,2.8,-1.7,73.65,2.2,,19.6,1011.3,40.2,29.6
2018-04-01,1.6,-1.5,80.49,0.2,59.4,22,1013.8,35.2,32.8
2018-04-02,2.2,-2.2,73,2.4,53.6,27.6,1007.1,42.2,33.3
2018-04-03,2.5,0.7,87.99,3.04,,23,995,55.3,22.1
2018-04-04,2.5,-0.8,80.19,3.23,50,20,998.6,38.3,27.6
2018-04-05,3.1,-1.5,73.09,0.79,68.4,32.9,1008.8,25.5,29.9
2018-04-06,4.7,2.1,83.46,8.74,77.8,37.7,1007.5,65.7,20.2
2018-04-07,8.4,5.7,83.49,4.19,55.4,27.6,1002.4,56.5,24.8
2018-04-08,7.3,6.4,94.3,11.5,,10,1007.1,73.9,19.8
2018-04-09,6.9,5.6,91.29,1.05,51.8,25.9,1008,71.1,24
2018-04-10,5.7,4.3,90.76,0.3,48.2,27.9,1015.3,77.9,21.8
2018-04-11,6.4,4.2,86.11,3.71,68.4,37.2,1016.1,63.4,12.1
2018-04-12,6.4,3.5,82.35,0,68.4,38.3,1013.7,27.5,12.6
2018-04-13,6.1,4.1,86.76,1.02,66.6,35.8,1010.4,66,10.1
2018-04-14,7.6,5.5,87.59,0.2,,13.1,1012.2,63,15.2
2018-04-15,7.2,4.7,85.2,0.2,51.8,27.6,1008.8,20.8,14.3
