datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,3.7,2,88.67,5.86,50,21.4,990.2,46.1,38.7
2018-01-02,3.3,2.1,91.66,7.09,72.4,21.2,994.2,64.1,29.4
2018-01-03,4.6,3.4,92.14,16.89,77.8,27.2,983.2,70.7,24.9
2018-01-04,4.1,3.5,95.94,10.46,35.3,11.7,987.6,80.7,18.5
2018-01-05,2.6,2.1,96.17,11.83,,18.3,992.6,78.6,25.3
2018-01-06,2.5,-0.9,78.38,6.3,53.6,26.9,1017.7,69.2,33.1
2018-01-07,-1.6,-3.5,86.81,0.2,,9.4,1032.5,15.5,35.3
2018-01-08,-1,-3.2,85.92,0.2,,14.3,1026.4,18.8,30.7
2018-01-09,2.5,1.1,90.83,0.2,48.2,19.3,1006.7,86.1,12.3
2018-01-10,2.8,2.3,96.01,1.45,,11,1004.3,93.4,6.7
2018-01-11,3.5,2.6,93.87,0.4,,9.4,1020.4,88,20.3
2018-01-12,4.2,2.5,89.1,0.4,,16.5,1024.1,80.5,16.4
2018-01-13,4.1,1.8,84.89,0,,19.9,1017.4,85.2,12.9
2018-01-14,4.2,2.3,87.56,1.47,73.3,41,1010.3,83.5,11.3
2018-01-15,4.9,3.3,89.26,14.32,72.2,38.8,986.7,63.3,36.1
2018-01-16,0.3,-0.7,92.92,3.66,53.9,25.8,982.9,55,28.5
2018-01-17,0.9,-0.8,88.16,118.84,59.4,29.2,992.3,39.3,32.7
2018-01-18,0.9,-0.4,91.28,69.59,,16.3,994.4,60.5,38.3
2018-01-19,0.6,-0.8,90.68,168.95,50,23.5,999.6,57.8,40.6
2018-01-20,-0.5,-2.1,89.01,1.37,,20.9,1001.6,30,37.2
2018-01-21,-1.1,-2.3,91.01,0.91,,19.2,1006.4,82.9,29.1
2018-01-22,4,2.7,91.22,4.29,48.2,23.6,1004.7,78.6,26.2
2018-01-23,7.1,5.5,89.44,10.26,60,38.6,1001.5,67.9,35
2018-01-24,6.5,3.8,82.94,15.22,81.1,48.9,989.3,62.7,25.8
2018-01-25,4.3,2,85.03,8.42,55.4,31,998.7,50.5,30.9
2018-01-26,3,1,86.7,0.6,,14.3,1018.1,68.1,38.5
2018-01-27,7.3,4.5,82.95,12.31,78.4,42.8,1012.2,69.7,26.4
2018-01-28,9,7,87.29,4.75,76.8,49.3,1015.4,73.3,22.2
2018-01-29,5.9,2.8,80.79,4.2,74.3,47.4,1018.9,44,37.6
2018-01-30,4.2,1.9,85.28,0.6,64.5,35.7,1017.6,77.7,36.5
2018-01-31,2.3,0.7,89.32,12.31,59.7,35.9,993.3,51.1,37.5
2018-02-01,3.3,-1,74.03,4,61.2,27.5,1000.5,34.1,47.2
2018-02-02,3.4,-0.3,77.06,0.8,55.4,18.8,1011,49,44.6
2018-02-03,1.9,1.2,95.41,1.92,,7.8,1008.3,87.7,21.2
2018-02-04,2.3,1.2,93.23,2.66,,7.2,1029.4,58.8,24.8
2018-02-05,0.3,-1.9,85.62,0.2,,13.5,1028.9,84.9,34.3
2018-02-06,0.3,-2.7,81.2,1.69,,17.4,1019.1,65.7,33.6
