datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.5,2.7,88.16,6.41,58,31.7,990.8,57.8,31.1
2018-01-02,4.6,3,89.63,10.09,72.4,31.3,993.5,72.3,21.5
2018-01-03,5.2,3.8,90.85,19,77.8,34,984.3,68.2,18.7
2018-01-04,4.3,3.7,95.59,13.03,35.3,13.2,987.6,80,19.5
2018-01-05,2.3,1.6,95.13,4.64,,20.9,992.7,77.4,29.7
2018-01-06,1.5,-1.5,80.95,1.39,53.6,29,1018.1,46.1,32.7
2018-01-07,-2.1,-4.1,86.44,20.2,,10,1032.3,2.7,33.2
2018-01-08,-0.4,-3.7,78.9,10.2,,18.9,1025.1,8.6,34.1
2018-01-09,1.7,0.2,89.69,0.4,38.9,16.6,1005.3,66.9,13.7
2018-01-10,3.2,2.5,95.73,2,,20.2,1004.1,87,5.9
2018-01-11,1.7,1.2,96.89,0.2,,9.6,1020.8,61.1,10
2018-01-12,4.3,2.1,86.33,0.2,55.4,26.1,1022.9,66.2,19.3
2018-01-13,4.5,2,83.89,2.44,59.4,29.1,1015.9,87.2,14.8
2018-01-14,5,3.6,91.02,3.06,74.9,53.8,1009.4,86.5,9.1
2018-01-15,5,3.6,90.68,23.85,63.8,42.5,987.5,63.9,25.8
2018-01-16,0.9,-0.3,91.91,6.71,85.3,32.6,983.8,59.7,22.8
2018-01-17,1.6,0.1,89.9,12.23,62,32.3,993.6,51.8,23.6
2018-01-18,1.5,0.5,93.42,216.41,40.7,19.3,995.1,70.3,34.7
2018-01-19,1.6,0.3,91.09,232.77,64.8,29.3,1000.3,68.2,31.7
2018-01-20,0.4,-0.7,92.1,6.52,53.6,23.3,1002,45.2,25.5
2018-01-21,0.2,-0.9,92.52,8.26,55.4,28.4,1005.7,85.4,22.8
2018-01-22,5.2,3.9,91.37,13.05,61.2,30,1005.4,81.2,15.3
2018-01-23,7.3,5.9,90.7,12.9,65.9,38.7,1001.4,66.6,24.8
2018-01-24,6.6,4,83.67,12.35,82.8,52,989.2,68.1,22.5
2018-01-25,4.4,2.3,86.47,3.37,55.4,31.6,998.4,52.3,29.2
2018-01-26,2.5,1.1,90.63,0.8,,23.4,1018.3,41.2,28.5
2018-01-27,7.3,5.5,87.96,13.7,68.8,44.5,1013.1,66.5,18.5
2018-01-28,9,7.8,92.06,7.42,71.2,43.5,1016.8,75.7,14
2018-01-29,5.7,3.4,84.96,7.31,77.2,45,1020.3,45.8,29.2
2018-01-30,4.6,2.5,86.63,0.6,57.7,37.2,1018,70.3,26.2
2018-01-31,2.5,1.1,90.82,13.93,76,37.4,994.4,54.7,27.8
2018-02-01,3.3,-0.1,78.59,4.66,61.2,29.1,1002.9,24.7,39.8
2018-02-02,3.3,0.4,81.58,0.4,55.4,19.3,1011.9,30.7,38.7
2018-02-03,2.7,1.8,93.62,3.61,,14.2,1008.4,80.1,18.5
2018-02-04,2.3,0.9,90.85,1.34,,8.2,1029.5,47.8,24.3
2018-02-05,0.9,-1.8,82.36,0.2,,18.7,1028.7,80.5,40.8
2018-02-06,0.3,-2.5,82.11,4.6,,21.8,1020,48.7,33
2018-02-07,-0.7,-2.9,85.58,1.6,53.6,31.4,1019.3,47.1,37.6
2018-02-08,5,3.9,92.73,4.08,55.4,29.4,1006.7,75.8,17.2
2018-02-09,2.1,-0.2,85.11,3.28,46.4,20.9,1007.6,40,33.8
2018-02-10,4.2,2.7,90.39,6.91,56.6,41.2,998.8,83.1,14.1
2018-02-11,0.9,-0.9,87.79,20.08,53.6,29,999.1,47.5,35.6
2018-02-12,1.5,-0.3,87.87,5.82,55.4,35.1,1005.2,64.2,32.5
2018-02-13,2.1,-0.4,84.12,5.9,64.8,40.9,995.8,55.5,31.6
2018-02-14,2.6,0.4,85.05,4.68,68.4,52.2,992.6,72.1,27.5
2018-02-15,3.2,0,79.32,3.28,62.7,40,999.1,71.1,27.9
2018-02-16,4.1,1.6,83.9,1.17,59.4,33.7,1015.7,58.9,26.2
2018-02-17,4.3,2.6,89.17,10.95,50,33.1,1016.3,66.5,29.3
2018-02-18,4.4,3.5,93.85,2.77,,18.8,1017.3,79.1,17.9
2018-02-19,8.2,7.5,95.35,8.45,,18.4,1016.2,86.8,17.1
2018-02-20,5.4,2.5,81.67,1.72,59.4,20.1,1025,24.8,25.7
2018-02-21,3.4,0.7,83.08,0,,10,1029,78,23.5
2018-02-22,2.1,-0.7,82.15,0.2,46.4,24,1024.3,59.3,19.7
