datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,4.9,3,87.48,12.04,63,25.8,990.5,58.6,18.8
2018-01-02,4.7,3.1,89.39,8.14,59.4,25,992.9,68.2,13.8
2018-01-03,5.3,3.7,89.71,17.3,63,32.5,984,75.2,12.6
2018-01-04,4.4,3.7,95.25,12.74,,16.1,987.6,86.3,12.9
2018-01-05,3.2,2,92.21,5.26,,15.1,992.7,86.4,19.4
2018-01-06,2.1,-2.1,74.31,0.87,55.4,28.8,1018.6,32.2,21
2018-01-07,-3.3,-4.9,89.02,20.2,,7.7,1032.3,0.2,17
2018-01-08,-2.2,-4.6,83.82,10.2,,19.9,1024.9,9.6,17.7
2018-01-09,2.5,0.5,86.62,0.2,38.9,20.9,1005,81,11.4
2018-01-10,3,2.2,94.32,0,,17.7,1004.1,95.6,5.4
2018-01-11,1,0.7,97.47,0.2,,7,1020.9,62.1,4.3
2018-01-12,3.3,1.5,88.58,0.2,55.4,19.7,1022.5,79.3,11.4
2018-01-13,4.7,2.4,84.78,3,59.4,21.8,1015.4,89.7,10.9
2018-01-14,6.3,4.4,87.72,3.75,76,48.4,1008.3,87.4,9.3
2018-01-15,5.1,3.5,89.63,14.65,60.3,39.9,986.9,66,16.4
2018-01-16,1.1,-0.1,91.6,9.76,85.3,32.8,983,66.6,14.9
2018-01-17,2.2,0.2,86.64,13.71,69.2,26,993,47.4,15.9
2018-01-18,1.6,0.6,92.84,91.83,40.7,17,995,60.2,21.3
2018-01-19,1.8,0.4,90.31,99.53,64.8,27.9,999.7,64.1,19.9
2018-01-20,0.3,-0.8,92.26,8.4,53.6,18.4,1001.9,28.6,18
2018-01-21,-0.1,-1.1,93.26,6.51,55.4,26.7,1005.3,73.9,11.1
2018-01-22,6.4,4.3,86.49,8.92,61.2,30.5,1004.8,80.7,11.9
2018-01-23,8.2,6.5,89.15,14.35,69.3,43.3,1000.4,78,15.6
2018-01-24,7.2,4.2,81.22,13.83,85.6,51.1,988.3,82.7,14.6
2018-01-25,5.3,2.7,83.39,1.58,51.8,31.7,998,76.4,17.6
2018-01-26,2.3,0.7,89.58,0.8,,19,1018.1,31,17.6
2018-01-27,7.9,5.7,86.17,6.07,72.5,40.8,1012.7,80.5,11.9
2018-01-28,9.5,8,90.74,6.7,74.9,49.6,1016.4,88.1,8.4
2018-01-29,6.3,3.3,81.21,9.39,80.5,46,1020.1,49.1,17.6
2018-01-30,5.7,3.4,85.2,0.6,59.3,40.5,1017.4,84.9,15.7
2018-01-31,3.1,1.3,88.39,14.58,76,33.9,994.1,65.5,16.7
2018-02-01,4.2,0.4,76.72,3.6,54.7,32.8,1003.2,23.8,21.2
2018-02-02,4.1,1.1,81.07,0.4,37.1,17.8,1012,40.3,20.5
2018-02-03,3.8,2.3,90.45,3.62,,15.1,1008.3,76.1,14.7
2018-02-04,3,1.5,90.75,1.52,,10.1,1029.4,57.6,14.6
2018-02-05,1.2,-1.3,83.81,0,,19.5,1028.3,86,20.3
2018-02-06,1.3,-2,79.46,3.44,,19.6,1019.9,33.7,19.6
2018-02-07,0.1,-1.9,86.51,1.6,53.6,29.5,1018.8,49,20.4
2018-02-08,5.8,4.4,90.84,1.91,55.4,26.7,1006.1,70.8,11.7
2018-02-09,2.4,-0.1,84.31,3.81,44.6,18.3,1007.5,37.6,20
2018-02-10,4.9,2.9,87.18,5.93,54.8,34.9,998.3,77.8,11.4
2018-02-11,1.4,-0.6,86.46,15.44,48.2,25.2,998.9,37.9,21.7
2018-02-12,2.1,0.1,86.42,6.96,55.4,26.9,1004.4,64.3,19.4
2018-02-13,2.9,-0.1,80.7,4.95,64.8,29.4,995.2,52.9,20.4
2018-02-14,3.7,0.8,81.23,4.93,63.4,40.8,991.6,60.4,18.8
2018-02-15,4,0.7,79.31,1.62,64.8,42.5,998.2,67.5,16.9
2018-02-16,4.8,2.1,82.8,2.29,59.4,32.4,1014.9,59,16.5
2018-02-17,5,3.2,88.35,11.9,48.2,25.1,1015.8,63.2,18.5
2018-02-18,4,3.3,94.82,2.29,,12.3,1017,79.5,11.3
2018-02-19,8.4,7.4,93.97,7.81,,21.3,1016.2,93,9.7
2018-02-20,6.1,2.7,79.76,1.47,,23.1,1025.1,20.5,15
2018-02-21,3.6,1.1,84.46,0,,7.3,1028.9,55,15.5
2018-02-22,3,-0.2,79.7,0,46.4,21.9,1023.9,61.8,14.1
2018-02-23,2.4,-2,73.3,0,50,23.4,1021.1,27.2,12.5
2018-02-24,1.8,-3.5,68.9,0,,21.8,1024.2,3.5,15.9
2018-02-25,2,-2.2,74.28,0,,21.3,1030.4,0.2,16.1
2018-02-26,0.3,-4.4,71.38,0,37.1,22.5,1036.3,56.8,24.1
2018-02-27,-0.5,-3.9,78.33,10.4,59.4,27,1030.9,53.3,20.1
2018-02-28,-3.7,-5.8,85.82,0,63,34.5,1026.3,73.6,12.4
2018-03-01,-2,-4.4,83.62,180,63,39.8,1015.2,72.2,10
2018-03-02,0.4,-3.1,77.61,0.8,59.2,39.6,1004.2,94.9,14.4
2018-03-03,0.8,-2.8,76.85,0.2,51.8,28.7,998.5,93.6,15.6
2018-03-04,1.4,-0.9,84.59,1.6,,25.9,991.8,95.6,8.2
2018-03-05,3.1,2,92.59,147.96,38.9,23.9,987.5,94.9,11.1
2018-03-06,2.7,1.7,92.72,19.92,,25.7,986.5,96.3,13.1
2018-03-07,3.6,1.9,88.95,20.18,,22.6,988.5,82.4,14.9
2018-03-08,3,0.8,86.02,3.54,46.4,22.6,991.3,47,19.8
2018-03-09,4.3,0.8,78.09,3.02,48,27.9,998.2,41,19.5
2018-03-10,4.2,2.6,89.43,12.66,35.3,29.9,992.1,89.1,12.9
2018-03-11,6.1,4.8,91.62,20.7,,12.7,991.7,73,9.7
2018-03-12,5.7,3.3,84.95,20,,13.1,994.6,95.2,16.3
2018-03-13,5.7,2.4,80.25,0.6,,19,1004.2,66.9,17.6
2018-03-14,6.7,2,72.15,0,59.4,31.1,997,67.5,21.6
2018-03-15,6.3,3.3,81.34,4.17,66.6,37.3,990,85.1,12.1
2018-03-16,4.7,2,82.6,2.6,54.2,39.2,1001.7,94.7,19.6
