datetime,temp,dew,humidity,precip,windgust,windspeed,sealevelpressure,cloudcover,visibility
2018-01-01,5.2,3.2,86.76,6.15,60.1,34.8,991.1,57.9,29.5
2018-01-02,5.3,3.5,88.48,13.07,72.4,41.2,993.4,73.1,18.6
2018-01-03,6,4.3,88.73,19.8,77.8,38.2,984.8,63.8,15.7
2018-01-04,4.8,3.9,94.22,14.75,35.3,15.3,987.6,75.1,18.7
2018-01-05,2.6,1.7,94.06,4.92,,17.9,992.5,70.4,32.3
2018-01-06,1.7,-1.4,79.91,1.24,50,27.1,1017.9,36,33.8
2018-01-07,-1.5,-3.9,84.12,20.2,,10.5,1032,1.7,34.7
2018-01-08,-0.1,-3.4,78.37,10.2,,22.6,1024.5,7.4,34.3
2018-01-09,2.1,0.6,89.54,0.4,38.9,19.3,1004.9,72.6,12.2
2018-01-10,3.4,2.8,95.53,4.12,,21.9,1004,83.6,6.2
2018-01-11,1.7,1.2,96.77,0.4,,10,1020.7,55.2,10
2018-01-12,4.7,2.6,86.55,0.4,55.4,28.2,1022.6,65.2,17.4
2018-01-13,5.1,2.7,84.56,3.57,59.4,33.5,1015.4,90.1,13.6
2018-01-14,5.7,4.4,91.31,6.55,77.4,53,1009.4,85.5,9.1
2018-01-15,5.5,3.9,89.57,22.29,61.2,41,987.9,64,24.3
2018-01-16,1.5,0,89.5,6.43,85.3,36.7,984.3,58.5,24.6
2018-01-17,2.4,0.5,87.77,11.27,67.7,35,994.1,55.7,20.4
2018-01-18,2,0.9,92.48,122.97,40.7,21.2,995.4,67.7,35
2018-01-19,2.3,0.7,89.17,193.14,64.8,32.6,1000.6,64.2,31.9
2018-01-20,1.2,-0.2,90.9,9.2,53.6,25.5,1002,48,26.3
2018-01-21,1.3,0.2,92.21,9.38,55.4,29.3,1005.5,87.1,21.4
2018-01-22,6,4.5,90.17,12.06,61.2,30.6,1005.8,79.5,14.1
2018-01-23,7.9,6.4,90.31,11.31,68.4,39,1001.6,66.2,21
2018-01-24,7,4.3,82.89,10.5,85.3,53.9,989.5,63.9,21
2018-01-25,4.8,2.6,86.09,3.11,55.4,31.1,998.3,53.3,29.4
2018-01-26,2.8,1.4,90.94,0.56,,24.5,1018.3,32.4,26.7
2018-01-27,7.7,5.9,88.17,14.44,68,41.4,1013.7,66.7,16.5
2018-01-28,9.3,8,92.09,7.78,74.2,44,1017.5,70.2,13.7
2018-01-29,6.1,3.8,84.92,7.45,79.6,45.8,1020.8,44.8,26.3
2018-01-30,5,2.9,86.13,0.6,56.5,37.2,1018.3,62.8,24.5
2018-01-31,3.2,1.5,88.79,13.93,76,36.8,994.9,49.5,25.4
2018-02-01,4,0.4,77.77,5.45,61.2,32.3,1003.6,20.4,34.4
2018-02-02,3.9,1,81.69,0.4,55.4,20.9,1012.1,29.2,33.4
2018-02-03,3.6,2.3,91.35,3.89,,17.3,1008.4,71.7,21.9
2018-02-04,2.6,0.9,89.28,0.7,,9.2,1029.4,40.8,26.9
2018-02-05,1.3,-1.5,81.73,0.2,,19.6,1028.6,70.5,36.7
2018-02-06,1.1,-1.8,81.16,4.68,,21.9,1020.1,45.2,25.3
2018-02-07,0,-2.1,86.12,1.48,48.2,29.5,1019.4,46.7,29
2018-02-08,5.5,4.5,93.06,4.87,,29.7,1006.9,72.7,15
2018-02-09,2.6,0.2,84.52,3.71,46.4,20.4,1007.8,42,31.7
2018-02-10,4.7,3.3,90.85,8.13,57.6,39.6,998.9,83.5,12.7
2018-02-11,1.3,-0.5,88.07,20.7,53.6,27.6,999.4,52.9,33.6
2018-02-12,2.1,0.1,86.75,5.47,55.4,36.3,1005.2,61.9,31.6
2018-02-13,2.6,0,82.83,6.94,64.8,42.2,995.8,55.8,31.1
2018-02-14,3.5,1.1,84.28,5.02,66.6,48.7,992.5,75.5,24.8
2018-02-15,3.8,0.2,77.52,2.9,66.6,41,999.4,68,26.5
2018-02-16,4.7,2.1,83.35,1.52,59.4,35.8,1015.8,55.8,23.8
2018-02-17,4.7,3.1,89.73,10.92,50,33.9,1016.4,66.7,27.4
2018-02-18,4.8,3.9,94.04,3.24,,19.2,1017.2,81,16.3
2018-02-19,8.4,7.8,96.12,3.93,,18,1016.5,85.1,14
2018-02-20,5.9,3,82.36,2.09,59.4,20.1,1025.2,21.1,21.5
2018-02-21,3.8,1.1,83.19,0,,8.8,1028.9,70.5,20.2
2018-02-22,2.7,-0.2,81.78,0.4,46.4,26.4,1024.1,63.3,18
2018-02-23,2.3,-1.7,74.76,0,55.4,28.3,1021.2,43.8,17.2
2018-02-24,1.7,-3.2,70.92,0,,23.7,1024,15.6,21.9
2018-02-25,1.8,-2.7,73.34,0,,18.8,1030.1,4.6,24.8
2018-02-26,0.1,-4.7,70.32,0,,22.6,1035.9,60,43.4
2018-02-27,-0.9,-4.3,78.17,10.57,50,27.3,1030.2,54.1,36.3
2018-02-28,-4,-6.5,82.38,0,55.8,34.3,1025.1,46,29.8
2018-03-01,-2.5,-5.4,80.66,180,59.4,37.3,1013.7,59.2,21.9
2018-03-02,0,-3.6,77.03,0.8,58.6,41.1,1002.8,94.1,23.9
2018-03-03,0.2,-2.9,79.43,0,50,29.2,997.6,87,21.1
2018-03-04,1.2,-0.6,87.7,0.43,,26.7,990.9,89.2,8.4
2018-03-05,3.4,2.1,91.22,87.14,48.2,21,987,87.3,16.2
2018-03-06,3,2,92.6,11.62,,23.7,986.1,88.8,23.3
2018-03-07,3.8,2.2,89.51,15.07,,22.9,988.8,77.4,25.3
2018-03-08,3.1,1.1,87.08,5.3,46.4,22.1,991.7,45.5,31.5
2018-03-09,3.9,0.2,77.01,2.14,48.2,23,998.7,34.6,33.2
2018-03-10,4.3,3.1,91.64,11.54,35.3,27.8,991.2,88.3,17.2
2018-03-11,6.5,5.1,90.97,18.42,,12.3,991.6,62.5,15.1
2018-03-12,5.4,3.3,86.86,24,,13.4,994.3,79.5,26.6
2018-03-13,5.4,2.6,82.74,0.4,,18.6,1004.4,64.6,30.1
2018-03-14,6.4,2.6,76.69,3.14,68.4,38.8,996.8,84.2,32.6
2018-03-15,6,3.5,84.38,10.81,62.7,34,989.3,90,16
2018-03-16,4.8,2.1,82.64,2.37,55.4,36.8,1000.7,90.6,34.2
2018-03-17,0.6,-4.4,69.96,0.68,57.2,34.9,1017.6,67.9,27.9
2018-03-18,-0.4,-5,70.97,60.6,59.4,33.7,1020.8,72.2,27.9
2018-03-19,2.1,-3.7,66.33,3,53.6,29.7,1025.3,30.4,34.6
2018-03-20,2.1,-2.6,72.94,0,,17.3,1031.8,17.1,36.4
2018-03-21,4.7,2.8,87.38,1.71,,25.8,1026.6,81.2,20.7
2018-03-22,6.7,4.4,85.1,1.54,57.6,33.7,1012.1,84.4,18
2018-03-23,6.3,4.5,88.59,16.25,61.2,34.4,991.8,75.9,23.1
2018-03-24,4.7,1.8,82.48,0.6,,20,1002.6,32.6,29.9
2018-03-25,5.3,2.2,81.19,0.6,,22.4,1011,35.6,33.5
2018-03-26,4.2,1.3,82.34,0.4,,17.9,1014.6,33.7,33.7
2018-03-27,6.2,4.5,89.01,11.52,46.4,26.7,1002.1,81.2,18.2
2018-03-28,4.3,1.9,84.86,1.8,,19.5,1001.3,56.1,33.1
2018-03-29,3.7,0.2,79.21,0.4,,27.4,999.9,41.9,37.9
2018-03-30,4,1.2,81.87,0.8,46.4,29.1,999.9,75.9,39.6
2018-03-31,3.7,1.2,83.92,0.81,57.6,28.1,1006,82.8,31.5
2018-04-01,3.3,-1,74.51,0.6,,14.2,1013.1,90.7,39.3
2018-04-02,2,0,86.68,7.55,57.6,38.5,999.8,89.6,24.8
2018-04-03,3.3,2.6,94.73,18.59,,26.7,988.8,91.3,16.1
2018-04-04,3.1,2.3,94.22,21.05,66.6,27.6,994.1,76.8,16.5
2018-04-05,4,-0.3,74.71,5.26,,24,1011.5,40.2,41.3
2018-04-06,7.4,3.2,74.99,1.57,57.6,34.4,1005.6,87.3,32.8
2018-04-07,8,6.5,90.66,3.01,51.8,28.8,1004.8,73.5,12.7
2018-04-08,7.2,6,92.3,1.29,,13,1008.1,75,15.5
2018-04-09,8.5,6,85.17,1.08,,15.6,1007.1,71.7,21.9
2018-04-10,6.6,4.7,87.94,3.08,54.4,32.5,1008.1,92.3,29.5
2018-04-11,6.9,5.1,88.47,0,61.2,29.9,1012.2,87.6,12.4
2018-04-12,6.7,4.4,85.53,0.2,51.8,33.7,1009.2,77.7,12.3
2018-04-13,6.7,5.5,91.79,4.45,,18.3,1007.2,85.6,10
2018-04-14,9.2,6.5,83.95,0.47,,20.8,1013.4,65.5,13.6
2018-04-15,10.3,7,80.38,2.81,48.2,24.8,1006.4,73.2,14.7
2018-04-16,9.7,6.4,80.79,6.77,64.4,38.4,1004.8,81.5,23.6
2018-04-17,10.5,7.8,83.76,6.3,72.4,46.2,1006.7,76.4,15.3
2018-04-18,11.9,9.7,86.61,2.84,64.8,33.8,1019,69.8,22.3
2018-04-19,11.9,9.1,83.17,0,46.4,23.4,1021.7,53.2,28.5
2018-04-20,10,7,82.61,0.2,,22.8,1023.4,49.5,24.1
2018-04-21,10.9,5.8,72.53,0,33.5,16.7,1018.3,28.9,30.8
2018-04-22,9.8,6.9,82.58,2.97,46.4,29.2,1004.8,76.5,24.7
2018-04-23,8.7,6.7,87.6,10.88,62.2,34.8,1007.1,79,22.5
2018-04-24,8.5,6.1,85.22,2.69,53.6,32.2,1007.1,70.3,21.6
2018-04-25,7.6,5.4,85.96,7.99,55.4,31.7,1005,59.8,24.8
2018-04-26,7.6,4.7,82.29,4.99,63,33.2,1007.8,53.1,23.1
2018-04-27,7,2.6,74.69,0.8,,17.6,1009.4,23.8,30.6
2018-04-28,6.2,2.8,79.41,5.05,,17.7,1013.2,45.5,40.4
2018-04-29,6.3,2,75.09,0.74,,14.6,1017,55.7,41.8
2018-04-30,6.4,1.4,71.82,0.2,,19.4,1013.6,13.4,39.6
2018-05-01,6.6,3.6,82.09,1.18,64.5,41.6,1001.6,54.9,31.9
2018-05-02,8,4.1,77.52,11.65,57.6,32.3,999,58.3,28.6
2018-05-03,8,5.8,86.49,1.32,53.6,29.5,1013.2,78.4,18.1
2018-05-04,10.6,8.9,89.6,1.03,,24.5,1019.4,82.1,28.5
2018-05-05,10.7,9.1,89.71,0.4,,27,1023,62.9,21.7
2018-05-06,11.3,9.1,86.84,0.4,,17.2,1021.8,35.2,23.5
2018-05-07,12.2,8,77.12,0,40.7,19.8,1016.7,60.5,30.2
2018-05-08,10.5,8.3,86.52,5,,23.9,1007.8,71.5,20.7
2018-05-09,8.4,6.7,89.4,4.21,58.3,34.4,1004.8,68.2,21.1
2018-05-10,8.9,4.7,75.96,2.42,,26.4,1010.6,41.7,23.7
2018-05-11,9.4,5.4,77,1.11,62.3,40.8,1010.7,64.2,28
2018-05-12,9.8,5.2,75.39,8.56,,15.2,1012.2,39.7,34.1
2018-05-13,10.6,6.2,75.85,4.16,,22.2,1014.2,42.6,33.8
2018-05-14,10.6,6.5,76.85,0,,14.3,1021.7,15.5,33.2
