BMU_ID,name,location
ABRBO-1,Aberdeen Offshore Wind Farm,(Aberdeen Bay-Scotland),
ABRTW-1,Auchrobert Wind Farm,
ACHLW-1,?-Smartestenergy Limited
ACHRW-1,AChruach Wind Farm,Kilmichael Forest
ACHYW-1,?,
AFTOW-1,Afton Wind Farm,
AIRSW-1,Airies Wind Farm,
AKGLW-1,AIKENGALL I
AKGLW-2,AIKENGALL II
AKGLW-3,AIKENGALL III
ANSUW-1,An Suidhe 1
ARCHW-1,Arecleoch Wind Farm,
ASHWW-1,Andershaw Wind Farm
ASLVW-1,Assel Valley Wind Farm
BABAW-1,Baillie Wind Farm
BDCHW-1,Bad a Cheo Wind Farm
BEATO-1,Beatrice Offshore WF 1
BEATO-2,Beatrice Offshore WF 2
BEATO-3,Beatrice Offshore WF 3
BEATO-4,Beatrice Offshore WF 4
BEINW-1,Beinneun Wind farm
BETHW-1,Beinn Tharsuinn
BGLAW-1,?
BHLAW-1,Bhlaraidh Windfarm 1
BLKWW-1,Blackcraig Windfarm
BLLA-1,Black Law Wind Farm 1
BLLA-2,Black Law Wind Farm 2
BNAKW-1,?
BNWKW-1,Burn of Whilk Windfarm
BOULW-1,?
BOWLW-1,Barrow Offshore Wind
BOYNW-1,?
BRBEO-1,Burbo Bank Offshore Windfarm Extension
BRDUW-1,Braes of Doune,
BRYBW-1,Berry Burn Wind Farm
BTUIW-1,Beinn An Tuirc 1
BTUIW-2,Beinn An Tuirc 2
BTUIW-3,Beinn An Tuirc 3
BURBW-1,Burbo Bank Offshore Wind Farm
CAIRW-2,CAirn Uish / ROthes Windfarm Extension
CAUSW-1,?
CDWTW-1,?
CGTHW-1,Corriegarth Wind Farm
CLDCW-1,Clyde Central Windfarm
CLDNW-1,Clyde North Windfarm
CLDRW-1,Clashindarroch Wind Farm
CLDSW-1,Clyde South Windfarm
CLFLW-1,Clachan Flats Windfarm
CMSTW-1,Camster Windfarm
CNCLW-1,Coire Na Cloiche Windfarm
COUWW-1,Cour Wind Farm
CRDEW-1,Crossdykes Windfarm 2
CRDEW-2,Crossdykes Windfarm 1
CRGHW-1,Carraig Gheal Wind Farm
CRMHW-1,?
CRMLW-1,Corriemoille Windfarm
CRMNW-1,?
CRYRW-1,Crystal Rig I Windfarm
CRYRW-2,Crystal Rig II Windfarm
CRYRW-3,Crystal Rig III Windfarm
DALSW-1,Dalswinton Wind Farm
DDGNO-1,Dudgeon Offshore Wind Farm 1
DDGNO-2,Dudgeon Offshore Wind Farm 2
DDGNO-3,Dudgeon Offshore Wind Farm 3
DDGNO-4,Dudgeon Offshore Wind Farm 4
DEUCW-1,?
DNLWW-1,Dun Law Extension
DOREW-1,Dorenell Wind Farm Unit 1
DOREW-2,Dorenell Wind Farm Unit 1
DRDGW-1,?
DRSLW-1,Dersalloch Windfarm
DUMMW-1,?
DUNGW-1,Dunmglass Wind Farm
EAAO-1,East Anglia One 1 Offshore Windfarm
EAAO-2,East Anglia One 2 Offshore Windfarm
EARBW-1,?
EDINW-1,Edinbane Windfarm
EDTRW-1,?
EWHLW-1,Ewe Hill II Windfarm
FAARW-1,Farr Windfarm Unit 1
FAARW-2,Farr Windfarm Unit 2
FALGW-1,Fallago Rig Wind Farm
FRBRW-1,?
FSDLW-1,Freasdail Wind Farm
GAOFO-1,Galloper offshore Windfarm 11
GAOFO-2,Galloper offshore Windfarm 22
GAOFO-3,Galloper offshore Windfarm 13
GAOFO-4,Galloper offshore Windfarm 24
